gene	direction	mean_log2fc	meta_pvalue	meta_fdr	pathways	is_known_target
TFDP2	down	-0.40516585604226263	1.243851859355912e-07	2.9611089383568087e-06	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION; REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	False
PLCB1	up	0.5908935662825694	1.2869698085005335e-07	3.0566095766672728e-06	REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_SIGNALING_BY_WNT	False
PSMB10	up	0.39997801374674635	1.2993125847598345e-07	3.0841258859229356e-06	REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS; REACTOME_SIGNALING_BY_WNT; REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	False
MDFI	up	0.39841063746250027	1.330832443564598e-07	3.1497656648037892e-06	GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	False
GNB1	down	-0.15168324539021683	1.360631206741399e-07	3.2146885332361173e-06	REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_SIGNALING_BY_WNT	False
THSD4	down	-0.6019690750291786	1.3703063125083937e-07	3.233795870283424e-06	GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	False
COL5A3	up	0.6524212306348552	1.537200810816922e-07	3.586097561637736e-06	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES; REACTOME_COLLAGEN_CHAIN_TRIMERIZATION; REACTOME_COLLAGEN_DEGRADATION; REACTOME_COLLAGEN_FORMATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	False
SOS2	down	-0.4131251667599132	1.6380981446479016e-07	3.794074403371791e-06	KEGG_MEDICUS_REFERENCE_TGFA_EGFR_RAS_ERK_SIGNALING_PATHWAY	False
EFNA1	down	-0.9795885498535148	1.6759533009157712e-07	3.872089044407328e-06	GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	False
ZYX	up	0.4810589600164574	1.6934264071070215e-07	3.905812254489423e-06	GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	False
SMPD3	down	-0.5563136128858197	1.8211375361589387e-07	4.156735431384281e-06	GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_RESPONSE_TO_BMP	False
IFNGR2	down	-0.35075318497374264	1.8239648259742794e-07	4.159559898161094e-06	HALLMARK_TGF_BETA_SIGNALING	False
ERLIN1	up	0.3412061737452028	1.9322711754973724e-07	4.384694680799943e-06	REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	False
DUOX1	up	0.12986098012124153	1.9439979650159943e-07	4.4088488369171204e-06	GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_WOUND_HEALING	False
