ModelID,OncotreeLineage,deletion_extent,CDKN2A_CN,CDKN2A_del,CDKN2B_CN,CDKN2B_del,MTAP_CN,MTAP_del,DMRTA1_CN,DMRTA1_del,IFNA2_CN,IFNA2_del,IFNB1_CN,IFNB1_del
ACH-002214,Lymphoid,intact,0.993442520921906,False,1.0197813830389435,False,1.0029511923342138,False,0.9891137848029452,False,0.9445104649881108,False,1.1181622824911053,False
ACH-002215,Lymphoid,CDKN2A_only,8.11803681858211e-06,True,1.4457661515369991e-06,True,1.0122719543549137,False,0.9843618349705472,False,0.9340527627322674,False,1.0359805276558485,False
ACH-002216,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002217,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002218,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002219,Bowel,intact,,False,,False,,False,,False,,False,,False
ACH-002220,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002221,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002222,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002223,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002224,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002225,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002226,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002227,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002228,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002229,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002230,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002231,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002232,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002233,Bowel,intact,,False,,False,,False,,False,,False,,False
ACH-002234,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002235,Bladder/Urinary Tract,intact,,False,,False,,False,,False,,False,,False
ACH-002236,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002237,Biliary Tract,intact,,False,,False,,False,,False,,False,,False
ACH-002238,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002239,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002240,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002241,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002242,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002243,Esophagus/Stomach,intact,,False,,False,,False,,False,,False,,False
ACH-002244,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002245,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002246,Soft Tissue,intact,,False,,False,,False,,False,,False,,False
ACH-002247,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002248,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002249,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002250,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002251,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002252,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002253,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002254,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002255,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002256,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002257,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002258,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002259,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002261,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002262,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002263,Esophagus/Stomach,intact,,False,,False,,False,,False,,False,,False
ACH-002264,Esophagus/Stomach,intact,,False,,False,,False,,False,,False,,False
ACH-002265,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002266,Bladder/Urinary Tract,intact,,False,,False,,False,,False,,False,,False
ACH-002267,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002268,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002269,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002270,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002271,Soft Tissue,intact,,False,,False,,False,,False,,False,,False
ACH-002272,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002273,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002274,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002275,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002276,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002277,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002278,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002279,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002280,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002281,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002282,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002283,Peripheral Nervous System,intact,0.8848070279380807,False,0.888727002589289,False,0.9042087532083594,False,0.9097863460096236,False,0.9119163316043084,False,0.958121637613974,False
ACH-002284,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002285,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002286,Lung,intact,,False,,False,,False,,False,,False,,False
ACH-002287,Bowel,intact,,False,,False,,False,,False,,False,,False
ACH-002288,Testis,intact,,False,,False,,False,,False,,False,,False
ACH-002289,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002290,Myeloid,CDKN2A+MTAP,1.9376848864883955e-06,True,1.4457661515369991e-06,True,1.116823545933868e-05,True,1.4448645172978785e-06,True,0.928679011761076,False,1.0365257808252517,False
ACH-002291,Testis,intact,1.0803093834150812,False,1.18068573625789,False,1.0585181811162163,False,1.149345509950343,False,1.1377935084863666,False,1.090899706655441,False
ACH-002292,Esophagus/Stomach,intact,,False,,False,,False,,False,,False,,False
ACH-002293,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002294,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002295,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002296,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002297,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002298,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002299,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002300,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002301,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002302,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002304,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002305,Head and Neck,intact,,False,,False,,False,,False,,False,,False
ACH-002306,Esophagus/Stomach,intact,,False,,False,,False,,False,,False,,False
ACH-002307,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002308,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002309,Soft Tissue,intact,,False,,False,,False,,False,,False,,False
ACH-002310,Soft Tissue,intact,,False,,False,,False,,False,,False,,False
ACH-002311,Esophagus/Stomach,intact,,False,,False,,False,,False,,False,,False
ACH-002312,Biliary Tract,intact,,False,,False,,False,,False,,False,,False
ACH-002313,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002314,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002316,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-002317,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002320,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002321,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002322,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002323,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002324,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002326,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002327,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002328,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002329,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002330,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002331,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002332,Soft Tissue,intact,,False,,False,,False,,False,,False,,False
ACH-002333,Lung,intact,,False,,False,,False,,False,,False,,False
ACH-002334,Soft Tissue,intact,,False,,False,,False,,False,,False,,False
ACH-002336,Eye,intact,,False,,False,,False,,False,,False,,False
ACH-002337,Lung,intact,,False,,False,,False,,False,,False,,False
ACH-002338,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002339,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002340,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002342,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002343,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002344,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002345,Bowel,CDKN2A+MTAP,2.192890608806652e-06,True,0.8694276421201248,False,3.074371431769799e-05,True,0.7891001186456224,False,0.8524883229868913,False,0.7616277544597019,False
ACH-002346,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002347,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002348,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002349,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002350,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002351,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002352,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002353,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002354,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002355,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002356,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002357,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002358,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002360,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002361,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002362,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002363,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002364,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002365,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002366,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002367,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002368,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002369,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002370,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002371,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002372,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002373,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002374,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002375,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002376,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002377,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002378,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002379,Normal,intact,,False,,False,,False,,False,,False,,False
ACH-002380,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002381,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002382,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002383,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002384,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002386,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002387,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002388,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002389,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002392,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-002397,Thyroid,intact,,False,,False,,False,,False,,False,,False
ACH-002399,Breast,intact,0.8790689794712812,False,0.9278135178715676,False,0.9255514348641186,False,0.9289068688840086,False,0.816712855775299,False,0.92445522422329,False
ACH-002400,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-002401,Breast,intact,0.8211073844956736,False,0.8685199997408432,False,0.8659072684862871,False,0.838963229423275,False,0.8407734638462391,False,0.8903409641594537,False
ACH-002403,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002404,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002405,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002407,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002409,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-002419,Uterus,intact,,False,,False,,False,,False,,False,,False
ACH-002431,Peripheral Nervous System,intact,,False,,False,,False,,False,,False,,False
ACH-002433,Bone,intact,0.5357125702065738,False,0.531957876710007,False,0.560509070959351,False,0.561962546859928,False,0.5682434124404478,False,0.4294079734885391,True
ACH-002435,Kidney,intact,0.9772790818812312,False,1.0674772542540818,False,1.007420837776873,False,1.0125651963596525,False,1.0821889674597815,False,0.9392045373039708,False
ACH-002438,Kidney,intact,1.016271891327353,False,1.0687807268102478,False,1.0210206936378392,False,0.99935422459488,False,0.9955819605801226,False,1.120012082327403,False
ACH-002440,Thyroid,intact,,False,,False,,False,,False,,False,,False
ACH-002444,Esophagus/Stomach,intact,,False,,False,,False,,False,,False,,False
ACH-002445,Esophagus/Stomach,intact,,False,,False,,False,,False,,False,,False
ACH-002446,Esophagus/Stomach,CDKN2A+MTAP,1.4433630430066254e-06,True,1.4457661515369991e-06,True,6.066550901287251e-05,True,1.127513396029605,False,1.142969173919923,False,1.1068595562034074,False
ACH-002458,Skin,CDKN2A+MTAP,1.4433630430066254e-06,True,1.4457661515369991e-06,True,0.0105772216535805,True,0.8815107195610409,False,0.7874823294811957,False,0.7919916453482169,False
ACH-002459,Skin,CDKN2A+MTAP,1.975795941611513e-06,True,1.4457661515369991e-06,True,0.0107682595121518,True,0.8550499325854078,False,0.8844032090427195,False,0.947572641849852,False
ACH-002460,Skin,CDKN2A+MTAP,1.4433630430066254e-06,True,1.4457661515369991e-06,True,0.0107768889498467,True,0.8617607833876373,False,0.8555799301590966,False,0.8537163884432495,False
ACH-002461,Skin,intact,,False,,False,,False,,False,,False,,False
ACH-002462,Eye,intact,,False,,False,,False,,False,,False,,False
ACH-002463,Eye,intact,0.5877699462791045,False,0.6208354799364956,False,1.000232855288737,False,1.0017484982783331,False,1.0245629047410347,False,0.9593808735019131,False
ACH-002464,Eye,intact,0.6007208895350485,False,0.631238956002263,False,1.019890097537668,False,0.9983580304493428,False,1.02962322145216,False,1.0263065522238004,False
ACH-002465,Eye,intact,0.5790469237806133,False,0.597304943099288,False,1.014865001399411,False,1.01626825095623,False,0.9410992354550276,False,1.0989138826057632,False
ACH-002466,Eye,intact,,False,,False,,False,,False,,False,,False
ACH-002467,Eye,intact,,False,,False,,False,,False,,False,,False
ACH-002470,Bone,intact,1.1482617821638654,False,1.1609850057063882,False,1.1097526835498386,False,1.1807634192031806,False,1.1472796487385688,False,1.0537063737930732,False
