drug_name,targets,n_targets,total_proximity_score,n_pathways_significant,mean_proximity_score,score_R-HSA-112316,score_GO:0007399,score_GO:0007268,score_hsa04728,score_GO:0007409,score_GO:0021987,score_GO:0030182,score_GO:0001764,score_GO:0050804,score_GO:0048699,score_hsa04330,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant
QUINPIROLE,DRD1;DRD2,2,1.1579,0,0.1053,0.0587,0.0,0.2255,0.361,0.2757,0.0,0.068,0.0,0.0,0.1119,0.0572,,,,
DOPAMINE,DRD1;DRD3;SLC6A4,3,1.1463,1,0.1042,0.035,0.0,0.2098,0.4697,0.1834,0.0,0.0,0.0607,0.0,0.1878,0.0,,,,
GR-127935,CHRM4;DRD1;SLC6A4,3,1.1463,1,0.1042,0.035,0.0,0.2098,0.4697,0.1834,0.0,0.0,0.0607,0.0,0.1878,0.0,,,,
DEXANABINOL,CNR1,1,1.1261,0,0.1024,0.079,0.0005,0.1092,0.2788,0.1711,0.0703,0.0968,0.0459,0.0131,0.1012,0.1601,,,,
IBIPINABANT,CNR1,1,1.1261,0,0.1024,0.079,0.0005,0.1092,0.2788,0.1711,0.0703,0.0968,0.0459,0.0131,0.1012,0.1601,,,,
LINOLEOYLETHANOLAMIDE,CNR1,1,1.1261,0,0.1024,0.079,0.0005,0.1092,0.2788,0.1711,0.0703,0.0968,0.0459,0.0131,0.1012,0.1601,,,,
ORLISTAT,CNR1,1,1.1261,0,0.1024,0.079,0.0005,0.1092,0.2788,0.1711,0.0703,0.0968,0.0459,0.0131,0.1012,0.1601,,,,
BUFOTENINE,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
CINANSERIN,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
LORCASERIN,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
MESULERGINE,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
METERGOLINE,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
PIRENPERONE,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
QUIPAZINE,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
RIZATRIPTAN,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
RU-24969,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
TRYPTAMINE,HTR2C,1,0.9748,0,0.0886,0.0,0.0793,0.0506,0.2788,0.0584,0.2507,0.0968,0.0459,0.0131,0.1012,0.0,,,,
NAPHTHYRIDINONE,GABRA1;SLC18A2,2,0.9188,0,0.0835,0.136,0.0,0.2975,0.1987,0.1448,0.0,0.0,0.0,0.0845,0.0,0.0572,,,,
BP-897,DRD1;DRD3,2,0.8963,0,0.0815,0.0,0.0,0.1534,0.361,0.1448,0.0,0.068,0.0,0.0,0.1119,0.0572,,,,
TYRAMINE,DRD1;DRD4,2,0.8963,0,0.0815,0.0,0.0,0.1534,0.361,0.1448,0.0,0.068,0.0,0.0,0.1119,0.0572,,,,
ABT-724,DRD4,1,0.8836,1,0.0803,0.079,0.0,0.1678,0.4052,0.0584,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
FAUC 113,DRD4,1,0.8836,1,0.0803,0.079,0.0,0.1678,0.4052,0.0584,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
MEZILAMINE,DRD4,1,0.8836,1,0.0803,0.079,0.0,0.1678,0.4052,0.0584,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
"PD-168,077",DRD4,1,0.8836,1,0.0803,0.079,0.0,0.1678,0.4052,0.0584,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
TANDOSPIRONE,DRD4,1,0.8836,1,0.0803,0.079,0.0,0.1678,0.4052,0.0584,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
A-119637,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
A-123189,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
AKUAMMIGINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
