gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
CLK4,795,391,-0.0300434440476725,-0.0410720835147364,0.08636325546960504,-0.03475158993415754,0.2074781008733676,161963.0,0.23822818562079706,0.41055778273528964,False
PTPN13,795,391,0.0467804792753414,0.0327532813523649,0.08637671485224672,-0.03473814609584827,0.20749157580034172,164913.0,0.08700147782091312,0.20565101213341883,False
CCDC185,795,391,0.0397375807688083,0.0279586824329237,0.08637759712303218,-0.03473726484408787,0.20749245909015224,166093.0,0.05432533918183837,0.1464163198563144,False
BSPRY,795,391,0.0297428548673962,0.0165919334521244,0.0864794131228859,-0.03463556651182989,0.2075943927576017,166181.0,0.05236713374936223,0.14276665345600306,False
RAI14,795,391,0.0533287067448841,0.0506169082459687,0.0864832185352556,-0.03463176550001712,0.20759820257052833,159820.0,0.4278027176292639,0.6022560595261917,False
DAGLB,795,391,-0.1318374741361189,-0.1425450721216635,0.0864981248502907,-0.034616876424422086,0.2076131261250035,160085.0,0.4004893985726943,0.5772947112899851,False
CPA5,795,391,-0.0381606393284106,-0.0420475096530815,0.08650831583430627,-0.03460669722818413,0.20762332889679666,162624.0,0.19407021863656027,0.35787581079973874,False
RHPN1,795,391,-0.3205845604267385,-0.3446115795519682,0.08653516322178346,-0.03457988090137086,0.20765020734493778,166034.0,0.05567214557574365,0.1490655052561851,False
HSF4,795,391,-0.1142836219839398,-0.1267126157211551,0.0865598749472532,-0.034555197774255794,0.2076749476687622,164403.0,0.10534878191254159,0.23509318418565597,False
VPS16,795,391,-0.3362667311629622,-0.3658032037636372,0.0865608338419664,-0.03455423998941551,0.20767590767334831,165101.0,0.08092647474188946,0.19550249795134744,False
TSR2,795,391,-1.67807470030109,-1.7221810426415716,0.08657276320847293,-0.03454232443158413,0.20768785084852998,164321.0,0.10856645672703771,0.23992119752612567,False
DPH1,795,391,-0.3505459154745829,-0.3565680113338494,0.08658965559748322,-0.034525451599380225,0.20770476279434666,161729.0,0.25544326604361123,0.4303295814231904,False
ZNF750,795,391,-0.0827388819078046,-0.0957955040533235,0.08660134385223757,-0.03451377687868741,0.20771646458316256,163626.0,0.13905125829657528,0.2846651800885469,False
ZSCAN18,795,391,-0.1138152854828599,-0.1268766082100173,0.0866093381590064,-0.03450579182973576,0.20772446814774856,164356.0,0.10718367278009651,0.23786336917070894,False
CNKSR3,795,391,0.0432002123752819,0.0384513016612358,0.08662206148708501,-0.034493083237684394,0.20773720621185443,163873.0,0.12753933894156136,0.2682473147048127,False
ZYG11A,795,391,-0.0116976296977595,-0.0113274419433827,0.08663307945894894,-0.03448207802846917,0.20774823694636704,160050.0,0.4040355679764883,0.5809629281166869,False
GXYLT2,795,391,0.0524205324145662,0.0421537396511477,0.08666077821886513,-0.03445441136052771,0.20777596779825797,164266.0,0.11076787715572743,0.2430669938538073,False
TNFAIP2,795,391,0.0668024948311605,0.0421366269514605,0.08668188124495585,-0.03443333279142867,0.20779709528134038,168104.0,0.022201768666280985,0.07645985528916309,False
REEP4,795,391,0.0376384725047788,0.0350958896796604,0.08668200519220773,-0.03443320898784091,0.20779721937225637,164988.0,0.08453520666370842,0.20178771654091218,False
MTHFR,795,391,0.0398409261079481,0.0298014173532302,0.08676256611279884,-0.03435274148679837,0.20787787371239605,161878.0,0.24438427296365928,0.41767927684067463,False
ABCB7,795,391,-1.052179176013879,-1.068160660434678,0.08678057263105847,-0.034334755861000765,0.2078959011231177,165635.0,0.06552820617778903,0.16768635214985297,False
NT5C,795,391,-0.1561988051946,-0.1480809022208081,0.08680106982627117,-0.0343142824533854,0.20791642210592776,153957.0,0.7916266867018578,0.8769688101285228,False
CA4,795,391,-0.0048977399132273,-0.0129387580873184,0.08680580703845153,-0.034309550739677536,0.2079211648165806,163981.0,0.12274486442168507,0.26138403322326026,False
DIS3,795,391,-0.7621884974739789,-0.7761757516680828,0.08680887918757035,-0.03430648215655617,0.2079242405316969,161931.0,0.24053279600383237,0.41333166427392337,False
FAM118B,795,391,0.106548229588402,0.0997441716404383,0.08682317697054158,-0.034292200971397346,0.2079385549124805,164611.0,0.09752580157185992,0.2222633393469202,False
FBXO6,795,391,0.0316573079472595,0.0172727074634435,0.08688076168161729,-0.03423468313611561,0.2079962064993502,168661.0,0.016970427070409525,0.06330429442391736,False
BNIP3L,795,391,0.1631492784592796,0.1551147432907251,0.08688078745150714,-0.03423465739616345,0.20799623229917774,162723.0,0.18801103977301592,0.3501347124169662,False
KRTAP5-9,795,391,-0.1700797514404649,-0.1847616439399344,0.08689845827938608,-0.03421700709912556,0.20801392365789773,165555.0,0.06766817670651028,0.17168494874546064,False
MAP2,795,391,0.0497840126229953,0.0353555178774823,0.08692323636535577,-0.03419225780858684,0.2080387305392984,163806.0,0.1305861263007964,0.272664541664422,False
CPE,795,391,-0.1262095136882506,-0.1304763903840338,0.08693514427330729,-0.0341803637421262,0.20805065228874076,160694.0,0.3418202217298517,0.5212553385383255,False
OTOF,795,391,0.0212589150001406,0.0143639680210557,0.08697213827326859,-0.034143412755263544,0.20808768930180072,163856.0,0.12830711872548242,0.26937042861909444,False
XCL2,690,356,-0.09908203247287756,-0.09455931802684969,0.08697631958804185,-0.04097616138209799,0.2149288005581817,126279.0,0.45502730826537974,0.62588971209429,False
MX1,795,391,0.000554055501141,-0.0096922268934979,0.08697966652831834,-0.03413589325559056,0.20809522631222727,165473.0,0.06992097927564143,0.17587573378993723,False
POU1F1,795,391,-0.0064291971810622,-0.0058839640837144,0.08699258837721768,-0.03412298643659446,0.20810816319102982,160625.0,0.3481768913606633,0.527718572082038,False
CREG2,795,391,-0.0336873087828965,-0.0516659476744826,0.08700159514263413,-0.0341139901486153,0.20811718043388355,164592.0,0.09822055707100129,0.22332214721311158,False
PLA2G4C,795,391,0.0901872933471372,0.0784147049447032,0.0870162080799927,-0.034099394212576795,0.2081318103725622,164919.0,0.08680206243363578,0.2053112677654703,False
CS,795,391,-0.4261321522957638,-0.4287189895550096,0.0870537564278521,-0.03406188956316447,0.20816940241886867,162278.0,0.21637149452015136,0.38479727006357234,False
PARG,30,15,-0.32841207136847644,-0.3100595928082632,0.08705697339716595,-0.5329989692612105,0.7071129160555423,232.0,0.8756376510633312,0.9298606046862046,False
GIPC3,795,391,-0.0880131140462473,-0.1010744316216126,0.0871203677842029,-0.0339953557748907,0.20823609134329651,165424.0,0.07129630260738032,0.17809584533428946,False
RNF125,795,391,0.0210063667326581,0.0112164294733809,0.08713162113792343,-0.03398411553141084,0.2082473578072577,161648.0,0.2615990260711807,0.43750141028959594,False
SLC26A5,795,391,-0.0747452386747671,-0.0871656803826653,0.08713440726817001,-0.03398133264728799,0.208250147183628,163815.0,0.13017360346050644,0.27220741080336813,False
RAC2,795,391,-0.115810398331491,-0.1225982807327715,0.08714926125313452,-0.033966495970469746,0.20826501847673878,161635.0,0.26259645672810716,0.4384138452981937,False
H4C3,795,391,-0.2068698411583079,-0.2159817658233181,0.08721104591619407,-0.033904783331707836,0.20832687516409598,160476.0,0.3621580525584772,0.5414308408819664,False
POU3F1,795,391,0.0596925099636678,0.0340118488320019,0.08722999232135852,-0.03388585902317312,0.20834584366589015,166975.0,0.03722446055075118,0.11151006341454307,False
WDR6,795,391,-0.1562837711677613,-0.1642177913504629,0.0872414570308875,-0.03387440768692347,0.20835732174869848,164599.0,0.0979641360029607,0.22295911694007167,False
PRCP,795,391,-0.0240483301759819,-0.0351385526543226,0.08729766908418979,-0.03381826122890212,0.2084135993972817,164975.0,0.0849585943020274,0.20240523209587427,False
RHNO1,795,391,-0.0711221645391099,-0.0782675919690201,0.08732659053463979,-0.033789373544079154,0.20844255461335873,163589.0,0.1408425495846487,0.2874703721870016,False
PPP1R21,795,391,-0.0217208316698264,-0.0197971457321192,0.08732875340435951,-0.033787213199946514,0.20844472000866554,160273.0,0.38176354177461913,0.5600677138799223,False
HMGXB4,795,391,-0.0123103019709495,-0.0159850460656939,0.08738871253602644,-0.03372732410755322,0.2085047491796061,162439.0,0.2057748805250006,0.37143443870345505,False
PLAUR,795,391,-0.0941566895428215,-0.0948632601947757,0.08744368266480985,-0.033672418232507745,0.20855978356212745,162399.0,0.2083716939597915,0.37467611298678644,False
TUBB2B,784,381,-0.1100577342572881,-0.1273226083829397,0.08745298606036572,-0.03500107988276108,0.20990705200349252,157232.0,0.1435824699955086,0.2917705946171959,False
HDGFL2,795,391,-0.1646723896921495,-0.1717273716459051,0.08748163037461823,-0.03363451490274777,0.20859777565198423,161905.0,0.24241682310948987,0.4156393353816449,False
PLXDC2,795,391,0.1079988550982711,0.101549972644857,0.08750094670705941,-0.033615221168249165,0.20861711458236798,164995.0,0.08430793675763179,0.20132342151903393,False
CCDC69,795,391,-0.023262719476505,-0.0339086376239293,0.08758203042044493,-0.033534232368095745,0.2086982932089856,162707.0,0.18898072869280913,0.35144353207423956,False
COX6A1,795,391,-0.5368307482096614,-0.5521104690250562,0.08758692662143283,-0.03352934190120982,0.20870319514407548,162553.0,0.1985031251948448,0.3633245743612951,False
ARHGAP9,795,391,-0.2421060794559424,-0.2510807909530556,0.08760237242073272,-0.033513914193092215,0.20871865903455766,161181.0,0.2990835339747452,0.4766668063304597,False
SPATA21,795,391,-0.074130614573353,-0.0882913944354253,0.08761692366057618,-0.03349937999957729,0.20873322732072963,164332.0,0.10813035476669529,0.2393016914914799,False
RIPK2,795,391,0.0799818015465198,0.0707054353569526,0.08766849111990946,-0.03344787297270782,0.20878485521252674,162906.0,0.17718023357313362,0.3363177106590526,False
FN1,795,391,0.060311065831091,0.0541518184346233,0.08769257459554156,-0.033423817732932154,0.20880896692401527,163853.0,0.12844298147410765,0.269563565969396,False
CAPN14,795,391,0.0572288558206026,0.0495086103908966,0.08769937873219656,-0.03341702157496093,0.20881577903935405,163025.0,0.1703909664450256,0.3276817720022999,False
OR4S1,701,366,-0.1683489986304328,-0.19849209573983445,0.08775564776165082,-0.03869442833675241,0.21420572386005404,136869.0,0.07238623597045743,0.17991644332147536,False
FOLR3,30,15,-0.0248542076391548,-0.0456597004321768,0.08787733452940188,-0.5321835474942014,0.7079382165530053,234.0,0.8378409384830414,0.9062190624815107,False
FGD5,795,391,-0.1417758956923137,-0.1516886205809952,0.08791407640675881,-0.033202575977399576,0.20903072879091722,163079.0,0.1673752107859695,0.32370562430123245,False
ACER1,795,391,-0.0037524471907194,-0.0111224111129927,0.08791584714956745,-0.0332008073161844,0.20903250161531928,161929.0,0.24067735388441402,0.4134644505506637,False
ORM1,795,391,-0.0806296903127071,-0.0890198295183975,0.08794121393513883,-0.03317547035508962,0.2090578982253673,163685.0,0.1362312338059486,0.2808255389928058,False
TBC1D16,795,391,-0.1252789244471982,-0.1524648248007079,0.08795058119587822,-0.03316611410988789,0.2090672765016443,166979.0,0.03715879712156243,0.11138576015219567,False
TPST1,795,391,-0.0569359534441132,-0.0834971080728781,0.08797019250566088,-0.03314652586604609,0.20908691087736786,165826.0,0.06064396024218346,0.15848758251554465,False
SDHA,795,391,-0.3096370600170063,-0.3421421696311013,0.08797410242072291,-0.03314262055026469,0.20909082539171053,162562.0,0.19793714470377544,0.3626847492907366,False
GLIPR1L1,795,391,-0.1890784154637983,-0.206096918470001,0.0880218646398347,-0.033094914530918215,0.2091386438105876,160985.0,0.31583481765405497,0.49409494767926876,False
TNR,795,391,0.1553444924444055,0.1467135165182589,0.08807994383807087,-0.033036903713059576,0.20919679138920133,161994.0,0.23601050214608488,0.40818590928446147,False
OR10G4,690,356,-0.0099827975063911,-0.01925277238780805,0.08808415374886762,-0.039869718827246395,0.21603802632498165,130023.0,0.11975801203561069,0.25680341419989333,False
COX6B1,795,391,-0.3900202785454763,-0.403079616852135,0.08810417928866619,-0.03301269680974593,0.2092210553870783,162820.0,0.18221079287105935,0.3423416190968181,False
CAMK2N2,795,391,0.0213894261885322,0.0127282261864466,0.08811624211706695,-0.03300064819324705,0.20923313242738095,164858.0,0.08884673301729167,0.20856863914093618,False
SLC44A5,795,391,0.0987450650975943,0.1023957134273151,0.08818388189719491,-0.03293308813939019,0.20930085193378,158035.0,0.6376054284846753,0.7743761824965405,False
DSP,795,391,-0.0706623751749116,-0.0921072333141604,0.08822046317801237,-0.03289655000199704,0.20933747635802177,167086.0,0.03543854893480347,0.10751770523829109,False
ARMC3,795,391,0.1001778956310557,0.0976962567478205,0.08826404831462828,-0.03285301629239007,0.20938111292164663,160088.0,0.40018631392702586,0.5770834400222717,False
OR6C75,701,366,-0.0399698002057705,-0.047004260978478055,0.08828639479235159,-0.03816434635790214,0.21473713594260532,136241.0,0.09586086301652226,0.21969107529955095,False
TACC3,795,391,-0.4870597364598206,-0.5053360507583445,0.08831835405922663,-0.03279877465977972,0.20943548277823298,163707.0,0.1351910728857183,0.27921212510062926,False
CCND3,795,391,-0.2442723946323689,-0.248931488522907,0.08832493281886292,-0.03279220366953621,0.20944206930726206,159380.0,0.4754699541780223,0.6430407604190331,False
FAHD2B,784,381,-0.25847179701956857,-0.2777716954182623,0.08833209445850743,-0.03412301178714246,0.2107872007041573,159261.0,0.06588590913277302,0.16839133992273267,False
CYP7A1,795,391,0.0284418937921979,0.0161881655574348,0.08836752146154243,-0.032749665337239206,0.20948470826032406,165390.0,0.07226357855772697,0.17963579702153407,False
TMEM139,795,391,0.0229813155351455,0.0135899858199391,0.08845289166777906,-0.03266439605263749,0.2095701793881956,162260.0,0.21758018773340304,0.38635048746535205,False
TLCD2,795,391,0.0305547077880333,0.0277996939960561,0.08847017089654077,-0.03264713726261634,0.20958747905569788,160295.0,0.3796078798873741,0.558015410710768,False
MPHOSPH6,795,391,-0.2119218170378824,-0.2062059774278378,0.08847861738676312,-0.0326387007647788,0.20959593553830502,156381.0,0.8628351907843774,0.9221616755817728,False
KRT15,795,391,-0.0870064459984721,-0.0976315636924553,0.08849668144433472,-0.032620658080585896,0.20961402096925533,163844.0,0.1288512406863637,0.2702050531285536,False
ZNF503,795,391,0.0475601403843397,0.0364449819319099,0.08856314720311714,-0.03255427100156677,0.20968056540780106,163912.0,0.12579146820245563,0.265753577390817,False
GLIS2,795,391,-0.1222113819686973,-0.1454446997330354,0.0885894049440625,-0.03252804435984982,0.20970685424797483,165574.0,0.0671547972629074,0.17071134687557887,False
DEGS1,795,391,0.1304887053450412,0.1286012009041567,0.0886056192286432,-0.03251184928379622,0.20972308774108261,161897.0,0.24299860628733538,0.4159791351942639,False
FBXO8,795,391,0.1743755420179806,0.1641287556815213,0.08860633210016576,-0.03251113725686962,0.20972380145720115,162098.0,0.22867733622882302,0.3994378144190215,False
TMOD1,795,391,0.003894581495247,-0.0037690301955109,0.08861963086431177,-0.032497854250078395,0.20973711597870193,166568.0,0.04444229153975631,0.12662962048460705,False
ABCB9,795,391,-0.0445505915401546,-0.0558390285945805,0.08864962322808205,-0.03246789743214189,0.20976714388830597,160385.0,0.37086745638748264,0.549902803708135,False
MAG,795,391,-0.1737932287616137,-0.1810396142622552,0.08865295474864614,-0.032464569860713624,0.2097704793580059,162278.0,0.21637149452015136,0.38479727006357234,False
DDX23,795,391,-1.0919986122354497,-1.1135241563784368,0.08871256780126034,-0.03240502749760643,0.20983016310012712,164154.0,0.11535963783147604,0.2500476100438872,False
CIMIP1,795,391,-0.0083696084047623,-0.0051380873214687,0.08873249427022276,-0.03238512466815484,0.20985011320860036,160211.0,0.3878788785454449,0.5657078422456706,False
SAMD10,795,391,-0.0185094837207466,-0.0276096994042487,0.08874635104267325,-0.03237128433763557,0.2098639864229821,163989.0,0.12239539624047154,0.26085076643850785,False
SMC5,795,391,-0.5948666038558448,-0.6018331990987912,0.08874864146381382,-0.032368996634470654,0.2098662795620983,161722.0,0.25597123647291997,0.4307859909054482,False
SYT3,795,391,-0.0706455546959094,-0.0790305830037121,0.08877733180549827,-0.032340340344711366,0.2098950039557079,162497.0,0.20205138751830087,0.3674114548135605,False
ST6GALNAC6,795,391,-0.1062428296879731,-0.1226684314340019,0.08877960279699064,-0.032338072049077723,0.209897277643059,165384.0,0.07243538473972137,0.17999006842927126,False
OR52B6,701,366,0.1236302503300064,0.11283139152138344,0.0888486763616922,-0.03760277372545702,0.21530012644884144,135081.0,0.15487888419277146,0.3079702545673328,False
TG,795,391,0.0313518752865492,0.0285373989360009,0.08886990454756456,-0.03224787755014866,0.20998768664527778,160914.0,0.3220520357332507,0.5010997027973056,False
DERA,795,391,0.004302129246397,-0.0045650882636912,0.08887872158975116,-0.03223907098582578,0.2099965141653281,160212.0,0.3877797728360094,0.5657078422456706,False
LDLRAD4,795,391,0.0867025327028333,0.0744612160786195,0.08892975929424088,-0.0321880939531599,0.21004761254164167,163012.0,0.17112302559830606,0.3287124077216601,False
LHX2,795,391,0.1500628097085252,0.1403916290701937,0.08894190122120979,-0.03217596646520997,0.21005976890762956,163018.0,0.17078486001484583,0.3282680527967556,False
ZBTB20,795,391,0.0930898397867087,0.0839806049005878,0.0889841119380443,-0.03213380596012691,0.2101020298362155,160725.0,0.33898865558587843,0.5187826552984949,False
