gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
OR4X1,39,11,-0.0999615039332618,-0.1087367834101613,-0.016293117426778712,-0.6854214093327332,0.6528351744791757,211.0,0.9439880070255371,0.9913343081213953,False
ZC3H7B,51,12,-0.1016064367006362,-0.08666274566795346,-0.01624290478721371,-0.6450929139413405,0.6126071043669131,301.0,0.9372189431595431,0.9886906673375715,False
POLD1,51,12,-2.1846048397784483,-2.120654840384465,-0.016220609588959965,-0.645070601198003,0.612629382020083,295.0,0.8541807423947697,0.9723720233584492,False
DNMBP,51,12,0.0184442634263914,0.0034783487718956004,-0.016212338052253195,-0.6450623231581846,0.6126376470536782,319.0,0.8268107054784457,0.9674044216777472,False
NUMA1,51,12,-0.6256530360829686,-0.6441673018064218,-0.016202330566698706,-0.6450523078091435,0.612647646675746,301.0,0.9372189431595431,0.9886906673375715,False
ZNF646,51,12,-0.0924818422281472,-0.008434397067715949,-0.016161227627613454,-0.6450111726239176,0.6126887173686908,259.0,0.4156949080207949,0.8411792183123866,False
WDR83,51,12,-0.4317724850054399,-0.46687717503430415,-0.016160651007825187,-0.6450105955523413,0.612689293536691,309.0,0.9650967062050154,0.9951982789302922,False
ABCA6,51,12,0.1029011988655499,0.11849986819416905,-0.01615814632586244,-0.6450080889081192,0.6126917962563944,277.0,0.6178852154163545,0.9113038413441706,False
PLEKHG6,51,12,0.0009548062008351,-0.03372931917577895,-0.016026770204324334,-0.6448766102880893,0.6128230698794407,304.0,0.9790537466644217,0.9967049560393813,False
SCAND3,51,12,0.1147584284489816,0.13354153547793668,-0.016000397689255298,-0.6448502172982623,0.6128494219197517,304.0,0.9790537466644217,0.9967049560393813,False
TMEM202,51,12,0.0739716811794611,0.13567222273092105,-0.01573824408461414,-0.6445878619996386,0.6131113738304104,276.0,0.6056076894351258,0.9065003763344763,False
NRG2,51,12,-0.0382808846039584,-0.02079032801965905,-0.0156479412015174,-0.6444974904114358,0.6132016080084011,306.0,1.0,1.0,False
NPDC1,51,12,-0.013789993912384,-0.01765861522333315,-0.015602978723773383,-0.6444524938723352,0.6132465364247884,320.0,0.8132020097066828,0.9641663875918389,False
REXO1,51,12,-0.1648663147314537,-0.13897416973419352,-0.015555475628266794,-0.644404954897299,0.6132940036407655,305.0,0.9930172025151393,0.9983493658793117,False
WBP2NL,51,12,-0.0722797855884421,-0.04374453647924985,-0.01548902951144353,-0.6443384587766423,0.6133603997537553,297.0,0.8817274228954863,0.9798991359601383,False
PDE6B,51,12,-0.0281772748455186,-0.0750111572370891,-0.015471633903053311,-0.6443210501125914,0.6133777823064849,300.0,0.9233067279851885,0.9858840659546493,False
