gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
ENDOD1,21,46,-0.0489187826558754,-0.020415977285701152,-0.033480514716717334,-0.5496865972793997,0.4827255678459651,465.0,0.8130216758985656,0.9852978503241662,False
GTF2H5,21,46,-0.2549999114856197,-0.25866587235656585,-0.03338676575451972,-0.5495926742493891,0.48281914274034965,472.0,0.8871449258970601,0.9895056623146051,False
RIPPLY3,21,46,0.0412779813870872,0.03848376572450535,-0.03337009998110834,-0.5495759775829949,0.4828357776207783,481.0,0.983824818103462,0.9979636178845895,False
PSIP1,21,46,-0.0080865250722323,0.013108824981657049,-0.03335488668372882,-0.5495607360985213,0.4828509627310637,455.0,0.7101240406880398,0.9724767957520303,False
OR1K1,20,46,-0.02977398762606085,-0.0439475416189326,-0.03330508197369159,-0.5582957448634972,0.491685580916114,480.0,0.7855618077149905,0.98245574091237,False
MNDA,21,46,-0.0164433810751064,0.010148649189505799,-0.03318613774388821,-0.54939167536369,0.4830193998759136,438.0,0.5475328488570814,0.9405994574677329,False
TIMM8A,21,46,-0.5538803860927128,-0.5170582568298219,-0.03315909272786562,-0.5493645805239992,0.4830463950682679,469.0,0.8552172255918655,0.9873462979598139,False
DAAM1,21,46,0.115779229355582,0.11935990683684555,-0.033147252596094266,-0.5493527185925334,0.4830582134003449,478.0,0.9515010339392408,0.9950231577798386,False
STAT3,21,46,-0.0530412221886715,-0.0063452850777291,-0.033146998168716094,-0.5493524636967966,0.48305846735936436,480.0,0.9730446462002829,0.9962897261089356,False
LHFPL6,21,46,0.0672051444970226,0.043610611126285295,-0.033111070660310854,-0.5493164700878995,0.48309432876727787,473.0,0.8978309841029858,0.9916001064414659,False
PINK1,21,46,-0.0054153480454093,0.02429519548916825,-0.033086418181480816,-0.549291772294175,0.48311893593121336,435.0,0.5208672464604209,0.9325280033006046,False
C1orf226,21,46,-0.0861031080031184,-0.07417541515606735,-0.032859701078310544,-0.549064640033794,0.48334523787717293,467.0,0.834059714770874,0.9867912828674695,False
PLCXD3,21,46,0.1032782359742751,0.13613865619849946,-0.03285566013072871,-0.5490605917124461,0.4833492714509887,467.0,0.834059714770874,0.9867912828674695,False
GLUD1,21,46,0.0278160685376199,-0.01402148635335205,-0.032781305853318045,-0.5489861019180442,0.48342349021140807,517.0,0.6507032808621614,0.9658732585074911,False
TBC1D25,21,46,-0.0208802518213353,0.0045939070412306,-0.03266486003775169,-0.5488694444869473,0.4835397244114439,465.0,0.8130216758985656,0.9852978503241662,False
CERS5,21,46,0.0030546911823966,0.03816809217438765,-0.03263657870055638,-0.5488411118680722,0.48356795446695944,418.0,0.383327950950914,0.898557493880325,False
SLC32A1,21,46,-0.0433772963939049,-0.0538572541616195,-0.03261857686176593,-0.5488230774102336,0.4835859236867017,486.0,0.9730446462002829,0.9962897261089356,False
NDUFA5,21,46,-0.3725684175879895,-0.3545811676977031,-0.03256491493247719,-0.548769318353146,0.48363948848819166,439.0,0.5565690658274468,0.9435468903805563,False
LRRC14,21,46,0.0242768697388894,0.02219962951060745,-0.03249530917878567,-0.5486995868516442,0.4837089684940729,469.0,0.8552172255918655,0.9873462979598139,False
CDH6,21,46,0.0427608325898579,0.045948479564342296,-0.0324752668692016,-0.5486795083840696,0.4837289746456664,473.0,0.8978309841029858,0.9916001064414659,False
NNT,21,46,-0.0404798023421836,-0.019873099758047248,-0.032333829123138945,-0.5485378161066945,0.4838701578604166,494.0,0.8871449258970601,0.9895056623146051,False
TAS2R30,21,46,0.0385607324977629,0.0534917378394741,-0.03218323191071165,-0.5483869491006594,0.4840204852792361,486.0,0.9730446462002829,0.9962897261089356,False
GRAMD1C,21,46,0.0832857101323768,0.1050420891705949,-0.032179745134481325,-0.5483834560928161,0.48402396582385354,407.0,0.3075119442474926,0.8738959821585158,False
ELAC2,21,46,-0.9267407161972628,-0.9421096498177005,-0.03215361921171497,-0.5483572834989338,0.48405004507550375,497.0,0.8552172255918655,0.9873462979598139,False
CEP104,21,46,-0.0712618965422014,-0.0346686041068245,-0.032150352246590214,-0.5483540107003977,0.4840533062072172,450.0,0.6604663338849435,0.9671288944440182,False
GIMAP5,21,46,0.1295204669911271,0.154376388835199,-0.03214398607800092,-0.5483476331662395,0.4840596610102376,434.0,0.5121297152774459,0.9298949822008913,False
