gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
CATSPERG,41,17,-0.127859415352513,-0.132098694227393,0.14348083333517453,-0.42250859660081813,0.7094702632711671,396.0,0.42204896297669636,0.8085067209980072,False
MBP,41,17,0.1428276210230392,0.1144055648308714,0.14363763501873789,-0.42235311199442244,0.7096283820318983,389.0,0.4944204761739953,0.8429269634531635,False
PGLYRP4,41,17,-0.0055571068733497,-0.0159465500571975,0.1437538785696719,-0.4222378457736429,0.7097456029129867,377.0,0.6324320889629871,0.8977709151144974,False
PRAMEF2,34,14,0.0302190033108176,0.02021501416106605,0.1438128102816419,-0.47924545183200346,0.7668710723952872,241.0,0.9547793838143521,0.9923232004420411,False
SFXN1,41,17,-0.0560621399564761,-0.0534985734115737,0.14384183198645092,-0.4221506323589632,0.7098342963318651,345.0,0.9591286030246569,0.9923232004420411,False
ATN1,41,17,-0.1489729149727696,-0.1944967833912724,0.14389089384985707,-0.422101983477144,0.7098837711768582,395.0,0.43199099022852405,0.8156059593668142,False
RCHY1,41,17,-0.0492266084525135,-0.0596492799297241,0.1438935490765764,-0.4220993506049856,0.7098864487581383,387.0,0.5162542133145713,0.8537201275777501,False
UBA3,41,17,-0.6666802493402062,-0.722288375542532,0.14408378046689102,-0.4219107218587425,0.7100782827925245,398.0,0.40257214722169965,0.7972111759777746,False
CHRNB1,41,17,-0.0322575203098783,-0.0378309855836306,0.14408418562322128,-0.42191032011799107,0.7100786913644337,369.0,0.7326161997636194,0.9316539890752483,False
STK40,41,17,-0.2293642397453541,-0.2565598776485031,0.14409908299227575,-0.42189554834449267,0.7100937143290442,374.0,0.6693360983888843,0.9143994763473952,False
SSR4,41,17,-0.09080335877003,-0.1241158095023124,0.14409966158446694,-0.42189497463051195,0.7100942977994459,406.0,0.330207840350927,0.7540643030327305,False
NKTR,41,17,0.0008979057202349,0.0329710912201546,0.14415884883148658,-0.42183628650463667,0.7101539841676098,371.0,0.707056495107664,0.9237175085185472,False
CALHM4,41,17,0.1171660432688175,0.1021283116923615,0.14418445990805331,-0.42181089146755224,0.7101798112836588,396.0,0.42204896297669636,0.8085067209980072,False
OAZ2,41,17,0.0217735944525115,-0.021990769468153,0.14421772736754043,-0.4217779046893213,0.7102133594244022,418.0,0.23852410408810576,0.6976859462942177,False
