gene,n_structural,n_contact,median_structural,median_contact,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
PYGB,68,142,0.0279252929272015,0.0243236390430629,-0.11789855008072732,-0.4071591644138292,0.1713620642523746,4685.0,0.7294687025394843,,0.98680522861075,False
XKR3,68,142,0.00867594862904385,0.00594345934768605,-0.11789840497431754,-0.40715901876647537,0.1713622088178403,4553.0,0.5052945594835092,,0.966137422275411,False
SNX12,68,142,-0.09468301150113526,-0.0928711201978756,-0.11786841881109932,-0.4071289208317081,0.17139208320950944,4761.0,0.8717874742456508,,0.9932029481351271,False
DEFB136,68,142,-0.0060092253264685,0.012244413615583899,-0.11783844296597842,-0.4070988332818719,0.17142194734991503,4470.0,0.3856053933764586,,0.9427811108505699,False
MRGPRX2,68,142,0.09065057714025096,0.0958257781742113,-0.11783276563751599,-0.4070931348000917,0.1714276035250597,4614.0,0.6043593239487082,,0.9733516984786648,False
MRPS7,68,142,-0.4949364798197883,-0.46283540220409447,-0.11780746978724584,-0.4070677447116696,0.17145280513717798,4388.0,0.28614355038949835,,0.922756201489505,False
BTBD2,68,142,-0.00013168749311564287,0.02528067097820265,-0.11777688936066036,-0.40703705038653826,0.1714832716652175,4402.0,0.30177085723547825,,0.9273441715663,False
STAT6,68,142,-0.11441479813074634,-0.09127492700009475,-0.11768721558257027,-0.40694704278356814,0.17157261161842757,4389.0,0.2872413144895488,,0.922756201489505,False
LSMEM1,68,142,0.04037155982167345,0.039144343074281496,-0.11767808579372807,-0.4069378790218769,0.17158170743442075,4638.0,0.6455906062788426,,0.9784489127099688,False
OR51I1,56,127,-0.023422384731366548,-0.0082250110273216,-0.11766545465944792,-0.43229301553442867,0.1969621062155328,3179.0,0.2542360329820378,,0.9142008971523761,False
SLC39A2,68,142,0.033854775895274455,0.03638685491415075,-0.11762985611915867,-0.40688946992357944,0.17162975768526212,4585.0,0.5561821464905391,,0.9699158901008881,False
ELAC2,68,142,-0.9818921939118552,-0.9175940168226138,-0.1176038313480661,-0.40686334836580496,0.17165568566967274,4275.0,0.1799662983968684,,0.9052934661469995,False
ATP6V1H,68,142,-0.7877161432494413,-0.7373112435839067,-0.11758268170772315,-0.4068421200852459,0.17167675666979962,4369.0,0.265824066066891,,0.9224237213384258,False
CCDC38,68,142,-0.13658487228560245,-0.12413776102185459,-0.11756902336900044,-0.40682841096854483,0.17169036423054396,4712.0,0.7792425711103063,,0.9884513702585467,False
GRM3,68,142,0.015269019822235549,0.03395206601799205,-0.11756199115525531,-0.4068213526132437,0.1716973703027331,4317.0,0.2153716930199242,,0.9063200721756068,False
GRHL3,68,142,0.050663182391359446,0.056580692495932755,-0.11755166520008493,-0.4068109882751904,0.17170765787502057,4451.0,0.3608610990507717,,0.9393168700524839,False
ZWINT,68,142,-0.5208987310929176,-0.5196412507355421,-0.11754793588645238,-0.4068072451000543,0.1717113733271495,4505.0,0.43381901990965865,,0.9521185858017245,False
SPTAN1,68,142,-0.17401377913619265,-0.15963364326645055,-0.11753810898645635,-0.4067973816765098,0.17172116370359713,4540.0,0.4853448376949613,,0.9595058748300277,False
CAMTA1,68,142,-0.030929697833183,0.00648186097158515,-0.11752183533759564,-0.4067810475502338,0.17173737687504254,4234.0,0.14976516354467367,,0.8957816840172166,False
OCIAD2,68,142,0.0378079086169489,0.07439686915629685,-0.11747330430932401,-0.4067323362167815,0.1717857275981335,4251.0,0.16178172090699627,,0.8957816840172166,False
CATSPERD,68,142,-0.16274904992264438,-0.13303092316167425,-0.11742581677535019,-0.4066846723264547,0.17183303877575434,4428.0,0.3322738075138919,,0.9336754982909935,False
YIPF1,68,142,0.0202913978412102,0.0309546731577464,-0.11742097732758515,-0.40667981491023675,0.17183786025506642,4596.0,0.5742346385876352,,0.9701180207831983,False
GCFC2,68,142,-0.0747071505947838,-0.06960614782823504,-0.11739568431939777,-0.40665442800331814,0.17186305936452256,4483.0,0.40311839109948844,,0.94548566431436,False
AOAH,68,142,0.11811059864119855,0.12660956348756075,-0.11737637954017066,-0.40663505156988117,0.17188229248953985,4466.0,0.38031171287840193,,0.9416417182577499,False
TMX2,68,142,-0.3770829146229824,-0.4005813053841566,-0.11734733303955196,-0.40660589727854246,0.17191123119943852,4660.0,0.6843717995309192,,0.9843550899803778,False
SYTL4,68,142,0.04293353427623815,0.0498923927826636,-0.11734521726398285,-0.4066037736524325,0.17191333912446682,4638.0,0.6455906062788426,,0.9784489127099688,False
MYL6,68,142,-0.0900383999747407,-0.055371486769088055,-0.11731921735361742,-0.406577677281485,0.17193924257425017,4416.0,0.31795613527505984,,0.9320281313891438,False
CLEC2A,68,142,0.0192209064253262,0.0276627281023252,-0.11727227927299182,-0.4065305651129742,0.17198600656699053,4465.0,0.37899530279829696,,0.9416417182577499,False
TRIM8,68,142,0.0006192209316095501,-0.00707896214908165,-0.1172454756699516,-0.40650366212968786,0.1720127107897847,4631.0,0.6334442802914722,,0.9766370928552354,False
FCSK,68,142,0.0571632373122601,0.0653854692896487,-0.11721178238391078,-0.4064698439505655,0.17204627918274396,4569.0,0.5304284984277469,,0.9699158901008881,False
ADIRF,68,142,-0.0646601050345436,-0.06353575438252554,-0.11714306412195918,-0.40640087107728623,0.17211474283336786,4622.0,0.6179719535385139,,0.9740124926272851,False
OR11H4,56,127,-0.10053914479837485,-0.0933384441568491,-0.11711533406686583,-0.43174074062149703,0.1975100724877654,3385.0,0.6056381751781057,,0.9733516984786648,False
L3MBTL2,68,142,-0.02186792432629545,-0.0287641060292698,-0.11706530639749257,-0.40632282542874604,0.1721922126337609,4672.0,0.7058897555593896,,0.9853880270093744,False
