gene,n_Y220C,n_other_mut,median_Y220C,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
OMP,11,784,-0.0170088585276913,-0.0009716554705900501,-0.07993239520806956,-0.6750280055361312,0.515163215119992,4161.0,0.8422759563901185,,0.9919175002751499,False
PGAP1,11,784,-0.0509426741785114,-0.02662270165609775,-0.07990516763674586,-0.6750007691305495,0.5151904338570579,4142.0,0.8226764565719902,,0.9904154198173775,False
NUP62CL,11,784,0.2110492701321461,0.1838825733056343,-0.07989610022415657,-0.6749916987766157,0.5151994983283025,4573.0,0.7305309984349005,,0.9856522846221435,False
SOWAHD,11,784,0.0440877232268374,0.0657766872329638,-0.07988747460990538,-0.6749830703646429,0.515208121144832,4224.0,0.9078999320346436,,0.996655933537012,False
STEEP1,11,784,-0.2265250729744898,-0.2474495573759232,-0.07974357273891074,-0.6748391218635698,0.5153519763857483,4158.0,0.8391744639178337,,0.9919175002751499,False
PLVAP,11,784,-0.0415556346051688,-0.06426191792435175,-0.0797375885074159,-0.6748331356947603,0.5153579586799286,4940.0,0.40673828903061515,,0.9484430408460183,False
UNCX,11,784,0.0638382015750753,0.0654743952430273,-0.07972363795688879,-0.6748191806284944,0.5153719047147169,4058.0,0.7375011940172018,,0.9863849716507984,False
UBE2J1,11,784,0.0381909757546386,0.01358672681100015,-0.07970658606733125,-0.67480212322038,0.5153889510857175,4563.0,0.7404950806513507,,0.986681094017654,False
CENPE,11,784,-0.7008034287572456,-0.7376475442693229,-0.07966003164265545,-0.6747555537351588,0.5154354904498479,4057.0,0.7365041136211066,,0.9860152543262549,False
ARL8B,11,784,-0.2697820888011651,-0.2253918553707674,-0.07957908828102116,-0.6746745842089671,0.5155164076469249,4134.0,0.8144562759680936,,0.9904154198173775,False
SERINC1,11,784,0.1375239665891326,0.11208313746997894,-0.07952655070926597,-0.6746220296689259,0.515568928250394,4404.0,0.9037096942824742,,0.996280126485415,False
FAM53B,11,784,-0.0228107038736257,-0.02596883878988395,-0.07951812555547248,-0.6746136017950668,0.5155773506841219,4096.0,0.7757033952854925,,0.988669641431971,False
AJAP1,11,784,0.0698670969266286,0.052116714031112496,-0.07938170413160107,-0.674477136367572,0.5157137281043699,4326.0,0.9857593279327213,,0.9998228920813169,False
NKX3-2,11,784,0.0871402558824984,0.04201980095956895,-0.07937791442836085,-0.6744733454430168,0.5157175165862952,4750.0,0.5629675846843988,,0.9655204968179785,False
GLDC,11,784,-0.0914789302086442,-0.02694215661646815,-0.07931778313913275,-0.6744131947829636,0.5157776285046981,3898.0,0.5845795300631857,,0.9711319343101998,False
CYP1A1,11,784,0.0225778278837651,0.05445173599937505,-0.07929737978149257,-0.6743927848558764,0.5157980252928913,4014.0,0.6940693336696788,,0.9836831712147333,False
PPIB,11,784,-0.1535169770813335,-0.14517742765924155,-0.0792607981301617,-0.6743561914302639,0.5158345951699405,4053.0,0.7325202423354199,,0.9856522846221435,False
CASR,11,784,-0.0229751529315758,-0.0060886529567319506,-0.07923803802996336,-0.674333424007172,0.5158573479472454,4067.0,0.746494618600913,,0.9868850601124401,False
ACVRL1,11,784,0.0140879275553438,0.049557855184883745,-0.07923374805822174,-0.6743291326553993,0.5158616365389559,3963.0,0.6449649195871878,,0.9766598987785462,False
VCF2,11,784,-0.2943590800298971,-0.23132202915491626,-0.07919591373396946,-0.674291286163546,0.515899458695607,3822.0,0.5175083912150117,,0.9609494024320904,False
NFATC2,11,784,0.0261048230276123,0.02480333118075085,-0.07918819305401086,-0.6742835630013139,0.5159071768932922,3977.0,0.6583024167535114,,0.9779285225987052,False
AP4B1,11,784,0.0148579942658181,-0.026531244230859598,-0.07917697248028518,-0.6742723388204962,0.5159183938599258,4389.0,0.9194359605840479,,0.9977803470329059,False
TLE3,11,784,-0.1355230186506585,-0.08073069335786756,-0.07908757825321187,-0.6741829158740054,0.5160077593675816,3710.0,0.4264556649603256,,0.9491199840652291,False
ACAD11,11,784,0.0226841669319571,0.02035406650335485,-0.07906138252260057,-0.6741567117337159,0.5160339466885149,4369.0,0.940452372863283,,0.9977803470329059,False
SPATA16,11,784,-0.0496440402694221,-0.0156861906641938,-0.07904325336138827,-0.6741385767540867,0.5160520700313102,4015.0,0.6950459783166776,,0.9836831712147333,False
THAP12,11,784,-0.4753357177083842,-0.4258005113324037,-0.07904254387408215,-0.6741378670391032,0.5160527792909388,3910.0,0.595528282740806,,0.9711434266774587,False
CFLAR,11,784,-0.6605445314382561,-0.5879386808761172,-0.07891823849242327,-0.6740135217988713,0.5161770448140247,3663.0,0.3912170789515451,,0.9484430408460183,False
GCSAML,11,784,-0.0293959809728702,-0.0347277486959021,-0.07890457822959006,-0.6739998571596946,0.5161907007005144,4410.0,0.8974293987558508,,0.9954644891934857,False
RAPGEF2,11,784,-0.0620904617495319,-0.05261422583511485,-0.07878949179210616,-0.6738847338820021,0.5163057502977898,4287.0,0.9741589642468819,,0.9995595902543576,False
FBXW11,11,784,-0.4075229820609076,-0.38581118119281904,-0.07877925004443428,-0.6738744888584598,0.5163159887695912,3878.0,0.5665426704422543,,0.9657939888016461,False
CYP19A1,11,784,0.0266395436131381,-0.0034770445304131,-0.07869053936172955,-0.67378574981905,0.516404671095591,4220.0,0.9037096942824742,,0.996280126485415,False
