gene,n_R175H,n_other_mut,median_R175H,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
GOSR2,29,766,-0.9291313862221848,-0.9248897739034515,0.1918331610388323,-0.1790683969307491,0.5627347190084138,12027.0,0.4487610185903814,,0.9804720146635957,False
THUMPD2,29,766,-0.0535767830859015,-0.06800881917856065,0.1918392657430803,-0.17906229985493904,0.5627408313410996,12367.0,0.29946865384247456,,0.9703041375622421,False
TDRKH,29,766,-0.0391753694437553,-0.0726953529171526,0.19199554145997538,-0.1789062195027626,0.5628973024227133,12435.0,0.27413405824152104,,0.9703041375622421,False
SLC3A1,29,766,-0.0480978539307153,-0.0566753794735052,0.19200495499862433,-0.17889681773732266,0.5629067277345713,12302.0,0.32510241074517054,,0.9703041375622421,False
SHCBP1L,29,766,-0.010040600963949,-0.04092342454465675,0.1920900200872571,-0.17881185906301014,0.5629918992375244,12629.0,0.2100570517917365,,0.9641225477761958,False
CDK13,29,766,-0.0553721969006954,-0.09486637393416555,0.19211463353833713,-0.1787872764115348,0.5630165434882091,12420.0,0.27959267921300157,,0.9703041375622421,False
KRT6B,29,766,0.0296525478586016,0.0114058346208528,0.19213296358373053,-0.17876896930568006,0.5630348964731411,12163.0,0.3845634662016023,,0.9749337809332346,False
CCDC50,29,766,0.060715947173606,0.0268819576481889,0.1921593457157996,-0.17874262019395012,0.5630613116255493,12408.0,0.28401243171397383,,0.9703041375622421,False
PTPRM,29,766,-0.0158832024111485,-0.0155801564506925,0.19230567261779635,-0.17859647651952587,0.5632078217551186,11948.0,0.488684800583422,,0.9804894932204153,False
OSR1,29,766,0.1272646440127536,0.1123881171802894,0.1923083688386634,-0.17859378367611958,0.5632105213534464,12133.0,0.39821983708450903,,0.9749337809332346,False
LGALS9B,24,666,-0.3269878082090173,-0.3061238686906609,0.19234270257934066,-0.2150044762380806,0.5996898813967619,8795.0,0.40288671781741936,,0.9756626991187256,False
SLC4A11,29,766,0.065097513418978,0.0294243896979079,0.19235210114521326,-0.17855010615809583,0.5632543084485223,12524.0,0.2432468010266945,,0.9683966228263008,False
NAALAD2,29,766,0.0849718421690466,0.07204014742307971,0.1923733499842207,-0.17852888394446462,0.563275583912906,12055.0,0.4350680593071793,,0.980106609002037,False
MC4R,29,766,0.1067866400634786,0.08246253947736171,0.1925279977988663,-0.1783744299962961,0.5634304255940288,12378.0,0.2952678183516504,,0.9703041375622421,False
CYCS,29,766,-0.983425252803301,-1.0299180114048831,0.19254693750856514,-0.17835551404011543,0.5634493890572457,12255.0,0.344501581674618,,0.9703041375622421,False
TMEM209,29,766,-0.0385642316895083,-0.0460650687246434,0.19254709722933716,-0.1783553545196695,0.5634495489783438,12039.0,0.4428628749573611,,0.980106609002037,False
