drug_id,drug_name,n_group1,n_group2,median_group1,median_group2,cohens_d,mannwhitney_U,pvalue,fdr
BRD:BRD-K82941592-238-07-9,rosuvastatin,49,115,-0.0432,-0.0073,-0.0167,2740.0,0.7820675825518927,0.9964436473790778
BRD:BRD-K00003136-001-01-9,mitapivat,49,115,-0.0756,-0.0381,-0.1274,2740.0,0.7820675825518927,0.9964436473790778
BRD:BRD-K00003228-001-01-9,seletalisib,49,115,-0.2733,-0.3049,-0.007,2895.0,0.7820675825518927,0.9964436473790778
BRD:BRD-K25943794-001-02-3,,40,70,0.0851,0.0349,0.0886,1445.0,0.7821567288084098,0.9964436473790778
BRD:BRD-K59715032-362-01-4,,40,70,0.1348,0.1315,0.036,1445.0,0.7821567288084098,0.9964436473790778
BRD:BRD-K38197229-001-29-9,,40,70,0.0662,0.0254,-0.112,1355.0,0.7821567288084098,0.9964436473790778
BRD:BRD-K21164796-001-02-8,,40,70,-0.1506,-0.1483,-0.0224,1445.0,0.7821567288084098,0.9964436473790778
BRD:BRD-A68888262-003-15-1,,40,70,0.0286,0.0452,-0.014,1355.0,0.7821567288084098,0.9964436473790778
BRD:BRD-A84481105-003-31-3,,40,70,-0.117,-0.1152,0.0936,1445.0,0.7821567288084098,0.9964436473790778
BRD:BRD-K59839632-001-02-9,ICA-069673,49,116,-0.1585,-0.1205,-0.1413,2764.0,0.7822539513803398,0.9964436473790778
BRD:BRD-K77951111-001-05-9,PD-81723,49,116,-0.234,-0.2131,-0.0884,2764.0,0.7822539513803398,0.9964436473790778
BRD:BRD-K26833429-001-02-8,,39,69,0.2129,0.1794,0.0862,1389.0,0.7832888540988063,0.9964436473790778
BRD:BRD-K41185545-001-02-3,,39,69,0.1919,0.176,-0.0554,1302.0,0.7832888540988063,0.9964436473790778
BRD:BRD-K19180152-001-02-6,,39,69,-0.2205,-0.2734,0.0973,1389.0,0.7832888540988063,0.9964436473790778
BRD:BRD-A45889380-300-07-1,,39,69,0.24,0.3283,0.0016,1302.0,0.7832888540988063,0.9964436473790778
BRD:BRD-K20958582-001-01-4,,39,69,-1.5457,-1.5204,-0.0203,1302.0,0.7832888540988063,0.9964436473790778
BRD:BRD-A65248799-001-01-7,,39,70,-0.0874,-0.106,-0.0068,1409.0,0.7833310657707676,0.9964436473790778
BRD:BRD-K01666412-001-02-0,,39,70,0.0896,0.0939,-0.0641,1321.0,0.7833310657707676,0.9964436473790778
BRD:BRD-K41267922-001-01-4,,39,70,0.1373,0.1028,-0.0874,1321.0,0.7833310657707676,0.9964436473790778
BRD:BRD-K04643927-001-01-6,,31,64,0.2292,0.1426,0.0075,1027.0,0.7842044901398835,0.9964436473790778
