gene,n_R248W,n_other_mut,median_R248W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
ATF5,69,726,-0.145583559770474,-0.1695736733435326,0.07484514635785734,-0.1720923271864983,0.321782619902213,26150.0,0.545304444823661,,0.974937906968663,False
EFNA4,69,726,-0.1173435593163597,-0.13650381418797275,0.07487914812151791,-0.17205835032721917,0.321816646570255,25770.0,0.6918466966260151,,0.982517665309694,False
ASPHD2,69,726,-0.0612861040086157,-0.06816989874304424,0.07488930314536843,-0.17204820274354618,0.32182680903428307,26298.0,0.4927122978035601,,0.9669109002141754,False
GPA33,69,726,-0.0476625469785959,-0.05625473138621495,0.07490665053025385,-0.17203086807072532,0.32184416913123304,26276.0,0.5003542348004845,,0.9700347912431059,False
OR3A1,61,640,0.0257024697245622,0.02584392625285515,0.07491018338099695,-0.18775384098380762,0.3375742077458015,19905.0,0.7991655540548052,,0.9855497901217778,False
NDUFA6,69,726,-0.4864569723413354,-0.5009342992216474,0.07491526865452583,-0.17202225626286,0.32185279357191166,25657.0,0.7381075553961756,,0.9846141703822358,False
NAB2,69,726,-0.0859302642737899,-0.0810315230947857,0.07497250829251624,-0.1719650585954554,0.3219100751804879,26207.0,0.5247240457076414,,0.9733525298159795,False
TLR10,69,726,0.1379076558466749,0.14009631428796285,0.07500590049513095,-0.17193169089225405,0.3219434918825159,25369.0,0.8600040706355833,,0.9863925909346835,False
MAGEC2,69,726,0.0387635541366118,0.02453065699821055,0.07502104615876824,-0.1719165563443834,0.32195864866191987,26599.0,0.39470028272644453,,0.960818458654492,False
SPATA9,69,726,0.0038125641815443,-0.008331167532537102,0.07506957785361128,-0.17186806028323265,0.3220072159904552,25174.0,0.9446747535686653,,0.994595913700883,False
LIME1,69,726,0.052397758354003,0.0521997121199723,0.07514447110434955,-0.17179322206698583,0.3220821642756849,25385.0,0.8531142961470685,,0.9860487986838807,False
RNF112,69,726,0.1867681729265273,0.18023504020398845,0.07515805852148069,-0.17177964464030043,0.3220957616832618,26502.0,0.424921599214787,,0.9645865546930429,False
GAS2,69,726,0.0267676736899973,0.0047634765367408,0.0751739947934566,-0.17176372008811827,0.32211170967503144,27020.0,0.2792182270054012,,0.9413366814923659,False
