gene,n_G245S,n_other_mut,median_G245S,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
SGTA,17,778,-0.1208728543273184,-0.0690968274895888,-0.3925581569693536,-0.8734719597368658,0.08835564579815858,4947.0,0.07538186244698945,,0.9915320609368711,False
GGCX,17,778,-0.3063853936354992,-0.2287034040266704,-0.39254314647688937,-0.8734569196423048,0.08837062668852608,4829.0,0.05689534023116478,,0.9915320609368711,False
PDCD4,17,778,0.0412882112355037,0.07753238895533279,-0.3924432577841664,-0.8733568339885095,0.08847031842017672,4992.0,0.0836140760249501,,0.9915320609368711,False
KRT25,17,778,-0.1442883925583113,-0.11819622347186651,-0.39232631382986477,-0.8732396595070696,0.08858703184734007,4914.0,0.06977544618272725,,0.9915320609368711,False
CTDSP2,17,778,-0.1777913591124476,-0.1841594089005924,-0.3923195691863042,-0.8732329015701437,0.08859376319753531,6552.0,0.9484992722061725,,0.999748066762134,False
PHF8,17,778,-0.2443906779292328,-0.15170580389629001,-0.3922753959183529,-0.873188641244464,0.08863784940775815,4616.0,0.03304643459751253,,0.9915320609368711,False
MYH11,17,778,-0.1158019740576948,-0.09348028663996005,-0.39221609113384803,-0.8731292195960677,0.08869703732837164,5271.0,0.15208014044491436,,0.9915320609368711,False
TIMMDC1,17,778,-0.2936672601713138,-0.25247336504442175,-0.392162718159951,-0.8730757414623758,0.08875030514247373,5369.0,0.18431192561955012,,0.9915320609368711,False
MAEL,17,778,-0.0399078470019761,0.018902811715150798,-0.3921396257660134,-0.8730526035743447,0.0887733520423179,4808.0,0.054037709448034925,,0.9915320609368711,False
TRMT10B,17,778,-0.040512518093358,0.005304924674873699,-0.39174747685980477,-0.8726596825078863,0.08916472878827675,5037.0,0.09255964327802518,,0.9915320609368711,False
IL23R,17,778,-0.0141435946185965,0.0301349278197048,-0.3915691033682929,-0.8724809580455197,0.08934275130893382,5085.0,0.10293225313953498,,0.9915320609368711,False
MICA,17,778,0.0238405459597118,0.0560703633428407,-0.3914823483036565,-0.8723940323377593,0.08942933573044626,5077.0,0.10114198673202207,,0.9915320609368711,False
ALOX5,17,778,-0.1268670090416312,-0.10665455425042661,-0.39146303369941265,-0.872374679747737,0.0894486123489116,5214.0,0.13541694662753243,,0.9915320609368711,False
