gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
ARMC9,53,18,0.0233631874860821,0.0388807849227978,-0.21528090045683176,-0.7511432958762102,0.3205814949625466,402.0,0.32476864278107676,0.7801026129840665,False
SARS1,53,18,-3.039723289866352,-2.961163299909145,-0.21526455567259012,-0.7511267734593021,0.32059766211412183,408.0,0.36525321899465824,0.8028619632053863,False
ZNF490,53,18,0.0351706712720101,0.06075524830004381,-0.21525512367379865,-0.751117238961071,0.3206069916134737,427.0,0.512939443027175,0.8680926615722514,False
CEP164,53,18,0.133099354957796,0.13073161859578242,-0.21525341472412557,-0.7511155114403745,0.3206086819921234,443.0,0.6579197093229876,0.9198567732847021,False
C10orf53,53,18,-0.0352319673505546,-0.01572877839894135,-0.21513428595046732,-0.7509950884653608,0.3207265165644261,442.0,0.648386625942407,0.9160327971118025,False
AEBP2,53,18,0.0030305053137828,0.0665987073543882,-0.21506269637971498,-0.7509227214968485,0.3207973287374185,417.0,0.4316081041696491,0.8313854612156756,False
MTA2,53,18,-0.1930503272496924,-0.1777195768872361,-0.2149754766892157,-0.7508345550277886,0.32088360164935725,421.0,0.46320919422498197,0.8459905470458726,False
UBE3D,53,18,-0.1486690653442656,-0.08414111537381935,-0.21491996343127856,-0.7507784393669601,0.3209385125044029,384.0,0.22147280410512127,0.7131312032255236,False
PLK2,53,18,0.0680137227958913,0.043427314012611754,-0.21490051239974844,-0.7507587772989368,0.32095775249944,416.0,0.423907611991449,0.8284852977136472,False
NDC1,53,18,-0.7187508376308209,-0.6852511862534818,-0.2148259791371623,-0.7506834355540886,0.321031477279764,449.0,0.716244874049073,0.9384786427042991,False
CIMIP2C,53,18,-0.0163089823249222,-0.03580520306729805,-0.2147616241007485,-0.7506183826659967,0.32109513446449967,431.0,0.5475752950305839,0.8817419674732025,False
SLC49A3,53,18,0.0976794844977548,0.16957213417074352,-0.21475100679684192,-0.7506076502504174,0.32110563665673364,365.0,0.14054778471749826,0.639039735881938,False
CCDC50,53,18,-0.0186031335048164,-0.00107358017785585,-0.2147328481672993,-0.7505892947600894,0.32112359842549076,410.0,0.379419978110361,0.8090078099555251,False
COA6,53,18,-0.2032955794741558,-0.12479106703011734,-0.21466625505121445,-0.7505219798385743,0.3211894697361454,393.0,0.26973915321501385,0.7448921469081589,False
NUP210L,53,18,-0.0094179689928142,0.0194501549865411,-0.2145988718257825,-0.7504538664705781,0.32125612281901306,411.0,0.3866283814187361,0.8126871921880241,False
TEX11,53,18,0.0134417395969412,0.0134405320397587,-0.21458090058662527,-0.7504357005395104,0.32127389936625983,412.0,0.3939197433604392,0.8154853904972221,False
