gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
PRRT2,34,22,-0.10688702324231494,-0.08299363002005125,0.08709332445841353,-0.4494288204293223,0.6236154693461494,388.0,0.8208255544248988,0.9939426874910255,False
CYP11A1,34,22,-0.08975997478363926,-0.10913269340466294,0.0870958704773087,-0.4494262885860888,0.6236180295407062,409.0,0.5627304546816487,0.9688594131664394,False
KIF24,34,22,-0.0431773917846053,-0.0418574698540033,0.08710063566985489,-0.4494215499261777,0.6236228212658875,391.0,0.7819237678474894,0.9925402232094982,False
ASCC1,34,22,-0.12720384508263233,-0.14565904353379436,0.08719670476977001,-0.44932601604923317,0.6237194255887732,398.0,0.6933974414747719,0.9858093111271495,False
DDX52,34,22,-0.6322907782311058,-0.5874369177559255,0.08721991530079856,-0.44930293491780526,0.6237427655194023,388.0,0.8208255544248988,0.9939426874910255,False
RNF150,34,22,0.007984824819801,-0.00276799360293915,0.08722401921991389,-0.4492988538817762,0.623746892321604,363.0,0.8601732176586243,0.9960224609396491,False
ZNF83,34,22,-0.00487156754351075,-0.03174576019208785,0.08738226528044699,-0.44914149100758216,0.6239060215684762,390.0,0.7948357193116373,0.9925402232094982,False
KLHDC3,34,22,-0.05793540948855255,-0.07071031415771685,0.08753501886061411,-0.4489895914768015,0.6240596291980297,413.0,0.5183461990191067,0.9660335123588487,False
FASTKD2,34,22,0.07611759101504185,0.07940773049601706,0.08758379152126775,-0.44894109181929387,0.6241086748618293,387.0,0.8338965570962654,0.9944031952984228,False
LDLR,34,22,-0.231433547915286,-0.2689562620471796,0.0876318349458038,-0.44889331746457156,0.6241569873561792,393.0,0.756282654287443,0.9897726121558935,False
UBLCP1,34,22,0.0803125281979644,0.08034312382982275,0.08765414783915194,-0.44887112958592945,0.6241794252642333,389.0,0.8078041210191695,0.9939426874910255,False
FAM186A,34,22,-0.15564376654867676,-0.1722341637059801,0.08765934343978443,-0.44886596309977866,0.6241846499793475,405.0,0.6088718571321212,0.9744878809130727,False
TSPAN4,34,22,-0.01085763952741285,-0.0074870033008186,0.08776314884761807,-0.4487627397455357,0.6242890374407718,388.0,0.8208255544248988,0.9939426874910255,False
LMNB1,34,22,-0.0912495021175963,-0.1264905420053808,0.08778636900350142,-0.4487396498829873,0.6243123878899902,430.0,0.3518028890602052,0.9274519027291936,False
ERP44,34,22,0.0162994926880311,-0.0160652767785775,0.08786457283441916,-0.4486618851240354,0.6243910307928737,426.0,0.38759239010777813,0.9386535960138087,False
TAB1,34,22,0.0669612793508497,0.08067615155562041,0.08787238728774356,-0.4486541145660811,0.6243988891415683,384.0,0.8733717563276544,0.9961310310868862,False
AQP7,34,22,-0.47780712545393744,-0.4603354744444381,0.08788079965604269,-0.4486457494561209,0.6244073487682062,389.0,0.8078041210191695,0.9939426874910255,False
FCHO2,34,22,-0.0215262886047848,0.0011698849595131,0.0879098961737795,-0.44861681642935813,0.6244366087769172,389.0,0.8078041210191695,0.9939426874910255,False
SLC37A1,34,22,-0.0180414877042283,-0.0119541891521266,0.0880821520819539,-0.4484455295207762,0.624609833684684,386.0,0.8470136254688276,0.9947726217374736,False
ADAM15,34,22,-0.041747506903133294,-0.07266025595006881,0.08808987081773301,-0.44843785424994154,0.6246175958854076,415.0,0.4968528609736331,0.961122549009028,False
FETUB,34,22,-0.14651409116472386,-0.1292894682541931,0.08813723773046454,-0.44839075414817986,0.624665229609109,365.0,0.8866056315986153,0.9967168732931722,False
SCG5,34,22,-0.20516150692720914,-0.23892883621010907,0.08814401042516615,-0.44838401961479746,0.6246720404651298,403.0,0.6325566919155012,0.9785428665073075,False
PSMF1,34,22,-0.3321621536869997,-0.34634337610019866,0.08819938353385093,-0.4483289586204525,0.6247277256881544,412.0,0.5292703345596823,0.9669654514228317,False
BCL2A1,34,22,0.00570383495417385,-0.07155036419811994,0.08827593774496174,-0.44825283623494366,0.6248047117248672,443.0,0.2504764112299569,0.9051653650035034,False
SPTBN1,34,22,0.00327690477126495,0.02051509405110605,0.0883769019055907,-0.4481524421634665,0.6249062459746478,380.0,0.9264827526061189,0.9971131513184466,False
CD69,34,22,0.14036887046035826,0.1167637059221156,0.0884912319560157,-0.44803875845806773,0.6250212223700992,401.0,0.6566245253446286,0.9821207898002782,False
STAT3,34,22,-0.1024002027405864,-0.0898877361273529,0.08849912027907737,-0.44803091476105383,0.6250291553192086,361.0,0.8338965570962654,0.9944031952984228,False
HSD11B1,34,22,-0.0781082912194721,-0.06056179301244055,0.08855935380799808,-0.44797102211801276,0.6250897297340089,395.0,0.7309071501723846,0.9882664751133565,False
CLNS1A,34,22,-1.444018240440296,-1.6144734985284677,0.08858116744149117,-0.44794933199383935,0.6251116668768216,410.0,0.5514644144168891,0.9669654514228317,False
DNMT3B,34,22,-0.0620994841892647,0.006233778510382549,0.08860310746847913,-0.44792751622246874,0.6251337311594269,370.0,0.953176809807851,0.9983015907703142,False
METTL18,34,22,0.11231577066550386,0.10442980335260045,0.08863021445383414,-0.44790056279784973,0.625160991705518,397.0,0.7058227576145661,0.9862112639191113,False
CFAP65,34,22,-0.0135034092687425,-0.01297510714207715,0.08866710406375225,-0.4478638822425035,0.625198090370008,369.0,0.9398213291647697,0.9971131513184466,False
ABHD17C,34,22,0.058945601609367904,0.02580815254473155,0.08870338272853176,-0.44782780925481647,0.6252345747118799,408.0,0.5741064196186814,0.9698576204537455,False
SLC35A5,34,22,0.003922521461665,0.0040890002860403,0.08871045136447082,-0.4478207807033587,0.6252416834323004,378.0,0.953176809807851,0.9983015907703142,False
TAS2R46,34,22,-0.026265261991902253,-0.0204045573741441,0.08871381057247066,-0.44781744054571293,0.6252450616906542,389.0,0.8078041210191695,0.9939426874910255,False
RAVER1,34,22,-0.07919254028382369,-0.035324844981149905,0.08872177071174475,-0.44780952555194237,0.6252530669754319,374.0,1.0,1.0,False
TMTC1,34,22,0.05763170107893905,0.0241523719664021,0.08872778641555895,-0.447803543968555,0.6252591167996728,422.0,0.4255174461428247,0.9439609397034702,False
CREB1,34,22,-0.15452539578627805,-0.19509714234251624,0.08880739126945904,-0.4477243908425004,0.6253391733814184,402.0,0.6445440390696999,0.9802911349237069,False
DCN,34,22,0.0675588953158686,0.06617724315299825,0.08881261415137588,-0.4477191976126378,0.6253444259153895,383.0,0.8866056315986153,0.9967168732931722,False
TENT4A,34,22,0.029753570268141197,0.0428336990991601,0.08882460202428483,-0.4477072778054965,0.6253564818540662,383.0,0.8866056315986153,0.9967168732931722,False
