gene,cohens_d,p_value,n_lost,n_intact,median_resid_lost,median_resid_intact,fdr,composite_score
APH1A,-0.3081,0.018329620078250355,67,585,-0.0338,0.0127,0.9386686983213505,0.0085
ADH6,-0.3076,0.0075905855760449335,67,585,-0.0232,0.0111,0.9055524643035545,0.0133
PRPF3,-0.3074,0.007652724863363962,67,585,-0.0513,0.0125,0.9055524643035545,0.0132
POLR2I,-0.3071,0.014287195275582443,67,585,-0.1187,-0.0015,0.937064421680845,0.0087
DHRS3,-0.3058,0.007008023075432864,67,585,-0.0205,0.0126,0.9055524643035545,0.0132
CCNA1,-0.3053,0.01220682895701364,67,585,-0.0209,0.0029,0.9204724187690524,0.011
NKAIN1,-0.3051,0.025555457562841062,67,585,-0.0186,-0.0011,0.9976759412731231,0.0003
SMIM10,-0.3038,0.015208976264429925,67,585,-0.0266,0.0,0.9386686983213505,0.0084
GTF3C1,-0.3034,0.1068451837374481,67,585,-0.0191,0.0103,0.9988716805228369,0.0001
HK1,-0.3033,0.3517338633511311,67,585,0.006,0.0115,0.9988716805228369,0.0001
C6orf141,-0.3027,0.0026773974931265073,67,585,-0.0412,0.0088,0.9027528056843022,0.0134
AP4B1,-0.3027,0.08115826275241597,67,585,-0.0239,-0.0002,0.9988716805228369,0.0001
AGO1,-0.3016,0.040223332778536194,67,585,-0.0057,0.0174,0.9976759412731231,0.0003
LDHD,-0.3016,0.006601209732885752,67,585,-0.0298,0.0093,0.9055524643035545,0.013
FAM47E,-0.3009,0.0021778139852135546,67,585,-0.0301,0.0087,0.9027528056843022,0.0134
MGAT4A,-0.3009,0.03554293994384337,67,585,-0.0035,0.0108,0.9976759412731231,0.0003
KRTAP19-6,-0.3003,0.014124999002547612,67,585,-0.0428,0.0034,0.937064421680845,0.0085
ADRA1D,-0.3002,0.008183023351128225,67,585,-0.0367,0.0034,0.9055524643035545,0.0129
EEF2K,-0.3001,0.04615961468703407,67,585,-0.0319,0.0001,0.9976759412731231,0.0003
GGT1,-0.3001,0.10294696887811901,23,134,-0.0555,0.0145,0.9988716805228369,0.0001
POMP,-0.3,0.051819485237930715,67,585,-0.0373,0.0165,0.9988716805228369,0.0001
LYSMD3,-0.2999,0.023049359231651932,67,585,-0.0223,0.001,0.9863915522261356,0.0018
ARHGEF28,-0.2996,0.008589107288186605,67,585,-0.0424,0.0,0.9055524643035545,0.0129
EXOC3L4,-0.299,0.05332184500147445,67,585,-0.0191,0.0029,0.9988716805228369,0.0001
GDF9,-0.2982,0.02804826803330911,67,585,-0.0256,0.0092,0.9976759412731231,0.0003
SNTB1,-0.2981,0.04915711635994818,67,585,-0.0314,-0.0018,0.9988716805228369,0.0001
SMKR1,-0.2977,0.027274522538700493,67,585,-0.0073,0.007,0.9976759412731231,0.0003
TRNAU1AP,-0.2976,0.025555457562841062,67,585,-0.043,0.0227,0.9976759412731231,0.0003
HEPH,-0.2976,0.008117038962828834,67,585,-0.0179,0.0026,0.9055524643035545,0.0128
RNF180,-0.2973,0.07140526615369384,67,585,-0.006,0.0043,0.9988716805228369,0.0001
ZNF772,-0.2965,0.011787822979364171,67,585,-0.0306,0.004,0.9204724187690524,0.0107
EFNB3,-0.2963,0.022598939228499256,67,585,-0.0165,0.004,0.984041069643297,0.0021
RMDN2,-0.2961,0.018636219764787285,67,585,-0.0221,0.0083,0.9386686983213505,0.0081
COG6,-0.296,0.0018066079275498312,67,585,-0.0721,0.0231,0.9027528056843022,0.0132
OTUD7A,-0.2959,0.062153126878295384,67,585,-0.0231,0.0114,0.9988716805228369,0.0001
CALB1,-0.2957,0.005156070907667342,67,585,-0.0469,0.0009,0.9055524643035545,0.0127
ZDHHC14,-0.2944,0.021216297876864104,67,585,-0.0181,0.0099,0.9680138351909676,0.0042
CYSLTR1,-0.2944,0.0314972197043639,67,585,-0.0069,0.0052,0.9976759412731231,0.0003
CSDE1,-0.2943,0.028343262024720567,67,585,-0.0602,0.0221,0.9976759412731231,0.0003
INTS12,-0.2942,0.02934596017748433,67,585,-0.0665,0.0034,0.9976759412731231,0.0003
