gene,d_unstratified,fdr_unstratified,cs_unstratified,d_tp53mut,fdr_tp53mut,n_lost_tp53mut,n_intact_tp53mut,d_tp53wt,fdr_tp53wt,n_lost_tp53wt,n_intact_tp53wt,confounding_class
RBM42,-0.385,0.711128243547715,0.057,-0.3161,0.9999689672426924,52,376,-0.5688,0.8990744118498754,15,209,not significant
FKBP6,-0.3809,0.8135785120137442,0.0341,-0.546,0.9999689672426924,18,104,0.1204,0.9677476630852331,5,30,not significant
MFN1,-0.3803,0.7219270726160641,0.0538,-0.3026,0.9999689672426924,52,376,-0.5826,0.8565507742402518,15,209,not significant
LMTK2,-0.3797,0.5221159999823018,0.1072,-0.3932,0.9999689672426924,52,376,-0.3955,0.885589421157708,15,209,not significant
PATL1,-0.379,0.5148043083045757,0.1093,-0.3771,0.9999689672426924,52,376,-0.3135,0.9122216046183111,15,209,not significant
ANAPC4,-0.3786,0.6451632751223236,0.0721,-0.3436,0.9999689672426924,52,376,-0.3642,0.9157113964247774,15,209,not significant
OR2C1,-0.3779,0.5910446511533526,0.0863,-0.3228,0.9999689672426924,48,364,-0.4256,0.9015952170117766,13,206,not significant
GALM,-0.3744,0.5221159999823018,0.1057,-0.3695,0.9085634321589086,52,376,-0.4885,0.9157113964247774,15,209,not significant
PRRG3,-0.3728,0.5559311675252981,0.0951,-0.2781,0.9999689672426924,52,376,-0.6631,0.8565507742402518,15,209,not significant
KLHL38,-0.3712,0.8990645357508448,0.0172,-0.2819,0.9999689672426924,52,376,-0.6759,0.8785037499217365,15,209,not significant
RAF1,-0.3678,0.6956303534759828,0.058,-0.2714,0.9999689672426924,52,376,-0.6446,0.8801446036990509,15,209,not significant
MYL5,-0.3675,0.5559311675252981,0.0937,-0.3193,0.9999689672426924,52,376,-0.647,0.8565507742402518,15,209,not significant
GDF9,-0.3672,0.5559311675252981,0.0936,-0.2761,0.9999689672426924,52,376,-0.5599,0.8565507742402518,15,209,not significant
SUMO4,-0.3665,0.8943774342954771,0.0178,-0.4121,0.9999689672426924,18,104,-0.2414,0.9773453243544568,5,30,not significant
PRPF39,-0.3664,0.5221159999823018,0.1034,-0.283,0.9999689672426924,52,376,-0.6173,0.8565507742402518,15,209,not significant
ANKRD39,-0.3654,0.5221159999823018,0.1031,-0.4007,0.9085634321589086,52,376,-0.2575,0.9640694767018199,15,209,not significant
POLR3E,-0.3647,0.6780490098953341,0.0615,-0.4121,0.9999689672426924,52,376,-0.0882,0.9876257993011279,15,209,not significant
TBC1D2B,-0.3646,0.6780490098953341,0.0615,-0.3222,0.9999689672426924,52,376,-0.4358,0.9122216046183111,15,209,not significant
TENT4A,-0.3645,0.7248447529296369,0.0509,-0.1695,0.9999689672426924,52,376,-0.9371,0.8565507742402518,15,209,not significant
TFAP2B,-0.3635,0.7645918294910587,0.0424,-0.3421,0.9999689672426924,52,376,-0.4391,0.9851186467217348,15,209,not significant
GJA4,-0.3635,0.5559311675252981,0.0927,-0.3527,0.9958368092609757,52,376,-0.3841,0.9514490027100453,15,209,not significant
ANAPC15,-0.3613,0.5559311675252981,0.0921,-0.3759,0.9999689672426924,52,376,-0.2494,0.9200234123462353,15,209,not significant
ADRA1D,-0.3612,0.5559311675252981,0.0921,-0.312,0.9999689672426924,52,376,-0.4697,0.8646953223146893,15,209,not significant
FBXW7,-0.3609,0.5221159999823018,0.1019,-0.3062,0.9999689672426924,52,376,-0.5527,0.8565507742402518,15,209,not significant
DNAJC10,-0.3595,0.5598093086198781,0.0906,-0.2795,0.9999689672426924,52,376,-0.532,0.9015952170117766,15,209,not significant
SCD5,-0.3593,0.5910446511533526,0.0821,-0.3676,0.9999689672426924,52,376,-0.3408,0.9563843618113319,15,209,not significant
HK1,-0.3583,0.8961692211488933,0.0171,-0.3984,0.9999689672426924,52,376,-0.1298,0.9876957163692404,15,209,not significant
ADAMTS3,-0.3567,0.6451632751223236,0.0679,-0.3125,0.9999689672426924,52,376,-0.4192,0.8801446036990509,15,209,not significant
AMY2A,-0.356,0.6866422565440923,0.0581,-0.3223,0.9999689672426924,52,363,-0.4728,0.8565507742402518,15,201,not significant
DFFA,-0.356,0.4952628302477431,0.1086,-0.3159,0.9999689672426924,52,376,-0.4742,0.8565507742402518,15,209,not significant
TSGA10IP,-0.3555,0.8695492064204181,0.0216,-0.2431,0.9999689672426924,18,104,-0.7383,0.9157113964247774,5,30,not significant
SLC25A27,-0.3548,0.7248447529296369,0.0496,-0.3058,0.9999689672426924,52,376,-0.4471,0.9157113964247774,15,209,not significant
ENTREP2,-0.3545,0.5221159999823018,0.1001,-0.313,0.9999689672426924,52,376,-0.3465,0.9267247590594901,15,209,not significant
LRRC3B,-0.3544,0.6780490098953341,0.0598,-0.3629,0.9999689672426924,52,376,-0.3604,0.9283903501386669,15,209,not significant
ZBTB1,-0.354,0.5221159999823018,0.0999,-0.3357,0.9958368092609757,52,376,-0.5434,0.8565507742402518,15,209,not significant
SPNS2,-0.3539,0.6780490098953341,0.0597,-0.4274,0.9085634321589086,52,376,-0.209,0.9944738366464662,15,209,not significant
UBL4B,-0.3534,0.5559311675252981,0.0901,-0.319,0.9999689672426924,52,376,-0.3979,0.8801446036990509,15,209,not significant
LMBR1L,-0.3532,0.6866422565440923,0.0577,-0.3065,0.9999689672426924,52,376,-0.399,0.9200234123462353,15,209,not significant
SYNGR2,-0.3531,0.6780490098953341,0.0596,-0.2435,0.9999689672426924,52,376,-0.6871,0.8565507742402518,15,209,not significant
TEX55,-0.3529,0.5910446511533526,0.0806,-0.2516,0.9999689672426924,52,376,-0.6329,0.8565507742402518,15,209,not significant
SMKR1,-0.3529,0.5890659148455608,0.0811,-0.2506,0.9999689672426924,52,376,-0.66,0.8565507742402518,15,209,not significant
OR51E1,-0.3526,0.8861314541567127,0.0185,-0.2744,0.9999689672426924,48,364,-0.5993,0.9157113964247774,13,206,not significant
CD1D,-0.3523,0.6967120484934631,0.0553,-0.1845,0.9999689672426924,52,376,-0.897,0.8565507742402518,15,209,not significant
MELK,-0.3523,0.6780490098953341,0.0594,-0.2537,0.9999689672426924,52,376,-0.5886,0.9015952170117766,15,209,not significant
KRTAP4-11,-0.3522,0.9354612676893624,0.0102,-0.1766,0.9999689672426924,52,366,-0.9372,0.9043135871302206,15,201,not significant
IFTAP,-0.3517,0.6780490098953341,0.0593,-0.3899,0.9999689672426924,52,376,-0.2622,0.9679531740719629,15,209,not significant
