cancer_type,gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,composite_score,gene_set
Pan-cancer (RAS-excluded),GDF9,-0.3672,0.003668953995028328,67,585,-0.0657,-0.0214,0.5559311675252981,0.0936,
Pan-cancer (RAS-excluded),SUMO4,-0.3665,0.16834091630154335,23,134,0.1059,0.0996,0.8943774342954771,0.0178,
Pan-cancer (RAS-excluded),PRPF39,-0.3664,0.0018192489661040501,67,585,-0.5095,-0.4082,0.5221159999823018,0.1034,
Pan-cancer (RAS-excluded),ANKRD39,-0.3654,0.0021978419619459485,67,585,-0.2134,-0.1719,0.5221159999823018,0.1031,
Pan-cancer (RAS-excluded),POLR3E,-0.3647,0.013752849103805847,67,585,-0.9317,-0.8559,0.6780490098953341,0.0615,
Pan-cancer (RAS-excluded),TBC1D2B,-0.3646,0.011381626561507747,67,585,-0.0596,-0.0254,0.6780490098953341,0.0615,
Pan-cancer (RAS-excluded),TENT4A,-0.3645,0.027514321912312317,67,585,0.0169,0.0524,0.7248447529296369,0.0509,
Pan-cancer (RAS-excluded),TFAP2B,-0.3635,0.04360206740659336,67,585,-0.0489,-0.0345,0.7645918294910587,0.0424,
Pan-cancer (RAS-excluded),GJA4,-0.3635,0.0030078884969295164,67,585,-0.0752,-0.0391,0.5559311675252981,0.0927,
Pan-cancer (RAS-excluded),ANAPC15,-0.3613,0.0035270246776532353,67,585,-0.8146,-0.641,0.5559311675252981,0.0921,
Pan-cancer (RAS-excluded),ADRA1D,-0.3612,0.0037255370916380783,67,585,0.0019,0.0313,0.5559311675252981,0.0921,
Pan-cancer (RAS-excluded),FBXW7,-0.3609,0.0019957331574730793,67,585,-0.0952,-0.0008,0.5221159999823018,0.1019,
Pan-cancer (RAS-excluded),DNAJC10,-0.3595,0.004488422508279043,67,585,-0.1478,-0.0957,0.5598093086198781,0.0906,
Pan-cancer (RAS-excluded),SCD5,-0.3593,0.006922055476114218,67,585,-0.0582,-0.0335,0.5910446511533526,0.0821,
Pan-cancer (RAS-excluded),HK1,-0.3583,0.1791301165742134,67,585,-0.0549,-0.0333,0.8961692211488933,0.0171,
Pan-cancer (RAS-excluded),ADAMTS3,-0.3567,0.00871089765565827,67,585,-0.1227,-0.0829,0.6451632751223236,0.0679,
Pan-cancer (RAS-excluded),AMY2A,-0.356,0.01653079811352281,67,564,-0.4083,-0.3793,0.6866422565440923,0.0581,
Pan-cancer (RAS-excluded),DFFA,-0.356,0.0008374585172873743,67,585,-0.0198,0.0352,0.49526283024774315,0.1086,
Pan-cancer (RAS-excluded),TSGA10IP,-0.3555,0.11272817438297622,23,134,-0.1949,-0.139,0.8695492064204181,0.0216,
Pan-cancer (RAS-excluded),SLC25A27,-0.3548,0.027562498068876756,67,585,-0.0941,-0.0718,0.7248447529296369,0.0496,
