,MOFA_0,MOFA_1,MOFA_2,MOFA_3,MOFA_4,MOFA_5,MOFA_6,MOFA_7,MOFA_8
H4014,2.4240366949240966,0.103996508114496,2.215559265615645,-0.4758100677016199,-1.2500295664796464,0.6426476863790731,0.23442221577855676,0.1850189800907026,0.012623333722031801
H4015,-0.44881550917545837,-0.2506614676837658,2.167406227384814,-1.0109915031949275,-1.1783983652612517,-0.8298612159906501,-0.45029928340266284,-0.37578337585089044,0.41748509224976704
H4017,2.7744547239450537,-1.4701065740558097,-1.0339015250545502,-0.984668965615588,0.9787704898560191,-0.7349659934867407,0.20965059174757417,0.3020306532330713,-0.10267953037886089
H4020,0.8081869605665094,0.5230855765915788,-1.1607242875626675,0.4274129747151419,-0.5572411649811007,0.8786147728395999,-0.08880970571121428,-0.5988122769620787,0.0877325445312128
H4028,-2.3448657709357668,-0.29719287318686993,-0.9070803660212928,1.2079534423892595,-0.5720852714524913,-0.7309855668957909,0.4560723004591665,-0.1482987811696357,0.3325490983543552
H4030,-2.587029971454954,-0.36417417531844265,-1.054225257799884,-1.210454258124623,-0.7197242423058988,-0.7899510303543281,0.4311355660825518,-0.14414566790054517,0.12800645564336233
H4031,2.9986431670788423,1.510628002978602,-1.1210367083051496,1.3126383900629746,1.0152592202661255,-0.7719376622993642,0.23245752553285373,0.13725645934935835,0.05144919434046581
H4032,-1.0424014459095479,1.4647577352857206,-1.0795899758334357,-0.037799432763765725,0.6502083678997036,1.3631573878559933,-0.4625690853517329,-1.8267600298598892,-0.14480608469560247
H4038,0.5334941728061386,-1.162031167908997,-1.116145736712572,0.6014158368487199,-0.4421764524912366,-0.7170003666915239,-0.03221125960173581,-0.03199805390248884,0.22260023513495852
H4039,1.7541154027881958,-1.657437338254205,-1.003362775527418,0.32803908014356964,0.7545899988827981,-0.7585118863683211,0.24910495555841602,-0.4227436400008134,-0.0034072616215344957
H4043,-1.1410292979089076,0.18097618029515297,-1.0707980607594578,0.281158102592616,0.45294739164744896,-0.7523276582845501,-1.0912617155191837,2.4891763656924724,0.1431422915431201
M2008,-1.3889773492691162,0.40238915618330856,1.8536282170399834,0.5661949702485871,-0.5690114065931765,0.7797659572051762,0.5132444849578808,0.08155345310558497,0.12503698416467696
M2014,-1.2613811928033865,-1.33040205970192,1.7512586718996546,-0.5372876344199813,-0.3806350573436109,1.0768535772943983,0.020922339093778067,-0.19279931030456748,-0.08063833665144736
M2021,3.2944164007789722,-0.5314493880879392,1.510962811508091,0.3146150216929779,-0.9255193104940236,0.5141917102942521,0.04412182325762239,0.056952464775536026,-0.02427212911243533
M2025,-1.2826772418272019,2.0852051970134826,-1.7043881962477307,0.9006234438338149,-0.38148124882605394,-1.06273113554677,0.25193645126974995,-0.2261269181688149,0.16181357735047738
M2027,-1.40931670941405,-1.3349670572044785,-1.6362894125677276,0.176531372550385,-0.34761485967070355,0.6095418080245053,0.3192033437067255,-0.04711379615506094,0.3314938222855386
M2028,-1.2307485923975992,2.030171298361031,0.30731795842173937,0.46521382844802855,1.3643987103139832,0.7568772630218191,0.06777320804234738,-0.3324930642156288,-0.05325364522557933
M2034,3.3624434516693316,0.3796917169407398,-1.6402621602296013,-1.935198183955104,1.611479617917043,0.9176362898198895,0.06379981891464181,-0.01557143646891763,-0.02570179548307686
M2068,-1.3102651439338335,-0.23750901558927393,1.7289231353666275,0.9905147598527184,-0.36604420813862365,-1.0011047108634439,0.17392526811949588,0.2045323932539691,-0.4183873376775484
M2085,-1.0529519606955833,-0.1114937765942881,1.117916672294942,0.1973061706200578,-0.49292208301097873,-1.0668316067668684,-0.9465657350272584,0.1874419889004922,0.2345905773884913
P6005,2.5854526823914847,0.9340847081354623,1.1851656737459308,0.7127855049096928,0.6485522545892356,1.2519272349034,0.044990456674817464,0.2686125009351798,0.10017641831423174
P6009,-0.9767003470536928,-0.37555593716882485,1.003818746745166,-0.27315087375664554,-0.865077220461795,-0.6699515953489485,-0.6916698737065767,-1.0700683927928945,-0.5917985885135147
P6010,2.605148934248425,-0.7362749399446832,1.0150265046143887,-0.8060902418715871,0.6696050585850417,-0.7064831288287164,0.06747431698962743,0.032893823791758724,0.1511060992765929
P6016,3.2202972451242324,1.501663997318706,1.1484881953122092,1.0389577067246916,0.6712321449861103,-0.5845628603742619,0.06810465091695435,0.21289198762201456,0.10223489406818463
P6024,-1.5603795725720313,0.3448185325999807,0.3539496192458707,-1.5084054258455093,-0.9848805510842342,-0.5788465204555843,-0.44347175658332144,0.6097609633885,-1.0863974330985633
P6028,-1.725234097917248,-0.9965006833771871,1.544912349113522,-1.4914044531040966,-0.2512837072912012,-0.49472154660477435,0.40305969366879774,-0.0378227387294849,0.49212113952963416
P6033,-1.8702280081427385,-0.7850854321319047,0.5849182208839168,0.996869911911481,1.4290274878793303,-0.5290097168098863,0.3592565973963643,-0.22468902286353767,0.20939891329712756
P6037,-1.882384575528271,-1.0450870940569765,-1.9308876751354935,1.2183001162594145,-0.5352436955134086,-0.4215329300531031,0.4789244076891732,0.13708420166312926,0.29281408206504644
