treatment_id,drug_name,cohens_d,p_value,n_lost,n_intact,median_sens_lost,median_sens_intact,fdr
BRD:BRD-K07785030-001-01-6,,-0.1153,0.3782786805329743,85,451,0.0341,0.0923,0.8183861172513118
BRD:BRD-K07788774-001-02-9,NTRC-824,-0.09,0.4358396375650183,118,754,0.0255,0.0241,0.8428499135725985
BRD:BRD-K07790550-001-01-6,,0.1398,0.3142783182927408,85,451,0.0657,0.0339,0.7869673870564223
BRD:BRD-K07798980-001-01-9,,-0.1997,0.10793667005539062,85,468,-0.2531,-0.1296,0.5861222127773305
BRD:BRD-K07857022-002-01-1,,0.0455,0.5534453233091623,85,473,-0.0027,-0.0486,0.8886219408579118
BRD:BRD-K07881437-001-03-8,,-0.2397,0.0948783314355028,78,457,-1.5472,-1.4248,0.5617004299427754
BRD:BRD-K07881437-001-04-6,,-0.1756,0.24587063748579785,77,447,-1.1915,-0.9043,0.7476558055605527
BRD:BRD-K07940445-310-02-9,,0.0323,0.8694665137229887,84,471,-0.034,-0.0326,0.9715720059499116
BRD:BRD-K07954936-001-01-3,,0.3513,0.005923635869463045,78,457,-0.0102,-0.1011,0.16416933695369013
BRD:BRD-K07955840-001-02-3,,-0.2402,0.008746877892687561,85,469,-2.868,-2.3303,0.20178169275357388
BRD:BRD-K07972848-001-02-0,,-0.3379,0.004566793332951072,85,469,-3.8862,-3.5735,0.14124939304341338
BRD:BRD-K08033334-003-04-3,,0.169,0.21386441845792514,85,468,0.2664,0.2006,0.7149215125943049
BRD:BRD-K08037784-001-12-6,,-0.2446,0.037459012403318816,78,457,-0.5821,-0.4721,0.4011777511333356
BRD:BRD-K08078237-001-19-8,,-0.009,0.9486690750603531,77,447,-0.8756,-0.7981,0.9919596997194671
BRD:BRD-K08109215-001-06-4,,0.2273,0.08892136128929702,78,457,0.2864,0.0435,0.5557739199028833
BRD:BRD-K08109516-001-07-8,,0.1541,0.08654765515236124,84,471,-0.0771,-0.1384,0.5552730033197635
BRD:BRD-K08111240-001-02-8,,-0.1833,0.08943603675467435,85,465,-0.0968,0.0233,0.5560324392590957
BRD:BRD-K08111712-001-16-7,,-0.0825,0.6054074074870116,85,465,0.0363,0.039,0.9100408094704168
BRD:BRD-K08188887-001-02-4,,-0.1326,0.4496216288552132,85,464,0.0297,0.0856,0.8447487165460761
BRD:BRD-K08206212-002-01-0,,-0.201,0.21414289062432224,78,457,-0.1412,-0.1143,0.7149215125943049
