dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
NUCB2,30,788,12,356,0.10706472440716155,0.07903285758387663,0.10256514261272232,0.10101878144266112,-0.165,0.156,0.0012497393790676335,0.37736279791511884,0.2064,0.0265,0.5054595591765207,0.01035447735701028,additive,False,True,0.818803,additive
ALDH18A1,30,788,12,356,-0.15675661748529873,-0.13400930028562005,-0.12377170772642977,-0.1264260594024975,-0.0371,-0.0683,0.45414636467092506,0.3959802721429603,-0.1106,-0.0254,0.509932347907553,0.729672208738932,additive,False,True,0.818803,additive
DDX52,30,788,12,356,-0.6448159369669516,-0.6133567683302777,-0.6420734388672809,-0.6504140525883296,0.1578,-0.0846,0.008176372352180892,0.6243738237732269,-0.1755,-0.0398,0.5275214170908749,0.059329127289545175,additive,False,True,0.818803,additive
TGFBR2,30,788,12,356,0.05762769709337389,0.037621847155630064,0.060578023241949504,0.02116687252438703,0.0845,0.1379,0.12178002953639855,0.38811448710025886,-0.1106,-0.0194,0.5688544303093357,0.36767238644707206,additive,False,True,0.818803,additive
SUZ12,30,788,12,356,-0.32891836733721963,-0.3510041079686405,-0.4336832382259537,-0.40117287548510694,0.1733,0.0258,0.002172018489190904,0.9884717573241184,0.1974,0.0546,0.5693807308583014,0.015599107431467031,additive,False,True,0.818803,additive
XRCC1,30,788,12,356,-0.38988878189916437,-0.36845460447024386,-0.5675069953149771,-0.39370816553238835,0.1522,-0.3247,0.012499310447388194,0.893268622629242,0.4044,0.1524,0.5704340287213243,0.053625009079197455,additive,False,True,0.818803,additive
SKIC3,30,788,12,356,-0.23286561621509527,-0.1792472687877426,-0.27709788833289856,-0.19889985806033833,0.1134,-0.3372,0.06178092761068755,0.18021655787386748,0.0797,0.0246,0.5858102050440308,0.10026075524375191,additive,False,True,0.818803,additive
HCAR3,30,788,12,356,0.06653058647352514,0.07213598684011316,0.14263238568868405,0.06880710348909737,0.0053,0.1271,0.8565365339503033,0.6299032065263599,-0.5768,-0.0794,0.5976016839274619,0.388566554867895,additive,False,True,0.818803,additive
B3GALNT1,30,788,12,356,0.07004879760381186,0.03965533502096167,-0.013467039560868983,0.02845845491975926,0.1266,0.0926,0.013133368209996122,0.6149901196614459,0.58,0.0723,0.6215021896904893,0.027273763373732305,additive,False,True,0.818803,additive
PTTG1,30,788,12,356,-0.4212063145586098,-0.39974043448903007,-0.44410277524726044,-0.43647988484415656,0.17,-0.0776,0.004798469013518513,0.7063065843585656,-0.0702,-0.0138,0.6280918892972875,0.04106818396064964,additive,False,True,0.818803,additive
HSDL2,30,788,12,356,-0.04021236805581,-0.04362441275961295,0.004274195263007383,-0.019010331005872013,-0.2311,0.077,0.00012170755149206369,0.8813118179609927,-0.1573,-0.0199,0.6710651137194636,0.001730616872662238,additive,False,True,0.818803,additive
