dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
ANXA5,37,88,109,952,0.08464738642662736,0.09138098243915653,0.09979921064355275,0.08628120162237211,0.0169,0.0911,0.6058443143733022,0.26814663152373985,-0.1974,-0.0203,0.5479560176009968,0.5304193547483018,additive,True,False,0.768425,additive
L3HYPDH,37,88,109,952,-0.12808303854291256,-0.13216662157544992,-0.15960187689155617,-0.14049442552286057,0.0762,-0.0784,0.18794626744803233,0.4786816401204308,0.155,0.0232,0.5514877942753816,0.42248470476540145,additive,True,False,0.768425,additive
ATG16L1,37,88,109,952,-0.020786494645419117,-0.007267981059231641,-0.020422500539156594,0.004134825169067827,-0.1018,-0.1874,0.5501993989322951,0.03718467130272313,0.0856,0.011,0.563936406489414,0.22187144288933694,additive,True,False,0.768425,additive
CIMIP2C,37,88,109,952,-0.05011175416468528,-0.055006546967271586,-0.03435709142297525,-0.035976444694956373,-0.1553,-0.0067,0.07658582181823356,0.9579172573785693,0.0219,0.0033,0.565725768448468,0.3581118041118712,additive,True,False,0.768425,additive
P3H3,14,31,37,273,-0.11887238078883257,-0.10463951790977992,-0.10737577868223896,-0.10658956305675768,-0.0157,-0.0273,0.9498019553176856,0.9008442236087173,-0.0968,-0.0134,0.5666166125723091,0.9434114523577458,additive,False,True,0.768425,additive
TEAD1,37,88,109,952,-0.22987986320763087,-0.26497812992376024,-0.21723115376502747,-0.254546203601182,-0.0127,0.115,0.7666207015595526,0.2631605513385957,-0.0111,-0.0022,0.6039178625887313,0.5986055113660722,additive,True,False,0.802052,additive
RAB1B,37,88,109,952,-0.3503831308200579,-0.35892401513389194,-0.3292407560706562,-0.3423955991222513,-0.0873,0.0523,0.39374486699848166,0.23519907093849035,-0.0266,-0.0046,0.6076148415817201,0.40906231432715756,additive,True,False,0.802052,additive
RHOA,37,88,109,952,-0.48252767235533905,-0.45798279623155513,-0.4445993896568647,-0.43928771564503594,-0.0622,-0.0326,0.25429439742589466,0.9197400513003563,-0.0412,-0.0192,0.6375463849265048,0.693141129211325,additive,True,False,0.830488,additive
FYTTD1,37,88,109,952,-0.026527718791672004,-0.03860735690621269,-0.03550251940485226,-0.01731687330604657,-0.1046,-0.0931,0.5518591547783693,0.5035300531128564,0.2006,0.0303,0.7228349557470086,0.7452701022998798,additive,True,False,0.896809,additive
AKT1,37,88,109,952,-0.14886947980272885,-0.1406164037157321,-0.15202673242303208,-0.07000641730791037,-0.3356,-0.3918,0.0031182649479995117,0.00043799919647626137,0.4124,0.0738,0.7347666988159045,0.00021727198384346175,additive,False,True,0.896809,additive
TTR,37,88,109,952,0.11139346546182881,0.10854630046583374,0.12786337910400317,0.1098364940579179,-0.0206,0.1254,0.8391920650880611,0.3122179402305799,-0.1398,-0.0152,0.7507753532988837,0.7149621127771209,additive,True,False,0.896809,additive
HDAC1,37,88,109,952,-0.27112358888283833,-0.14833312824938397,-0.15447240862983636,-0.12123958161553802,-0.2376,-0.2396,0.91162533712968,0.14159573597955533,-0.1944,-0.0896,0.7568067969238346,0.5347997530378481,additive,False,True,0.896809,additive
VGF,37,88,109,952,-0.004633003422305548,0.02295734636321255,-0.006330161152287059,0.004076986091346619,0.0828,-0.0814,0.2663346174887975,0.6589507229265581,-0.123,-0.0172,0.7588205949843881,0.5958714168871995,additive,True,False,0.896809,additive
ITGA5,37,88,109,952,-0.10327665256945417,-0.15030317051697842,-0.09352475470177943,-0.11619731185257959,-0.1421,0.1458,0.19679858003172745,0.05073872054396201,0.1541,0.0244,0.7628530898359287,0.08241223567677214,additive,True,False,0.896809,additive
CAMP,37,88,109,952,-0.0656877810587769,-0.051356764227887236,-0.049742011793626945,-0.04235367051658989,-0.1048,-0.0895,0.20348823663281068,0.2414651603069764,-0.0711,-0.0069,0.7749888385129333,0.4601335598463261,additive,True,False,0.896809,additive
P2RX5,37,88,109,952,0.051189589771026285,0.047690352640688966,0.0387011565971054,0.04234772383180217,0.0513,-0.0071,0.7149108715875596,0.5310718512909505,0.0477,0.0071,0.7749888385129333,0.8759412371380049,additive,True,False,0.896809,additive
ZFP36L2,37,88,109,952,-0.2632719421723208,-0.26805885225602943,-0.24860759533026247,-0.26424144302210223,-0.0171,0.0522,0.9707081583168418,0.521807053860082,-0.0555,-0.0108,0.7790464975437918,0.8922630702189909,additive,True,False,0.896809,additive
PLBD1,37,88,109,952,0.07717881593175153,0.05732507942231419,0.05867370483487337,0.0727915745506121,-0.059,-0.0589,0.8974094057465977,0.5411023873245817,0.247,0.034,0.7790464975437918,0.9029509481887998,additive,True,False,0.896809,additive
CRYBG1,37,88,109,952,0.12194344910054943,0.08882238481209943,0.1375554887495911,0.12984798173769585,-0.2449,0.0551,0.04916594303850308,0.6815135946863606,0.1726,0.0254,0.7912552389253316,0.21109323417596987,additive,True,False,0.900394,additive
KRTAP9-3,14,31,31,240,-0.07947681410013736,-0.006542939772231733,-0.11137947896062954,-0.0923657181269603,0.308,-0.0887,0.028653323304161246,0.8051716301121592,-0.2552,-0.0539,0.8146049645207278,0.1405550686111069,additive,False,True,0.916431,additive
ETNK1,14,31,37,273,-0.03287613432016443,-0.11820446331562452,-0.025912881163732904,0.020868020532101978,-0.2921,-0.0939,0.1061251620040337,0.9066837601900308,0.3771,0.1321,0.8292521826627348,0.4423658515355334,additive,True,False,0.922427,additive
AATK,37,88,109,952,-0.12123871401141213,-0.15828202627267074,-0.12056146864552458,-0.12144364567821815,-0.1832,0.027,0.08177495704745186,0.7074326575835902,0.2541,0.0362,0.8509366297182335,0.2662000501189523,additive,True,False,0.93603,additive
FAM118A,37,88,109,952,0.08113479033937153,0.08545853321479313,0.0781657918057082,0.06482822997742656,0.1162,0.0798,0.18924574654158943,0.32283616850886043,-0.1143,-0.0177,0.8696506890791598,0.43239603416226746,additive,True,False,0.940459,additive
ZNF783,37,88,109,952,0.021470389880347673,0.004073752161291233,0.018084061918682424,0.014577161757529088,-0.063,0.0579,0.49126680133734635,0.8529189214485624,0.1514,0.0139,0.8759055085119579,0.9225994780368929,additive,False,True,0.940459,additive
KRT86,33,79,94,840,-0.21013209480911957,-0.22708769706140475,-0.2138829355225248,-0.2123619072282788,-0.0791,0.0059,0.28837225414377643,0.7916481090949941,0.1532,0.0185,0.8834612647685716,0.7107568957111742,additive,False,True,0.940459,additive
SPTSSA,37,88,109,952,-0.404006599100022,-0.4668847123060013,-0.3619844547704115,-0.4323604164287938,-0.0887,0.2407,0.43802053132654406,0.011871778565626956,-0.0623,-0.0075,0.8989033058522322,0.04506076005135943,additive,True,False,0.94549,additive
PLA2G4D,37,88,109,952,-0.18412834216875615,-0.1902398630618139,-0.1709815807760004,-0.16314920641811131,-0.1679,-0.0608,0.10187300207608478,0.2775125448082878,0.0976,0.0139,0.9072882816338788,0.29731240486547206,additive,True,False,0.94549,additive
PTGES3L,14,31,37,273,0.05221663768432712,0.04535176850445092,0.07186360831905994,0.07460145480626369,-0.1298,-0.0249,0.1780007193071249,0.8856872987173797,0.0405,0.0096,0.9263595476679712,0.5707619510057942,additive,True,False,0.955308,additive
PRDX6,37,88,109,952,-0.08358281862105692,-0.07173399895227632,-0.09170653706528875,-0.09012614432257902,0.0893,-0.0064,0.24241566100406653,0.7504671772347962,-0.0574,-0.0103,0.9577827462481869,0.6227062775123482,additive,True,False,0.971817,additive
BRPF1,37,88,109,952,-0.23268685346549997,-0.21847611058818278,-0.26934808913590996,-0.2746811353388258,0.2105,0.0403,0.04285412436587955,0.5228137045152004,-0.0911,-0.0195,0.9620011009810545,0.19724024404457588,additive,False,True,0.971817,additive
NAV2,37,88,109,952,-0.01332091820521441,-0.02206707377201701,-0.0030571361959326328,-0.04159786737119123,0.1386,0.2624,0.18326812965939732,0.010196676299787832,-0.2328,-0.0298,0.9894410652606243,0.045100977984441355,additive,False,True,0.989441,additive
