,B_cell,CD4_T_naive,CD8_T,Dendritic_cell,Endothelial,Epithelial,Fibroblast,Goblet,ILC3,Inflammatory_Mac,Macrophage,Monocyte,Myofibroblast,NK,Paneth,Plasma,Th1,Th17,Treg,pDC
LAIR1,0.09940994,0.08433192,0.11637562,0.08019657,0.022471355,0.017092235,0.016323555,0.03704483,0.20912305,0.14577542,0.4061787,0.13860697,0.07176714,0.14422241,0.18029265,0.022229161,0.08608008,0.12539111,0.071762525,0.18824504
TTYH1,0.0034550708,0.006025783,0.009654277,0.008359226,0.0075731166,0.0052743326,0.04990968,0.009242918,0.015865415,0.0,0.00916798,0.003941811,0.023710838,0.0065499526,0.005918333,0.003315446,0.005184757,0.0055122734,0.006450982,0.004418592
CTD-2587H19.3,0.00026167431,0.00017548124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033177427,0.0,0.00014374693,0.0014919185,0.00043200725,0.0,0.0,0.0,0.0
AC008746.12,0.0024165525,0.0019984301,0.004528035,0.0,0.0021054656,0.0017153607,0.0024426782,0.0013262504,0.006718131,0.0,0.0020857127,0.0016608466,0.0,0.0014970796,0.0011873901,0.0005212978,0.00080890587,0.0015773929,0.00042841403,0.003739914
LENG8-AS1,0.00816547,0.010637162,0.011042955,0.0026738504,0.009038686,0.0124061825,0.011364659,0.010146821,0.011804009,0.009436356,0.0057743737,0.00880501,0.008132622,0.008869569,0.009836053,0.006240969,0.0059919343,0.010457993,0.008506492,0.015325381
LENG8,0.086277395,0.07054234,0.09486246,0.10361773,0.17581187,0.15471475,0.19142874,0.18332417,0.13860935,0.093354926,0.15563421,0.16148709,0.1175714,0.08669954,0.12989296,0.080518976,0.082755744,0.08906693,0.09239322,0.10056048
LENG9,0.006271846,0.00840153,0.013516108,0.0074700196,0.021634962,0.09325545,0.02457124,0.05675082,0.001892671,0.010599055,0.020602625,0.019503308,0.009604363,0.009770864,0.021311628,0.0055627553,0.008314335,0.003200473,0.008289358,0.011893915
CDC42EP5,0.0005651453,0.00054837787,0.00077835337,0.0027540093,0.09513287,0.46328628,0.07360397,0.5140524,0.0,0.0,0.00085515156,0.0,0.019375065,0.0014632222,0.013142257,0.0026093049,0.0021628966,0.004352112,0.0023021929,0.0055507557
LAIR2,0.0008115261,0.0068358826,0.05644338,0.005664189,0.0021483407,0.011987957,0.00066335185,0.010480559,0.024939401,0.011166569,0.0070357416,0.0015492309,0.018670002,0.040087778,0.004488613,0.0028084556,0.012213936,0.01508417,0.11131305,0.010843424
KIR3DX1,0.0032293084,0.0028181125,0.009149591,0.007922167,0.0029537454,0.0008574395,0.0036337236,0.0013278191,0.0,0.0,0.00221712,0.0015888247,0.001606338,0.006616047,0.002257617,0.0013909348,0.00057130406,0.00421906,0.0032820883,0.00501387
LILRA2,0.0036713895,0.0048907623,0.005951873,0.017661812,0.008657005,0.0012874324,0.0019783014,0.0022027409,0.010895591,0.095878184,0.10023011,0.3241899,0.0075188074,0.005805911,0.08279787,0.0030502204,0.0067049703,0.004766172,0.00094965677,0.03406598
LILRA1,0.0011694316,0.0012820325,0.00025048517,0.017729426,0.008855817,0.0,0.0009397187,0.0,0.0,0.17984694,0.11939113,0.22336175,0.0029998356,0.0014820041,0.068779625,0.0009884109,0.0021675448,0.0034848556,0.00045598648,0.037209712
LILRB1,0.06101446,0.0028045508,0.05020303,0.04294991,0.008955683,0.0013859636,0.0040355735,0.0023528624,0.0,0.1623437,0.24366537,0.2138386,0.01713929,0.018514993,0.109033264,0.03253596,0.0057561696,0.0022391877,0.0033673055,0.10198333
LILRB4,0.0032053068,0.0016823829,0.0032875342,0.032287408,0.0028003817,0.0009564279,0.005142358,0.0019717186,0.0029944023,0.28993538,0.28210598,0.16126928,0.0037760572,0.0012456428,0.12724403,0.022414465,0.0029422864,0.001950626,0.0032630009,0.25234133
KIR3DL3,0.0,8.6478954e-05,0.0044485535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004981723,0.0,0.0,0.0013311324,0.0,0.0,0.0
