cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Pan-cancer (pooled),MCM2,-0.0325,0.8468817824683564,44,1142,-1.7816,-1.8192,0.9510660707400699
Pan-cancer (pooled),MCM3,-0.4004,0.020094232391092665,44,1142,-1.0489,-0.9701,0.2083919496846053
Pan-cancer (pooled),MCM3AP,-0.0301,0.5124035321073264,44,1142,-1.1198,-1.0865,0.8053916316809668
Pan-cancer (pooled),MCM4,-0.2447,0.10748451151315987,44,1142,-1.3302,-1.2245,0.43604180451187097
Pan-cancer (pooled),MCM5,0.0357,0.6111549132040521,44,1142,-1.519,-1.5522,0.8545532249696851
Pan-cancer (pooled),MCM6,-0.6481,1.7501437984770922e-05,44,1142,-1.2258,-1.0318,0.006676984776700584
Pan-cancer (pooled),MCM7,-0.4297,0.027215666173572867,44,1142,-2.1099,-2.0206,0.23886642690080034
Pan-cancer (pooled),MCM8,-0.0476,0.6339815111933069,44,1142,-0.0205,-0.0111,0.8664319854905961
Pan-cancer (pooled),MCM9,0.3049,0.11115861398702452,44,1142,-0.0547,-0.0809,0.4430284746391057
Pan-cancer (pooled),MCMBP,-0.1408,0.3401693869113992,44,1142,-0.5826,-0.5536,0.6917189018721137
Pan-cancer (pooled),MCMDC2,-0.249,0.08479207788460219,44,1142,-0.0321,0.0021,0.3923630318835618
Pan-cancer (pooled),MCOLN1,0.1868,0.23097969392814222,44,1142,0.0913,0.078,0.5928566979423874
