gene,spearman_r,pvalue,fdr
SOX30,-0.4623,0.001581270752019682,0.20473615776896636
PCDHB3,-0.4622,0.001587190514773359,0.20473615776896636
SPTB,-0.4612,0.0016291820775394582,0.20802309368030594
ZNF671,-0.4609,0.0016413591785049424,0.20802309368030594
PELI1,-0.4607,0.0016474779309873643,0.20802309368030594
TNRC18,-0.46,0.0016783760000056204,0.21044252923147394
CCDC88C,-0.4598,0.0016908783105194032,0.21053783408064514
SLCO3A1,-0.4586,0.0017417167719687358,0.21244205252652676
CASP6,-0.4572,0.0018071658953402923,0.2144967871528519
NID1,-0.4571,0.0018138290565843738,0.2144967871528519
CYP3A7,-0.4562,0.0018542667043330756,0.2144967871528519
CLIP3,-0.4553,0.001902450759005795,0.21726714719091658
NR1H3,-0.4543,0.00195173928007476,0.2195160834550641
TBL1Y,-0.4534,0.034061468904497176,0.4686579127445442
LBX1,-0.4529,0.00202411016021138,0.2226521176232518
SKA2,-0.4523,0.0020537162596957594,0.22317050022027252
SIX6,-0.4502,0.002168176378911359,0.2314012052016706
FRMD1,-0.4492,0.002223492771473007,0.23314166896205274
TIRAP,-0.4489,0.0022395245859964737,0.23325175919666077
ADGRL1,-0.4479,0.002296442419396577,0.23325175919666077
EIF4A3,-0.4472,0.002337875804912803,0.23325175919666077
U2AF1,-0.4469,0.002354632928867574,0.23325175919666077
MELTF,-0.4467,0.0023714959107601114,0.2336314378018066
RANBP1,-0.4462,0.002396990109775648,0.23437770143984493
LPA,-0.4443,0.0025191861344501226,0.23525524682651403
RSF1,-0.4437,0.002555092649542361,0.23737207878909083
CHD5,-0.4431,0.0025914492978116373,0.23891622022101383
SCNN1A,-0.4428,0.0026097979126194462,0.23891622022101383
LRRN4CL,-0.4427,0.0026190150550569977,0.23891622022101383
MT1M,-0.4415,0.005521277151733367,0.2850480387027345
PGBD4,-0.4414,0.002703267992907142,0.2392698440546076
SLC29A4,-0.4407,0.0027510985894330054,0.2406204766269941
CYP2A7,-0.44,0.002799672388917155,0.24368022297710965
TBXT,-0.4388,0.0028890092767255987,0.24402366574642786
RUVBL1,-0.4388,0.0028890092767255987,0.24402366574642786
HHEX,-0.4383,0.0029193403127923214,0.24402366574642786
PUDP,-0.4381,0.0029397162186965095,0.24402366574642786
GPI,-0.4374,0.0029912039349440376,0.24678771303842145
ESX1,-0.4361,0.0030858817709054024,0.24713377093190889
SLC4A11,-0.435,0.0031722395571748274,0.24837666052464916
EEFSEC,-0.4345,0.0032051666455235025,0.24878198248587186
SPTBN2,-0.4321,0.0033974818256983343,0.2592206346160474
GUCY2D,-0.4314,0.0034559379293739255,0.2599525891317399
POU3F1,-0.4313,0.003467734403373941,0.2599525891317399
PCDHGA3,-0.4311,0.003479566167965286,0.2599525891317399
SMC3,-0.4311,0.003479566167965286,0.2599525891317399
PSG1,-0.4306,0.0035272479088188074,0.2624213900627436
TWIST1,-0.4302,0.003563384129083611,0.2640143695639221
CAMK2N2,-0.4299,0.0035876548180362846,0.2647187279316485
C1orf115,-0.428,0.0037489748654868336,0.2680845685132214
PIAS1,-0.4276,0.003787092193602861,0.2680845685132214
CDC23,-0.4275,0.0037998731515251913,0.2680845685132214
RRM2,-0.4273,0.003812691855597962,0.2680845685132214
KBTBD11,-0.4273,0.003812691855597962,0.2680845685132214
IGSF9B,-0.4266,0.003877354843011441,0.2705096199813041
PRKCQ,-0.4262,0.003916611593352399,0.27113840103787074
HSPA6,-0.4251,0.004023001343642708,0.27219157580039344
AMIGO3,-0.4251,0.004023001343642708,0.27219157580039344
CRHR1,-0.4248,0.004049990440998322,0.27219157580039344
EGLN2,-0.4248,0.004049990440998322,0.27219157580039344
PTK6,-0.4245,0.0040771377419662755,0.27219157580039344
RRM1,-0.4244,0.004090770960839235,0.27219157580039344
SYS1,-0.4242,0.004104444021415986,0.27219157580039344
AVPR1A,-0.4237,0.004159536629632337,0.27219157580039344
ADAD2,-0.4227,0.00425750519947903,0.27558508385075453
NMNAT2,-0.4224,0.0042858639257800325,0.27633714534147075
ARID1A,-0.4217,0.004357483850533895,0.27633714534147075
SREBF2,-0.4216,0.0043719325983664755,0.27633714534147075
FOXQ1,-0.4216,0.0043719325983664755,0.27633714534147075
ZNF517,-0.4211,0.004415530179704798,0.27633714534147075
CT47B1,-0.4209,0.0044448056938886215,0.27633714534147075
FAHD2A,-0.4206,0.004474250523781547,0.27633714534147075
SERPINA10,-0.4202,0.004518737020660505,0.27633714534147075
ZBTB2,-0.4199,0.0045486087148476255,0.27633714534147075
COL17A1,-0.4192,0.004624043060886981,0.27633714534147075
JAKMIP3,-0.4192,0.004624043060886981,0.27633714534147075
GTSF1,-0.419,0.004639260205520365,0.27633714534147075
CHRNE,-0.419,0.004639260205520365,0.27633714534147075
MAGEB18,-0.4189,0.004654521017743372,0.27633714534147075
SPNS2,-0.4187,0.004669825601835163,0.27633714534147075
TFR2,-0.4186,0.004685174062261686,0.27633714534147075
SMOC2,-0.4183,0.004716003030917736,0.27633714534147075
PLXNB1,-0.4183,0.004716003030917736,0.27633714534147075
ESYT2,-0.4182,0.0047314837490145855,0.27633714534147075
MLST8,-0.418,0.004747008763181193,0.276343724428048
CDK2AP2,-0.4172,0.004841094981334943,0.2767816380453658
TCF12,-0.4162,0.004952913104618507,0.2767816380453658
CSRNP3,-0.4159,0.0049852716256488265,0.2767816380453658
FARP1,-0.4149,0.005099981317435178,0.277098984913978
SEH1L,-0.414,0.005216982684982768,0.28090240102624936
CHIC2,-0.4134,0.005284884070684899,0.28285961608173205
CLK3,-0.4131,0.005319122233963165,0.2838448263540463
ADAMTS15,-0.4124,0.005405563285769993,0.28466329646655725
SPPL2C,-0.4124,0.005405563285769993,0.28466329646655725
OBSCN,-0.4121,0.005440480329648281,0.28466329646655725
NSUN5,-0.4117,0.0054932236797227444,0.28466329646655725
HCRT,-0.4117,0.0054932236797227444,0.28466329646655725
LMNB2,-0.411,0.005582117618843348,0.2851491991619978
CATSPER2,-0.4104,0.0056541305448691214,0.28614691432667944
UBE2E1,-0.4103,0.005672259428004884,0.28614691432667944
HLA-DQB2,-0.4103,0.005672259428004884,0.28614691432667944
DGKH,-0.4101,0.005690438803437207,0.28614691432667944
CDS2,-0.4099,0.005726949496052473,0.28614691432667944
GRM4,-0.4097,0.005745281046157535,0.28614691432667944
CPXM2,-0.4097,0.005745281046157535,0.28614691432667944
POMC,-0.4092,0.005819117998509308,0.28822316495378975
CSGALNACT1,-0.408,0.005969267972289898,0.29012632588218623
TTLL4,-0.4076,0.006026435128125235,0.29012632588218623
DUSP1,-0.4073,0.006064810032208535,0.29012632588218623
KCNG2,-0.4073,0.006064810032208535,0.29012632588218623
VPS51,-0.4072,0.006084076884088233,0.29012632588218623
TAS2R31,-0.4072,0.006084076884088233,0.29012632588218623
RALGDS,-0.4069,0.006122769989151422,0.2911969917917374
PPIAL4G,-0.4061,0.011420794762981114,0.35178894419075035
U2AF2,-0.4056,0.006299543046429531,0.2929531658137217
METTL27,-0.4054,0.0063394215468892375,0.2929531658137217
LPAR5,-0.4051,0.006379518751719394,0.29404825505997106
MN1,-0.4048,0.006419835646790901,0.29514782858195093
TMEM176A,-0.4041,0.006521595528184851,0.2952498796753268
CCDC120,-0.4038,0.006562689149464609,0.2952498796753268
PDPK1,-0.4035,0.006604006937401886,0.2952498796753268
DPPA4,-0.4034,0.0066247502073878625,0.2952498796753268
MMP24,-0.4032,0.0066455498956693,0.2952498796753268
PCDHA7,-0.4032,0.0066455498956693,0.2952498796753268
NRIP2,-0.4031,0.006666406128213063,0.2952498796753268
OGFOD2,-0.403,0.006687319031189593,0.2952498796753268
STC2,-0.403,0.006687319031189593,0.2952498796753268
CIROZ,-0.4025,0.006750399027473057,0.2952498796753268
IGFBP2,-0.4024,0.00677153987795672,0.2952498796753268
SON,-0.4023,0.006792738032780444,0.2952498796753268
CARHSP1,-0.4023,0.006792738032780444,0.2952498796753268
ALPG,-0.402,0.006835306765226101,0.2952498796753268
