gene,score,logfoldchange,pval,pval_adj,subtype
ENOX1,8.626296,,6.337097654625405e-18,4.1642722812280997e-16,PV_FSI
RAPGEF5,8.605501,,7.598386580383482e-18,4.910568198972344e-16,PV_FSI
MYO1B,8.468523,,2.4852399402943545e-17,1.5815076692853997e-15,PV_FSI
EPB41,8.398232,,4.532491084362832e-17,2.8407601667993314e-15,PV_FSI
TTBK2,8.378549,,5.3584244827737886e-17,3.333261132374152e-15,PV_FSI
SLC44A5,8.34479,,7.134032069336942e-17,4.404800692922575e-15,PV_FSI
KLHL5,8.296792,,1.0696034155318809e-16,6.579645603173708e-15,PV_FSI
MAGI2,8.234418,,1.8043321753553098e-16,1.0897510218355032e-14,PV_FSI
SAT1,8.155155,,3.4873196185457687e-16,2.0612416919724795e-14,PV_FSI
VWC2,8.127674,,4.3760576711930095e-16,2.563683890871564e-14,PV_FSI
NRG3,8.121892,,4.589734096044643e-16,2.6654158601820096e-14,PV_FSI
FHOD3,8.081251,,6.410586468999656e-16,3.6969941202644196e-14,PV_FSI
PCDH7,8.042626,,8.793278590417374e-16,5.0016289078165126e-14,PV_FSI
OSBPL3,8.011042,,1.1374105169400028e-15,6.403813991815765e-14,PV_FSI
SRRM3,7.999155,,1.252757235349572e-15,7.029407068216568e-14,PV_FSI
OSBPL6,7.9687533,,1.6028316734530449e-15,8.933366196101217e-14,PV_FSI
SST,56.342144,,0.0,0.0,SST_PLTS
GRIK1,25.909739,,5.172822804974052e-148,1.7183082793562808e-144,SST_PLTS
GPM6A,20.85811,,1.2865304064145865e-96,2.6709979400174836e-93,SST_PLTS
SYNPR,20.467113,,4.229443044855691e-93,7.8052021702231295e-90,SST_PLTS
GAP43,20.095245,,8.12111032798756e-90,1.1240293453128782e-86,SST_PLTS
RAB3B,18.765635,,1.4426666685760733e-78,1.711517907027143e-75,SST_PLTS
NOS1,18.32832,,4.918612440577104e-75,5.446215601703007e-72,SST_PLTS
SLC8A1,18.223112,,3.383576395802861e-74,3.5123637723681076e-71,SST_PLTS
TRHDE,16.25814,,1.9558232429855403e-59,1.546869916321278e-56,SST_PLTS
STXBP6,15.505707,,3.174061816964564e-54,2.0276151045370942e-51,SST_PLTS
EPHB6,15.00833,,6.475728249680174e-51,3.5851790166312665e-48,SST_PLTS
VSNL1,14.870401,,5.130511897710291e-50,2.7487958744861363e-47,SST_PLTS
FXYD6,14.788361,,1.741432794272957e-49,9.038580400024858e-47,SST_PLTS
TMSB4X,14.70225,,6.2353315864142925e-49,3.1382612823865148e-46,SST_PLTS
PEG3,14.248759,,4.563139008508337e-46,2.2290934056563224e-43,SST_PLTS
BEX1,13.662586,,1.698433411478987e-42,6.8803123246962185e-40,SST_PLTS
