Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,subtype
Reactome_2022,RNA Polymerase III Transcription Termination R-HSA-73980,2/22,0.001370383663162,0.0135148181953218,0,0,41.520833333333336,273.7329252658829,NFIX;NFIB,NPY_NGF
GO_Biological_Process_2023,Peptidyl-Tyrosine Phosphorylation (GO:0018108),3/67,0.0006292667740133991,0.0143682580066392,0,0,19.83311170212766,146.18897916479884,ALK;RELN;EGFR,NPY_NGF
KEGG_2021_Human,Non-small cell lung cancer,3/72,0.0007765711595735495,0.0148657907689793,0,0,18.39130434782609,131.69318363710184,ALK;PRKCB;EGFR,NPY_NGF
KEGG_2021_Human,Amphetamine addiction,3/69,0.0006858216610371124,0.0148657907689793,0,0,19.230174081237912,140.08975927188362,GRIA2;GRIN2A;PRKCB,NPY_NGF
KEGG_2021_Human,Long-term potentiation,3/67,0.0006292667740133991,0.0148657907689793,0,0,19.83311170212766,146.18897916479884,GRIA2;GRIN2A;PRKCB,NPY_NGF
GO_Biological_Process_2023,Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),3/69,0.0006858216610371124,0.0149192840268233,0,0,19.230174081237912,140.08975927188362,CHRM3;RELN;FXYD6,NPY_NGF
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),5/284,0.0007003643084666374,0.0149192840268233,0,0,7.833930704898447,56.90496694138906,PTPRT;ALK;KIT;NRG1;EGFR,NPY_NGF
GO_Biological_Process_2023,Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),2/16,0.0007187392304892979,0.0149192840268233,0,0,59.333333333333336,429.45537567816734,CACNA2D1;SLC8A1,NPY_NGF
GO_Biological_Process_2023,Synapse Assembly (GO:0007416),3/71,0.0007455208566439991,0.0150200525529746,0,0,18.66270337922403,134.39810435842293,NRXN1;DNER;FGF13,NPY_NGF
Reactome_2022,Signaling By ERBB2 KD Mutants R-HSA-9664565,2/24,0.0016321249773357,0.015559591450601,0,0,37.74242424242424,242.22606459531664,NRG1;EGFR,NPY_NGF
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,3/77,0.0009441676964961806,0.015814808916311,0,0,17.14433582518689,119.41384383677423,CACNA2D1;CTNNA2;SLC8A1,NPY_NGF
Reactome_2022,Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736,2/25,0.0017712212130127,0.0158302895913012,0,0,36.09963768115942,228.73040961874747,GRIN2A;LRRC7,NPY_NGF
Reactome_2022,Signaling By ERBB2 In Cancer R-HSA-1227990,2/25,0.0017712212130127,0.0158302895913012,0,0,36.09963768115942,228.73040961874747,NRG1;EGFR,NPY_NGF
GO_Biological_Process_2023,Brain Development (GO:0007420),4/169,0.000836990811165563,0.0163811058756688,0,0,10.42687747035573,73.88169926823912,GRIN2A;RELN;NFIB;CTNNA2,NPY_NGF
KEGG_2021_Human,ErbB signaling pathway,3/85,0.0012570974643791,0.0169247423963135,0,0,15.465490399584846,103.29323424451243,PRKCB;NRG1;EGFR,NPY_NGF
KEGG_2021_Human,Insulin secretion,3/86,0.0013002540770145,0.0169247423963135,0,0,15.27839015637016,101.52789088565108,CHRM3;PRKCB;CCK,NPY_NGF
KEGG_2021_Human,ECM-receptor interaction,3/88,0.0013893445250705,0.0169247423963135,0,0,14.917396745932416,98.14040765115747,RELN;SV2C;FREM1,NPY_NGF
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),4/174,0.0009329241770227698,0.0177514739239054,0,0,10.117647058823527,70.59271176916579,RELN;LRRC7;SPOCK1;CTNNA2,NPY_NGF
GO_Biological_Process_2023,Regulation Of Neuron Differentiation (GO:0045664),3/79,0.0010171216016403,0.0183743851404096,0,0,16.69148936170213,115.01735769734074,ALK;RELN;ID2,NPY_NGF
GO_Biological_Process_2023,Regulation Of Behavior (GO:0050795),2/19,0.0010193089566942,0.0183743851404096,0,0,48.85539215686274,336.54673838088314,RELN;CNTNAP4,NPY_NGF
GO_Biological_Process_2023,Calcium Ion Transmembrane Transport (GO:0070588),3/80,0.0010548985204026,0.0185283458070722,0,0,16.473887814313347,112.9171456129886,GRIN2A;CACNA2D1;SLC8A1,NPY_NGF
KEGG_2021_Human,Circadian entrainment,3/97,0.001837512611877,0.0192177115464906,0,0,13.483023992756904,84.93418557118899,GRIA2;GRIN2A;PRKCB,NPY_NGF
KEGG_2021_Human,Rap1 signaling pathway,4/210,0.0018644048515252,0.0192177115464906,0,0,8.334318277754326,52.37963511920258,GRIN2A;PRKCB;KIT;EGFR,NPY_NGF
