gene,nf1_cohens_d,nf1_fdr,kras_cohens_d,kras_pvalue,kras_mean_dep_mut,kras_mean_dep_wt,category
ACSL3,0.3771,0.5581800841671161,0.4217799639097884,0.2056435639940405,-0.2809282592885715,-0.35613328963124546,neither
ACSL4,0.2701,0.6967120484934631,,,,,neither
ACSL5,0.0681,0.9798187700052512,,,,,neither
ACSL6,-0.107,0.9433353528665482,,,,,neither
ACSM1,-0.2768,0.6780490098953341,,,,,neither
ACSM2A,0.2327,0.7018898282449533,,,,,neither
ACSM2B,0.0107,0.9983658360500032,,,,,neither
ACSM3,0.1851,0.9700330758776188,,,,,neither
ACSM4,-0.1734,0.942520063980189,,,,,neither
ACSM5,0.0256,0.9935679037459302,,,,,neither
ACSM6,-0.0374,0.9961234093825128,,,,,neither
ACSS1,0.0913,0.9647712651858849,,,,,neither
ACSS2,0.174,0.9290925117922416,-0.30380235806432426,0.22089965295369296,0.21892969392213513,0.2625849987132998,KRAS_specific
ACSS3,0.0055,0.9919488452605149,,,,,neither
ACTA1,-0.1288,0.9114208569743284,,,,,neither
ACTA2,-0.0362,0.9919488452605149,,,,,neither
ACTB,-0.1166,0.9407777880428012,,,,,neither
ACTBL2,0.036,0.9865870096025348,,,,,neither
ACTC1,0.2215,0.818258030768385,,,,,neither
ACTG1,-0.0868,0.962205844034946,,,,,neither
ACTG2,0.1104,0.9601966365350418,,,,,neither
ACTL10,-0.1322,0.8943774342954771,,,,,neither
ACTL6A,-0.2174,0.7297637036844843,,,,,neither
ACTL6B,0.1614,0.9161653305969258,,,,,neither
ACTL7A,0.0495,0.9742283402163224,,,,,neither
ACTL7B,-0.0817,0.93623214594866,,,,,neither
ACTL8,-0.0823,0.9317321247622332,,,,,neither
ACTL9,-0.1241,0.942520063980189,,,,,neither
ACTMAP,0.1868,0.8943774342954771,,,,,neither
ACTN1,0.0324,0.9919488452605149,,,,,neither
ACTN2,-0.0849,0.954127149130776,,,,,neither
ACTN4,-0.1053,0.8943774342954771,,,,,neither
ACTR10,-0.0214,0.9975610407095122,,,,,neither
ACTR1A,-0.1399,0.9823944221865752,,,,,neither
ACTR1B,-0.1204,0.9458839233291124,,,,,neither
ACTR2,-0.0594,0.9793628981094148,,,,,neither
ACTR3,-0.0515,0.9975610407095122,,,,,neither
ACTR3B,0.0446,0.9949424194863864,,,,,neither
ACTR3C,-0.1335,0.9592146218729038,,,,,neither
ACTR5,0.171,0.891652740815268,,,,,neither
ACTR6,-0.0061,0.9949424194863864,,,,,neither
ACTR8,-0.1539,0.9373910967084378,,,,,neither
ACTRT1,0.1005,0.9685901835143516,,,,,neither
ACTRT2,0.0225,0.9793104017325636,,,,,neither
ACTRT3,0.1832,0.8408141093132098,,,,,neither
ACVR1,-0.203,0.93623214594866,,,,,neither
ACVR1B,0.0176,0.9823944221865752,,,,,neither
ACVR1C,-0.0672,0.9773106863644524,,,,,neither
ACVR2A,0.0645,0.9935679037459302,,,,,neither
ACVR2B,0.0625,0.9851360850459384,,,,,neither
ACVRL1,-0.0884,0.9474917726075524,,,,,neither
ACY1,0.1023,0.9914128545815925,,,,,neither
ACY3,-0.0097,0.988903223701504,,,,,neither
ACYP1,-0.0409,0.9685914979182036,,,,,neither
ACYP2,-0.0338,0.9935679037459302,,,,,neither
ADA,0.1003,0.9306774976492062,,,,,neither
ADA2,-0.0604,0.959070476085196,,,,,neither
ADAD1,-0.1151,0.9823944221865752,,,,,neither
ADAD2,0.0715,0.9823343175790452,,,,,neither
ADAM10,0.1356,0.9592146218729038,,,,,neither
ADAM11,-0.0875,0.988903223701504,,,,,neither
ADAM12,-0.0386,0.9949424194863864,,,,,neither
ADAM15,0.0543,0.9961234093825128,,,,,neither
ADAM17,-0.01,0.9874966417277669,,,,,neither
ADAM18,0.0665,0.988903223701504,,,,,neither
ADAM19,-0.042,0.9975610407095122,,,,,neither
ADAM2,-0.0352,0.9851360850459384,,,,,neither
ADAM20,0.0768,0.962205844034946,,,,,neither
ADAM21,0.2209,0.9024949901071614,,,,,neither
ADAM22,0.1091,0.9823944221865752,,,,,neither
ADAM23,-0.1249,0.9175875627810612,,,,,neither
ADAM28,-0.0255,0.9919488452605149,,,,,neither
ADAM29,0.1043,0.9393476063473823,,,,,neither
ADAM30,0.0573,0.9942142304627448,,,,,neither
ADAM32,0.0363,0.9979043044209654,,,,,neither
ADAM33,-0.2094,0.9580342868454704,,,,,neither
ADAM7,-0.4163,0.2446346496580845,,,,,NF1_specific
ADAM8,0.0306,0.9538817707074796,,,,,neither
ADAM9,-0.0327,0.9961234093825128,,,,,neither
ADAMDEC1,-0.2316,0.8029792812456437,,,,,neither
ADAMTS1,-0.0609,0.942520063980189,,,,,neither
ADAMTS10,0.1707,0.9024949901071614,,,,,neither
ADAMTS12,-0.0049,0.9935679037459302,,,,,neither
ADAMTS13,-0.0027,0.9983658360500032,,,,,neither
ADAMTS14,0.1212,0.935791464140524,,,,,neither
ADAMTS15,0.1758,0.9024949901071614,,,,,neither
ADAMTS16,-0.0287,0.9793628981094148,,,,,neither
ADAMTS17,-0.0008,0.9975610407095122,,,,,neither
ADAMTS18,-0.116,0.942520063980189,,,,,neither
ADAMTS19,-0.2441,0.9175875627810612,,,,,neither
ADAMTS2,0.2457,0.6780490098953341,,,,,neither
ADAMTS20,0.2297,0.7413103877068196,,,,,neither
ADAMTS3,-0.3567,0.6451632751223236,,,,,NF1_specific
ADAMTS4,0.1315,0.8861314541567127,,,,,neither
ADAMTS5,-0.1239,0.9214300227489778,,,,,neither
ADAMTS6,0.129,0.9317321247622332,,,,,neither
ADAMTS7,0.0237,0.9975610407095122,,,,,neither
ADAMTS8,-0.1225,0.9823944221865752,,,,,neither
ADAMTS9,-0.0762,0.9935679037459302,,,,,neither
ADAMTSL1,0.0776,0.9823944221865752,,,,,neither
ADAMTSL2,-0.2403,0.8273583178811125,,,,,neither
ADAMTSL3,-0.2426,0.8548700217577266,,,,,neither
ADAMTSL4,-0.024,0.9949424194863864,,,,,neither
ADAMTSL5,-0.053,0.9951664807975446,,,,,neither
ADAP1,-0.0235,0.9975610407095122,,,,,neither
ADAP2,-0.002,0.9877703493329556,,,,,neither
ADAR,0.0179,0.9919488452605149,,,,,neither
ADARB1,0.1039,0.9823944221865752,,,,,neither
ADARB2,0.1996,0.8943774342954771,,,,,neither
ADAT1,-0.0682,0.9839588188603888,,,,,neither
ADAT2,0.0996,0.9773106863644524,,,,,neither
ADAT3,-0.0443,0.9823944221865752,,,,,neither
ADCK1,-0.1021,0.9823944221865752,,,,,neither
ADCK2,-0.2688,0.7265651525977933,,,,,neither
ADCK5,0.2158,0.8589921862661771,,,,,neither
ADCY1,-0.1904,0.8695492064204181,,,,,neither
ADCY10,-0.1536,0.8508868687211766,,,,,neither
ADCY2,-0.1837,0.9020296443327318,,,,,neither
ADCY3,-0.1903,0.8922470905174421,,,,,neither
ADCY4,-0.1146,0.8943774342954771,,,,,neither
ADCY5,0.0953,0.942250870951146,,,,,neither
ADCY6,0.3603,0.5559311675252981,,,,,neither
ADCY7,0.0674,0.9841370715577772,,,,,neither
ADCY8,-0.1058,0.9793104017325636,,,,,neither
ADCY9,0.1985,0.8273583178811125,,,,,neither
ADCYAP1,-0.1559,0.9682613726680008,,,,,neither
ADCYAP1R1,0.0549,0.9949424194863864,,,,,neither
ADD1,0.0717,0.9823944221865752,,,,,neither
ADD2,0.1007,0.9877703493329556,,,,,neither
ADD3,-0.0594,0.9823944221865752,,,,,neither
ADGRA1,-0.0458,0.9983658360500032,,,,,neither
ADGRA2,0.198,0.8943774342954771,,,,,neither
ADGRA3,0.1061,0.9540750340640276,,,,,neither
ADGRB1,0.1098,0.8922470905174421,,,,,neither
ADGRB2,-0.068,0.9823944221865752,,,,,neither
ADGRB3,-0.0896,0.8922470905174421,,,,,neither
ADGRD1,0.1086,0.9032036840547224,,,,,neither
ADGRE1,-0.1224,0.9354612676893624,,,,,neither
ADGRE2,-0.1931,0.8922470905174421,,,,,neither
ADGRE3,0.1194,0.942520063980189,,,,,neither
ADGRE5,0.0743,0.9823944221865752,,,,,neither
ADGRF1,0.0926,0.980777793381442,,,,,neither
ADGRF3,-0.0294,0.9983658360500032,,,,,neither
ADGRF4,-0.1174,0.9179596791089212,,,,,neither
ADGRF5,-0.127,0.9507420729631676,,,,,neither
ADGRG1,0.1259,0.9580342868454704,,,,,neither
ADGRG2,-0.115,0.942520063980189,,,,,neither
ADGRG3,0.1731,0.8943774342954771,,,,,neither
ADGRG4,-0.0607,0.9839588188603888,,,,,neither
ADGRG5,0.0563,0.9970947017753858,,,,,neither
ADGRG6,0.052,0.988903223701504,,,,,neither
ADGRG7,-0.05,0.9975610407095122,,,,,neither
ADGRL1,0.0134,0.9973870603956084,,,,,neither
ADGRL2,-0.0609,0.9658239653851955,,,,,neither
ADGRL3,-0.0701,0.988903223701504,,,,,neither
ADGRL4,-0.0282,0.9823944221865752,,,,,neither
ADGRV1,-0.0573,0.988903223701504,,,,,neither
ADH1A,-0.1253,0.942520063980189,,,,,neither
ADH1B,-0.0077,0.99279695051533,,,,,neither
ADH4,0.1081,0.9651016409936232,,,,,neither
ADH5,-0.0705,0.9951664807975446,,,,,neither
ADH6,-0.2723,0.6967120484934631,,,,,neither
ADH7,0.0963,0.988903223701504,,,,,neither
ADHFE1,0.2,0.9020296443327318,,,,,neither
ADI1,0.108,0.9826185942755306,,,,,neither
ADIG,-0.0362,0.988903223701504,,,,,neither
ADIPOQ,0.1394,0.9123211084160816,,,,,neither
ADIPOR1,0.127,0.9389280864437726,,,,,neither
ADIPOR2,0.2375,0.8695492064204181,,,,,neither
ADIRF,-0.1349,0.942520063980189,,,,,neither
ADISSP,-0.2601,0.7766316835727657,,,,,neither
ADK,0.0799,0.9823944221865752,,,,,neither
ADM,0.0881,0.9868289567495748,,,,,neither
ADM2,0.0176,0.9984573427736004,,,,,neither
ADM5,0.2089,0.8391304353595854,,,,,neither
ADNP,0.2298,0.7808896751988128,,,,,neither
ADNP2,-0.0592,0.9603915689894706,,,,,neither
ADO,-0.0062,0.9877703493329556,,,,,neither
ADORA1,-0.0728,0.980777793381442,,,,,neither
ADORA2A,-0.1688,0.9354612676893624,,,,,neither
ADORA2B,0.056,0.9886201045012536,,,,,neither
ADORA3,0.2354,0.9623208477623189,,,,,neither
ADPGK,-0.1782,0.8943774342954771,,,,,neither
ADPRH,0.1301,0.988903223701504,,,,,neither
ADPRHL1,0.0629,0.979994458062668,,,,,neither
ADPRM,-0.0807,0.9793104017325636,,,,,neither
ADPRS,-0.221,0.8217618584966575,,,,,neither
ADRA1A,-0.0419,0.9851360850459384,,,,,neither
ADRA1B,0.1958,0.8512673018474191,,,,,neither
ADRA1D,-0.3612,0.5559311675252981,,,,,NF1_specific
ADRA2A,-0.1431,0.9024949901071614,,,,,neither
ADRA2B,-0.2685,0.6133609693268873,,,,,neither
ADRA2C,-0.1379,0.9032036840547224,,,,,neither
ADRB1,-0.0201,0.9975610407095122,,,,,neither
ADRB2,-0.1353,0.9793628981094148,,,,,neither
ADRB3,-0.105,0.9826185942755306,,,,,neither
ADRM1,0.0857,0.9796454175630602,,,,,neither
ADSL,0.2381,0.7645918294910587,,,,,neither
ADSS1,-0.0593,0.9823944221865752,,,,,neither
ADSS2,0.1274,0.8352279779255734,,,,,neither
ADTRP,-0.0431,0.988903223701504,,,,,neither
AEBP1,0.1634,0.8943774342954771,,,,,neither
AEBP2,0.1872,0.8922470905174421,,,,,neither
AEN,-0.1701,0.9603915689894706,,,,,neither
AFAP1,-0.1457,0.9765275852398302,,,,,neither
AFAP1L1,-0.1504,0.9137118940184192,,,,,neither
AFAP1L2,0.0889,0.9773106863644524,,,,,neither
AFDN,0.1392,0.9373910967084378,,,,,neither
AFF1,0.2467,0.6967120484934631,,,,,neither
AFF2,0.2431,0.7888960112466801,,,,,neither
AFF3,-0.0973,0.9179596791089212,,,,,neither
AFF4,0.0664,0.9823944221865752,,,,,neither
AFG1L,-0.2278,0.6967120484934631,,,,,neither
AFG2A,-0.1197,0.9540750340640276,,,,,neither
AFG2B,0.2563,0.8391304353595854,,,,,neither
AFG3L2,0.1566,0.8608109130970103,,,,,neither
AFM,0.0054,0.9961234093825128,,,,,neither
AFMID,-0.2947,0.6967120484934631,,,,,neither
AFP,-0.1598,0.9027693517886408,,,,,neither
AFTPH,0.0721,0.991568324134546,,,,,neither
AGA,-0.1408,0.942520063980189,,,,,neither
AGAP1,-0.087,0.9354612676893624,,,,,neither
AGAP2,-0.1591,0.9317321247622332,,,,,neither
AGAP3,-0.1389,0.8961692211488933,,,,,neither
AGAP5,0.0274,0.9914128545815925,,,,,neither
AGAP6,0.1286,0.9474917726075524,,,,,neither
AGAP9,0.0428,0.9975610407095122,,,,,neither
AGBL1,-0.1102,0.9009392718060536,,,,,neither
AGBL2,0.1536,0.942520063980189,,,,,neither
AGBL3,-0.1182,0.9739512711267784,,,,,neither
AGBL4,-0.0151,0.9996766705997132,,,,,neither
AGBL5,-0.3182,0.6451632751223236,,,,,NF1_specific
AGER,-0.0435,0.993716081591597,,,,,neither
AGFG1,0.1616,0.8995271344185874,,,,,neither
AGFG2,0.1939,0.8508868687211766,,,,,neither
AGGF1,-0.0596,0.988903223701504,,,,,neither
AGK,-0.0626,0.9773106863644524,,,,,neither
AGL,-0.1711,0.9430714503494906,,,,,neither
AGMAT,0.0906,0.9603915689894706,,,,,neither
AGMO,0.1142,0.9677910102825864,,,,,neither
AGO1,-0.3293,0.6967120484934631,,,,,NF1_specific
AGO2,0.1316,0.9658239653851955,,,,,neither
AGO3,0.0457,0.9951664807975446,,,,,neither
AGO4,0.1392,0.9589413673375512,,,,,neither
AGPAT1,0.0202,0.988635996854372,,,,,neither
AGPAT2,0.148,0.9393476063473823,,,,,neither
AGPAT3,-0.1898,0.8922470905174421,,,,,neither
AGPAT4,0.0553,0.9944741766519076,,,,,neither
AGPAT5,0.1195,0.988903223701504,,,,,neither
AGPS,0.3781,0.5047088523415719,,,,,neither
AGR2,-0.076,0.9914128545815925,,,,,neither
AGR3,-0.0916,0.9414295320089094,,,,,neither
AGRN,0.0609,0.979994458062668,,,,,neither
AGRP,-0.0815,0.9175875627810612,,,,,neither
