library,term,overlap,p_value,adj_p_value,genes,combined_score
GO_Biological_Process_2023,Regulation Of Wound Healing (GO:0061041),1/47,0.050469679710716,0.0855495019311689,DUOX2,61.61964439333086
GO_Biological_Process_2023,Protein Monoubiquitination (GO:0006513),1/47,0.050469679710716,0.0855495019311689,PRKN,61.61964439333086
GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),1/47,0.050469679710716,0.0855495019311689,EP300,61.61964439333086
Reactome_2022,NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947,1/48,0.0515166208717867,0.1088793817003805,EP300,59.890954463772765
GO_Biological_Process_2023,Regulation Of DNA Binding (GO:0051101),1/48,0.0515166208717867,0.0861649676528114,PRKN,59.890954463772765
GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803),1/48,0.0515166208717867,0.0861649676528114,PRKN,59.890954463772765
GO_Biological_Process_2023,Myelination (GO:0042552),1/48,0.0515166208717867,0.0861649676528114,MBL2,59.890954463772765
KEGG_2021_Human,Intestinal immune network for IgA production,1/48,0.0515166208717867,0.251837773245223,CCR9,59.890954463772765
GO_Biological_Process_2023,Negative Regulation Of Gene Expression (GO:0010629),2/336,0.0521184814368196,0.0867624887755479,PRKN;PARP14,17.375151306880397
Reactome_2022,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,1/49,0.0525624601312181,0.1088793817003805,EP300,58.24291595044674
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),1/49,0.0525624601312181,0.0867624887755479,EP300,58.24291595044674
GO_Biological_Process_2023,Autophagy Of Mitochondrion (GO:0000422),1/49,0.0525624601312181,0.0867624887755479,PRKN,58.24291595044674
Reactome_2022,Signaling By NOTCH3 R-HSA-9012852,1/49,0.0525624601312181,0.1088793817003805,EP300,58.24291595044674
GO_Molecular_Function_2023,Zinc Ion Binding (GO:0008270),2/341,0.0535077843716488,0.1000207596751635,PRKN;SAMHD1,16.962118174531504
GO_Cellular_Component_2023,Multivesicular Body (GO:0005771),1/50,0.0536071985992547,0.1120877788893509,MBL2,56.67024999786951
Reactome_2022,Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,1/51,0.0546508373685044,0.1118734788484678,EP300,55.16811991271338
GO_Biological_Process_2023,Positive Regulation Of Ras Protein Signal Transduction (GO:0046579),1/51,0.0546508373685044,0.089817463153455,STK19,55.16811991271338
GO_Molecular_Function_2023,Calcium Ion Binding (GO:0005509),2/346,0.0549104823325123,0.1000207596751635,MASP1;DUOX2,16.5636248844404
GO_Molecular_Function_2023,Phosphoric Ester Hydrolase Activity (GO:0042578),1/52,0.0556933775463978,0.1000207596751635,SAMHD1,53.732086291886986
Reactome_2022,SARS-CoV-1 Infection R-HSA-9678108,1/52,0.0556933775463978,0.1126819499194561,PARP14,53.732086291886986
GO_Biological_Process_2023,Mitochondrial Transport (GO:0006839),1/53,0.0567348202331589,0.0908718730853139,PRKN,52.358067488080735
GO_Biological_Process_2023,Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224),1/53,0.0567348202331589,0.0908718730853139,EP300,52.358067488080735
GO_Biological_Process_2023,Positive Regulation Of Chemokine Production (GO:0032722),1/53,0.0567348202331589,0.0908718730853139,MBL2,52.358067488080735
GO_Biological_Process_2023,Protein Homotetramerization (GO:0051289),1/53,0.0567348202331589,0.0908718730853139,SAMHD1,52.358067488080735
GO_Biological_Process_2023,Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425),1/53,0.0567348202331589,0.0908718730853139,EP300,52.358067488080735
GO_Biological_Process_2023,Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),1/53,0.0567348202331589,0.0908718730853139,PRKN,52.358067488080735
KEGG_2021_Human,Fanconi anemia pathway,1/54,0.057775166528884,0.251837773245223,FANCD2,51.04230466405881
GO_Biological_Process_2023,Protein K63-linked Ubiquitination (GO:0070534),1/54,0.057775166528884,0.0921477339574606,PRKN,51.04230466405881
Reactome_2022,Regulation Of RUNX3 Expression And Activity R-HSA-8941858,1/54,0.057775166528884,0.1155503330577681,EP300,51.04230466405881
GO_Biological_Process_2023,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),1/55,0.0588144175257853,0.0934111337174237,PARP14,49.78133084189748
GO_Biological_Process_2023,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),1/56,0.059852574330197,0.0938259036904331,FANCD2,48.57194341390608
Reactome_2022,Chemokine Receptors Bind Chemokines R-HSA-380108,1/56,0.059852574330197,0.1172877154281598,CCR9,48.57194341390608
GO_Biological_Process_2023,Pattern Recognition Receptor Signaling Pathway (GO:0002221),1/56,0.059852574330197,0.0938259036904331,MBL2,48.57194341390608
GO_Biological_Process_2023,Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),1/56,0.059852574330197,0.0938259036904331,PRKN,48.57194341390608
GO_Biological_Process_2023,Protein Modification By Small Protein Conjugation (GO:0032446),2/364,0.0600684356959916,0.0938259036904331,PRKN;UVSSA,15.23908935354847
Reactome_2022,Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862,1/58,0.061925609729227,0.1172877154281598,EP300,46.29629511520948
Reactome_2022,Late SARS-CoV-2 Infection Events R-HSA-9772573,1/58,0.061925609729227,0.1172877154281598,PARP14,46.29629511520948
GO_Molecular_Function_2023,Nuclease Activity (GO:0004518),1/58,0.061925609729227,0.1086377091309651,SAMHD1,46.29629511520948
GO_Biological_Process_2023,Positive Regulation Of Mitochondrion Organization (GO:0010822),1/58,0.061925609729227,0.0951539856814952,PRKN,46.29629511520948
GO_Biological_Process_2023,Regulation Of Phagocytosis (GO:0050764),1/58,0.061925609729227,0.0951539856814952,MBL2,46.29629511520948
GO_Biological_Process_2023,Selective Autophagy (GO:0061912),1/58,0.061925609729227,0.0951539856814952,PRKN,46.29629511520948
GO_Biological_Process_2023,Regulation Of Neuron Death (GO:1901214),1/58,0.061925609729227,0.0951539856814952,PRKN,46.29629511520948
GO_Biological_Process_2023,Positive Regulation Of Protein Binding (GO:0032092),1/59,0.062960490519082,0.0959639734524718,PRKN,45.22474371763155
GO_Biological_Process_2023,Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333),1/59,0.062960490519082,0.0959639734524718,EP300,45.22474371763155
KEGG_2021_Human,Notch signaling pathway,1/59,0.062960490519082,0.251837773245223,EP300,45.22474371763155
Reactome_2022,B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,1/59,0.062960490519082,0.1172877154281598,EP300,45.22474371763155
GO_Molecular_Function_2023,SH3 Domain Binding (GO:0017124),1/59,0.062960490519082,0.1086377091309651,PRKN,45.22474371763155
Reactome_2022,Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,1/59,0.062960490519082,0.1172877154281598,EP300,45.22474371763155
GO_Biological_Process_2023,Response To Light Stimulus (GO:0009416),1/60,0.0639942814878953,0.0963738581769898,UVSSA,44.19416072773483
GO_Biological_Process_2023,Histone Acetylation (GO:0016573),1/60,0.0639942814878953,0.0963738581769898,EP300,44.19416072773483
GO_Biological_Process_2023,Positive Regulation Of Phagocytosis (GO:0050766),1/60,0.0639942814878953,0.0963738581769898,MBL2,44.19416072773483
Reactome_2022,Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,1/60,0.0639942814878953,0.1172877154281598,EP300,44.19416072773483
GO_Cellular_Component_2023,Condensed Chromosome (GO:0000793),1/60,0.0639942814878953,0.1150477404438456,FANCD2,44.19416072773483
GO_Biological_Process_2023,Negative Regulation Of Viral Process (GO:0048525),1/61,0.0650269837291301,0.096951290725521,MBL2,43.20234688566271
GO_Biological_Process_2023,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),1/61,0.0650269837291301,0.096951290725521,PRKN,43.20234688566271
Reactome_2022,Selective Autophagy R-HSA-9663891,1/61,0.0650269837291301,0.1172877154281598,PRKN,43.20234688566271
GO_Cellular_Component_2023,SCF Ubiquitin Ligase Complex (GO:0019005),1/61,0.0650269837291301,0.1150477404438456,PRKN,43.20234688566271
Reactome_2022,Signaling By FGFR In Disease R-HSA-1226099,1/61,0.0650269837291301,0.1172877154281598,CUX1,43.20234688566271
Reactome_2022,Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,1/61,0.0650269837291301,0.1172877154281598,EP300,43.20234688566271
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),5/2028,0.0651471636092125,0.096951290725521,PRKN;CUX1;MYT1L;EP300;ADNP,7.12933869835492
GO_Biological_Process_2023,Fat Cell Differentiation (GO:0045444),1/62,0.0660585983445957,0.0979221575461066,EP300,42.24725437764979
GO_Molecular_Function_2023,PDZ Domain Binding (GO:0030165),1/62,0.0660585983445957,0.1117914741216236,PRKN,42.24725437764979
Reactome_2022,TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,1/62,0.0660585983445957,0.1172877154281598,FANCD2,42.24725437764979
Reactome_2022,Pre-NOTCH Transcription And Translation R-HSA-1912408,1/62,0.0660585983445957,0.1172877154281598,EP300,42.24725437764979
GO_Biological_Process_2023,Protein Polymerization (GO:0051258),1/63,0.0670891264160781,0.0990612882237404,PRKN,41.32697417378087
KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.0670891264160781,0.251837773245223,TREX1,41.32697417378087
GO_Biological_Process_2023,Negative Regulation Of Cell Death (GO:0060548),1/64,0.0681185690281569,0.1001899575589234,PRKN,40.43972459506669
GO_Molecular_Function_2023,"Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups (GO:0016747)",1/64,0.0681185690281569,0.1131025297071284,EP300,40.43972459506669
Reactome_2022,FOXO-mediated Transcription R-HSA-9614085,1/65,0.0691469272864522,0.1215309631095222,EP300,39.58384098532174
GO_Biological_Process_2023,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),1/65,0.0691469272864522,0.1009171371207682,PARP14,39.58384098532174
GO_Biological_Process_2023,Cellular Response To Light Stimulus (GO:0071482),1/65,0.0691469272864522,0.1009171371207682,EP300,39.58384098532174
Reactome_2022,RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,1/66,0.0701742022596553,0.1221031119318003,EP300,38.75776638076853
GO_Biological_Process_2023,Negative Regulation Of Immune Response (GO:0050777),1/66,0.0701742022596553,0.102022494054422,TREX1,38.75776638076853
GO_Biological_Process_2023,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),1/67,0.0712003950414228,0.1031178135082675,PIDD1,37.96004302786625
KEGG_2021_Human,Long-term potentiation,1/67,0.0712003950414228,0.251837773245223,EP300,37.96004302786625
KEGG_2021_Human,Mitophagy,1/68,0.0722255067202058,0.251837773245223,PRKN,37.18930470253887
Reactome_2022,Circadian Clock R-HSA-400253,1/69,0.0732495383636409,0.1261922740126091,EP300,36.444269724198726
GO_Biological_Process_2023,DNA-templated DNA Replication (GO:0006261),1/69,0.0732495383636409,0.1056806316849476,POLG,36.444269724198726
KEGG_2021_Human,Renal cell carcinoma,1/69,0.0732495383636409,0.251837773245223,EP300,36.444269724198726
GO_Molecular_Function_2023,RNA Nuclease Activity (GO:0004540),1/70,0.0742724910847293,0.1210366521380774,SAMHD1,35.72373458022456
GO_Biological_Process_2023,Protein K48-linked Ubiquitination (GO:0070936),1/70,0.0742724910847293,0.1067490556274816,PRKN,35.72373458022456
GO_Biological_Process_2023,Protein Autoubiquitination (GO:0051865),1/71,0.075294365950959,0.1074010201111793,PRKN,35.026568142715256
GO_Biological_Process_2023,Negative Regulation Of Supramolecular Fiber Organization (GO:1902904),1/71,0.075294365950959,0.1074010201111793,PRKN,35.026568142715256
KEGG_2021_Human,Adherens junction,1/71,0.075294365950959,0.251837773245223,EP300,35.026568142715256
GO_Biological_Process_2023,Response To Ionizing Radiation (GO:0010212),1/72,0.0763151640250253,0.1080416928893617,FANCD2,34.35170636454176
Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,1/72,0.0763151640250253,0.1286922669549076,SAMHD1,34.35170636454176
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Nucleus (GO:1900182),1/72,0.0763151640250253,0.1080416928893617,EP300,34.35170636454176
GO_Biological_Process_2023,Protein Tetramerization (GO:0051262),1/73,0.0773348864227629,0.1090768174171805,SAMHD1,33.69814742858341
Reactome_2022,Cellular Response To Hypoxia R-HSA-1234174,1/73,0.0773348864227629,0.1286922669549076,EP300,33.69814742858341
KEGG_2021_Human,p53 signaling pathway,1/73,0.0773348864227629,0.251837773245223,PIDD1,33.69814742858341
Reactome_2022,Signaling By NOTCH1 R-HSA-1980143,1/74,0.078353534197411,0.1286922669549076,EP300,33.064947337443236
Reactome_2022,Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,1/74,0.078353534197411,0.1286922669549076,EP300,33.064947337443236
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),1/74,0.078353534197411,0.1101027357866965,PRKN,33.064947337443236
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,2/424,0.078398737340346,0.1286922669549076,CUX1;EP300,11.798234234883388
GO_Biological_Process_2023,Negative Regulation Of Phosphorylation (GO:0042326),1/75,0.0793711084262534,0.1107095165502723,PRKN,32.45121583769236
KEGG_2021_Human,Thyroid hormone synthesis,1/75,0.0793711084262534,0.251837773245223,DUOX2,32.45121583769236
GO_Biological_Process_2023,Positive Regulation Of Neurogenesis (GO:0050769),1/75,0.0793711084262534,0.1107095165502723,CUX1,32.45121583769236
GO_Biological_Process_2023,Positive Regulation Of Interleukin-6 Production (GO:0032755),1/76,0.0803876102053849,0.1113059218228407,MBL2,31.85611269580601
GO_Biological_Process_2023,Regulation Of Ras Protein Signal Transduction (GO:0046578),1/76,0.0803876102053849,0.1113059218228407,STK19,31.85611269580601
GO_Biological_Process_2023,Regulation Of Immune Response (GO:0050776),1/77,0.0814030405988153,0.1114374607853023,SAMHD1,31.278844284190207
GO_Biological_Process_2023,Protein Ubiquitination (GO:0016567),2/434,0.0816106499345568,0.1114374607853023,PRKN;UVSSA,11.337564599585727
GO_Biological_Process_2023,Negative Regulation Of Protein Modification Process (GO:0031400),1/78,0.0824174006878716,0.1114374607853023,PRKN,30.71866042602228
GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),1/78,0.0824174006878716,0.1114374607853023,PRKN,30.71866042602228
GO_Biological_Process_2023,Organonitrogen Compound Catabolic Process (GO:1901565),1/78,0.0824174006878716,0.1114374607853023,PRKN,30.71866042602228
Reactome_2022,Pre-NOTCH Expression And Processing R-HSA-1912422,1/78,0.0824174006878716,0.1327835899971264,EP300,30.71866042602228
Reactome_2022,Nuclear Events Mediated By NFE2L2 R-HSA-9759194,1/78,0.0824174006878716,0.1327835899971264,EP300,30.71866042602228
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Membrane (GO:1905477),1/79,0.0834306915403189,0.1114374607853023,PRKN,30.174851502656868
GO_Biological_Process_2023,Positive Regulation Of Catabolic Process (GO:0009896),1/79,0.0834306915403189,0.1114374607853023,PRKN,30.174851502656868
Reactome_2022,Amyloid Fiber Formation R-HSA-977225,1/79,0.0834306915403189,0.133182938789133,PRKN,30.174851502656868
GO_Biological_Process_2023,Negative Regulation Of Cellular Component Organization (GO:0051129),1/79,0.0834306915403189,0.1114374607853023,EP300,30.174851502656868
GO_Biological_Process_2023,Positive Regulation Of Endocytosis (GO:0045807),1/79,0.0834306915403189,0.1114374607853023,MBL2,30.174851502656868
GO_Biological_Process_2023,Cellular Response To UV (GO:0034644),1/79,0.0834306915403189,0.1114374607853023,EP300,30.174851502656868
GO_Molecular_Function_2023,Ubiquitin Binding (GO:0043130),1/80,0.0844429142331597,0.1347633670465648,PRKN,29.646745779715985
Reactome_2022,DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928,1/81,0.0854540698286766,0.1339550283800877,EP300,29.13370694679182
Reactome_2022,Signaling By NOTCH4 R-HSA-9013694,1/81,0.0854540698286766,0.1339550283800877,EP300,29.13370694679182
GO_Biological_Process_2023,Histone Modification (GO:0016570),1/81,0.0854540698286766,0.1137381633635203,EP300,29.13370694679182
Reactome_2022,Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399,1/82,0.0864641594090478,0.1343282476533422,USP45,28.63513183704516
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),1/82,0.0864641594090478,0.114411292627725,PRKN,28.63513183704516
GO_Molecular_Function_2023,Chromatin DNA Binding (GO:0031490),1/83,0.0874731840460648,0.1347633670465648,EP300,28.150448327888157
GO_Biological_Process_2023,Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436),1/83,0.0874731840460648,0.114411292627725,PRKN,28.150448327888157
GO_Biological_Process_2023,Regulation Of NIK/NF-kappaB Signaling (GO:1901222),1/83,0.0874731840460648,0.114411292627725,EP300,28.150448327888157
GO_Biological_Process_2023,Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060),1/83,0.0874731840460648,0.114411292627725,PRKN,28.150448327888157
GO_Molecular_Function_2023,Phosphatase Activity (GO:0016791),1/83,0.0874731840460648,0.1347633670465648,POLG,28.150448327888157
GO_Biological_Process_2023,Epigenetic Regulation Of Gene Expression (GO:0040029),1/83,0.0874731840460648,0.114411292627725,EP300,28.150448327888157
Reactome_2022,Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340,1/84,0.0884811447938404,0.1362453026029047,EP300,27.679113395058145
GO_Molecular_Function_2023,Transition Metal Ion Binding (GO:0046914),2/456,0.0888213100988722,0.1347633670465648,PRKN;SAMHD1,10.41191989699912
GO_Biological_Process_2023,Positive Regulation Of Protein Localization (GO:1903829),1/85,0.0894880427418254,0.1162421998502062,PRKN,27.220611302509273
GO_Biological_Process_2023,Defense Response To Gram-positive Bacterium (GO:0050830),1/85,0.0894880427418254,0.1162421998502062,MBL2,27.220611302509273
GO_Biological_Process_2023,Regulation Of Insulin Secretion (GO:0050796),1/87,0.0914986544722913,0.1184468883237196,PRKN,26.340169264282206
GO_Biological_Process_2023,Negative Regulation Of Neuron Death (GO:1901215),1/88,0.0925023703797257,0.1193375290223082,PRKN,25.91731986388528
GO_Biological_Process_2023,ERAD Pathway (GO:0036503),1/89,0.0935050277472241,0.1202207499607167,PRKN,25.505481613016396
GO_Biological_Process_2023,Positive Regulation Of Proteasomal Protein Catabolic Process (GO:1901800),1/90,0.0945066276095651,0.1210966279200529,PRKN,25.104252434640532
GO_Molecular_Function_2023,Transcription Cis-Regulatory Region Binding (GO:0000976),2/474,0.0948616002185595,0.1414884884615803,CUX1;ADNP,9.733726623138644
Reactome_2022,Signaling By TGF-beta Receptor Complex R-HSA-170834,1/91,0.0955071710697484,0.1445065023142281,EP300,24.71324912687108
Reactome_2022,Activation Of HOX Genes During Differentiation R-HSA-5619507,1/91,0.0955071710697484,0.1445065023142281,EP300,24.71324912687108
GO_Biological_Process_2023,Positive Regulation Of Binding (GO:0051099),1/91,0.0955071710697484,0.1219652387309625,PRKN,24.71324912687108
GO_Biological_Process_2023,Positive Regulation Of Neuron Projection Development (GO:0010976),1/92,0.0965066591594856,0.1224144871217636,EP300,24.332106297541305
GO_Biological_Process_2023,Positive Regulation Of Protein Catabolic Process (GO:0045732),1/92,0.0965066591594856,0.1224144871217636,PRKN,24.332106297541305
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),2/480,0.0969018890542851,0.1225047293060861,PRKN;EP300,9.521777651700404
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),2/482,0.0975848912388425,0.1229569629609416,PRKN;PIDD1,9.452600342317862
GO_Biological_Process_2023,Peptidyl-Lysine Modification (GO:0018205),1/94,0.0985024734903119,0.1237007806622522,EP300,23.598023514902643
KEGG_2021_Human,TGF-beta signaling pathway,1/94,0.0985024734903119,0.251837773245223,EP300,23.598023514902643
GO_Biological_Process_2023,Recombinational Repair (GO:0000725),1/95,0.0994988018426892,0.1241272181403845,SAMHD1,23.244433034928196
Reactome_2022,Transcriptional Regulation By RUNX3 R-HSA-8878159,1/95,0.0994988018426892,0.1479725770993839,EP300,23.244433034928196
Reactome_2022,Metabolism Of Nucleotides R-HSA-15869,1/95,0.0994988018426892,0.1479725770993839,SAMHD1,23.244433034928196
GO_Biological_Process_2023,Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100),1/95,0.0994988018426892,0.1241272181403845,EP300,23.244433034928196
KEGG_2021_Human,Prostate cancer,1/97,0.1014883062274201,0.251837773245223,EP300,22.56263499711162
MSigDB_Hallmark_2020,Interferon Alpha Response,1/97,0.1014883062274201,0.1984625719282345,PARP14,22.56263499711162
GO_Biological_Process_2023,Regulation Of Defense Response (GO:0031347),1/97,0.1014883062274201,0.1261926965590948,SAMHD1,22.56263499711162
GO_Biological_Process_2023,MAPK Cascade (GO:0000165),1/98,0.1024814843673402,0.1270098396421463,MBL2,22.233859615850243
GO_Molecular_Function_2023,Cysteine-Type Deubiquitinase Activity (GO:0004843),1/98,0.1024814843673402,0.146865775494338,USP45,22.233859615850243
GO_Molecular_Function_2023,Transcription Coregulator Binding (GO:0001221),1/99,0.103473614552829,0.146865775494338,EP300,21.912808540819068
GO_Molecular_Function_2023,Histone Deacetylase Binding (GO:0042826),1/99,0.103473614552829,0.146865775494338,PRKN,21.912808540819068
Reactome_2022,Cellular Response To Heat Stress R-HSA-3371556,1/99,0.103473614552829,0.1525797367134937,EP300,21.912808540819068
Reactome_2022,KEAP1-NFE2L2 Pathway R-HSA-9755511,1/100,0.104464697819105,0.1527467010128091,EP300,21.59922753970687
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,1/100,0.104464697819105,0.251837773245223,CCR9,21.59922753970687
KEGG_2021_Human,Melanogenesis,1/101,0.1054547352119902,0.251837773245223,EP300,21.292873143821897
GO_Biological_Process_2023,Protein Catabolic Process (GO:0030163),1/102,0.1064437278194509,0.1314893108357923,PRKN,20.9935120892893
GO_Biological_Process_2023,Macroautophagy (GO:0016236),1/104,0.108418582791051,0.1334925872801866,PRKN,20.414884910795575
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.108418582791051,0.251837773245223,PIDD1,20.414884910795575
GO_Biological_Process_2023,Lysosomal Transport (GO:0007041),1/105,0.109404447269235,0.1338345665623652,PRKN,20.13519876202632
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),1/105,0.109404447269235,0.1338345665623652,PRKN,20.13519876202632
Reactome_2022,HATs Acetylate Histones R-HSA-3214847,1/106,0.1103892711343678,0.1600644431448333,EP300,19.8616650141474
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.111373055412618,0.251837773245223,EP300,19.594094214759313
GO_Biological_Process_2023,Positive Regulation Of Autophagy (GO:0010508),1/107,0.111373055412618,0.1358032740192568,PRKN,19.594094214759313
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),2/525,0.1126027841322354,0.136005011387274,PRKN;EP300,8.123815934573019
GO_Biological_Process_2023,Regulation Of Wnt Signaling Pathway (GO:0030111),1/109,0.113337509489395,0.136005011387274,PRKN,19.07612080351189
GO_Biological_Process_2023,Negative Regulation Of Developmental Process (GO:0051093),1/109,0.113337509489395,0.136005011387274,PRKN,19.07612080351189
GO_Biological_Process_2023,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),1/109,0.113337509489395,0.136005011387274,PIDD1,19.07612080351189
KEGG_2021_Human,HIF-1 signaling pathway,1/109,0.113337509489395,0.251837773245223,EP300,19.07612080351189
GO_Biological_Process_2023,Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434),1/109,0.113337509489395,0.136005011387274,PRKN,19.07612080351189
GO_Biological_Process_2023,Regulation Of JNK Cascade (GO:0046328),1/110,0.1143181813424375,0.136747697934941,PRKN,18.825375384313688
GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),1/111,0.1152978178149341,0.1370521230630349,SAMHD1,18.57990662598213
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),1/111,0.1152978178149341,0.1370521230630349,EP300,18.57990662598213
GO_Biological_Process_2023,Negative Regulation Of Defense Response (GO:0031348),1/112,0.1162764199182915,0.1377820900599191,TREX1,18.3395591765212
GO_Molecular_Function_2023,Deubiquitinase Activity (GO:0101005),1/113,0.1172539887068551,0.1637833493048134,USP45,18.104183565431285
GO_Biological_Process_2023,Regulation Of Protein Ubiquitination (GO:0031396),1/113,0.1172539887068551,0.1383626580237826,PRKN,18.104183565431285
Reactome_2022,Signaling By NTRK1 (TRKA) R-HSA-187037,1/114,0.1182305252425444,0.1686238638705141,EP300,17.873635934356088
GO_Biological_Process_2023,Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090),1/114,0.1182305252425444,0.1383626580237826,PRKN,17.873635934356088
GO_Biological_Process_2023,Response To Endoplasmic Reticulum Stress (GO:0034976),1/114,0.1182305252425444,0.1383626580237826,PRKN,17.873635934356088
Reactome_2022,Macroautophagy R-HSA-1632852,1/114,0.1182305252425444,0.1686238638705141,PRKN,17.873635934356088
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),1/114,0.1182305252425444,0.1383626580237826,MBL2,17.873635934356088
GO_Molecular_Function_2023,Nuclear Receptor Binding (GO:0016922),1/115,0.1192060305308392,0.1639082919799039,EP300,17.647777784279164
Reactome_2022,Epigenetic Regulation Of Gene Expression R-HSA-212165,1/116,0.1201805056199947,0.1686403869183797,EP300,17.42647572499955
Reactome_2022,PPARA Activates Gene Expression R-HSA-1989781,1/116,0.1201805056199947,0.1686403869183797,EP300,17.42647572499955
GO_Biological_Process_2023,Regulation Of Protein Binding (GO:0043393),1/118,0.1221263693496126,0.1424807642412147,PRKN,16.997030510778643
Reactome_2022,Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,1/118,0.1221263693496126,0.1686536240267991,EP300,16.997030510778643
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",1/119,0.1230977600655372,0.251837773245223,EP300,16.788644123639525
Reactome_2022,Estrogen-dependent Gene Expression R-HSA-9018519,1/119,0.1230977600655372,0.1686536240267991,EP300,16.788644123639525
Reactome_2022,Signaling By TGFB Family Members R-HSA-9006936,1/119,0.1230977600655372,0.1686536240267991,EP300,16.788644123639525
GO_Biological_Process_2023,Regulation Of Protein-Containing Complex Assembly (GO:0043254),1/119,0.1230977600655372,0.1431721640146864,EP300,16.788644123639525
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),3/1127,0.1240756621297597,0.1438668720400281,PRKN;ADNP;PARP14,5.52712051820987
KEGG_2021_Human,Thyroid hormone signaling pathway,1/121,0.125037464342257,0.251837773245223,EP300,16.383967972675826
GO_Biological_Process_2023,Regulation Of Protein Catabolic Process (GO:0042176),1/122,0.1260057799751636,0.145658057585969,PRKN,16.18746000501486
Reactome_2022,Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,1/122,0.1260057799751636,0.1712891071537381,PARP14,16.18746000501486
GO_Biological_Process_2023,Regulation Of Cell Motility (GO:2000145),1/123,0.1269730726287825,0.1463287239441457,DUOX2,15.994699639424006
KEGG_2021_Human,Cell cycle,1/124,0.1279393433544284,0.251837773245223,EP300,15.805587027633496
