library,term,overlap,p_value,adj_p_value,genes,combined_score
GO_Molecular_Function_2023,3'-5'-DNA Exonuclease Activity (GO:0008296),1/11,0.0120365474388125,0.0641612858031487,TREX1,420.26056624547704
GO_Biological_Process_2023,Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060334),1/11,0.0120365474388125,0.0575925940743182,PARP14,420.26056624547704
Reactome_2022,Regulation Of Gene Expression By Hypoxia-inducible Factor R-HSA-1234158,1/11,0.0120365474388125,0.0713612028179906,EP300,420.26056624547704
GO_Biological_Process_2023,Positive Regulation Of Cytoplasmic Transport (GO:1903651),1/11,0.0120365474388125,0.0575925940743182,PRKN,420.26056624547704
GO_Biological_Process_2023,Regulation Of Response To Oxidative Stress (GO:1902882),1/11,0.0120365474388125,0.0575925940743182,PRKN,420.26056624547704
GO_Biological_Process_2023,Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000341),1/12,0.0131238993688258,0.0590575471597164,MBL2,374.5602037304559
GO_Biological_Process_2023,Adult Locomotory Behavior (GO:0008344),1/12,0.0131238993688258,0.0590575471597164,PRKN,374.5602037304559
GO_Biological_Process_2023,Negative Regulation By Host Of Viral Process (GO:0044793),1/12,0.0131238993688258,0.0590575471597164,PRKN,374.5602037304559
GO_Biological_Process_2023,Positive Regulation Of Cell Morphogenesis Involved In Differentiation (GO:0010770),1/12,0.0131238993688258,0.0590575471597164,CUX1,374.5602037304559
GO_Biological_Process_2023,"Base-Excision Repair, Gap-Filling (GO:0006287)",1/12,0.0131238993688258,0.0590575471597164,POLG,374.5602037304559
GO_Molecular_Function_2023,"DNA Exonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016895)",1/12,0.0131238993688258,0.0641612858031487,TREX1,374.5602037304559
GO_Molecular_Function_2023,"Oxidoreductase Activity, Acting On NAD(P)H, Oxygen As Acceptor (GO:0050664)",1/12,0.0131238993688258,0.0641612858031487,DUOX2,374.5602037304559
Reactome_2022,Maturation Of Nucleoprotein R-HSA-9683610,1/12,0.0131238993688258,0.0713612028179906,PARP14,374.5602037304559
Reactome_2022,TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207,1/12,0.0131238993688258,0.0713612028179906,PIDD1,374.5602037304559
Reactome_2022,Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907,1/12,0.0131238993688258,0.0713612028179906,EP300,374.5602037304559
Reactome_2022,Josephin Domain DUBs R-HSA-5689877,1/12,0.0131238993688258,0.0713612028179906,PRKN,374.5602037304559
GO_Cellular_Component_2023,Serine-Type Peptidase Complex (GO:1905286),1/12,0.0131238993688258,0.0531412112626618,MBL2,374.5602037304559
Reactome_2022,NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563,1/12,0.0131238993688258,0.0713612028179906,EP300,374.5602037304559
GO_Cellular_Component_2023,Chromosome (GO:0005694),2/164,0.0138629246772161,0.0531412112626618,FANCD2;UVSSA,52.335490724990784
GO_Biological_Process_2023,Acute-Phase Response (GO:0006953),1/13,0.0142101091631312,0.0610388779961773,MBL2,337.0293803138913
GO_Biological_Process_2023,Mitochondrial Fission (GO:0000266),1/13,0.0142101091631312,0.0610388779961773,PRKN,337.0293803138913
GO_Biological_Process_2023,Mitochondrial DNA Metabolic Process (GO:0032042),1/13,0.0142101091631312,0.0610388779961773,POLG,337.0293803138913
GO_Biological_Process_2023,Catecholamine Metabolic Process (GO:0006584),1/13,0.0142101091631312,0.0610388779961773,PRKN,337.0293803138913
GO_Molecular_Function_2023,Histone H3 Acetyltransferase Activity (GO:0010484),1/13,0.0142101091631312,0.0658152424397657,EP300,337.0293803138913
Reactome_2022,IRF3-mediated Induction Of Type I IFN R-HSA-3270619,1/13,0.0142101091631312,0.0749260301328737,TREX1,337.0293803138913
GO_Biological_Process_2023,Regulation Of Carbohydrate Catabolic Process (GO:0043470),1/14,0.0152951779293368,0.0616212791394998,EP300,305.7071272789262
GO_Biological_Process_2023,Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573),1/14,0.0152951779293368,0.0616212791394998,FANCD2,305.7071272789262
Reactome_2022,RUNX3 Regulates NOTCH Signaling R-HSA-8941856,1/14,0.0152951779293368,0.0750499904334582,EP300,305.7071272789262
GO_Molecular_Function_2023,Phospholipase Binding (GO:0043274),1/15,0.0163791067947741,0.0686362570447678,PRKN,279.20731867751766
GO_Molecular_Function_2023,Death Receptor Binding (GO:0005123),1/15,0.0163791067947741,0.0686362570447678,PIDD1,279.20731867751766
Reactome_2022,Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975,1/15,0.0163791067947741,0.0750499904334582,TREX1,279.20731867751766
