gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
PPP1R37,144,1042,-0.1147067273482762,-0.09430044657806935,-0.21122081383702307,-0.38567903506741863,-0.03676259260662754,66463.0,0.026281495552820007,0.33469708576535195,False
DGKH,144,1042,-0.034226341835416,-0.016098765321950953,-0.21101298661245826,-0.3854708005413602,-0.03655517268355635,65961.0,0.018656234355572773,0.2920086869933984,False
MAZ,144,1042,-0.10257511070919625,-0.08670956858771264,-0.2108740663360748,-0.38533160823093726,-0.03641652444121238,66624.0,0.029239940363453842,0.352116434289517,False
GPR141,144,1042,0.16721777948711647,0.1953708588540038,-0.21078800340882367,-0.3852453768647025,-0.03633062995294484,64696.0,0.007347221296307995,0.21775706622165067,False
PBRM1,144,1042,-0.1823225608953677,-0.14084719064010215,-0.2107757518389322,-0.38523310132209676,-0.03631840235576764,65183.0,0.01064097691084647,0.2391019511132682,False
ARAF,144,1042,0.07023456039631035,0.0872032595257796,-0.2105632995409675,-0.38502023353861015,-0.036106365543324886,66755.0,0.03185438588753591,0.3626545989520041,False
ALOX15,144,1042,-0.0483332557065972,-0.0282726115105862,-0.21052637441010527,-0.38498323623720193,-0.03606951258300861,67007.0,0.03745019114617649,0.3830003200279682,False
TAC3,144,1042,-0.12532135356549928,-0.09525579022187206,-0.21022329587701583,-0.384679565811195,-0.03576702594283665,65201.0,0.01078463135533176,0.2395089490176099,False
S100A16,144,1042,-0.0381868033455313,-0.02124267210220555,-0.2099339014030696,-0.3843896069623849,-0.03547819584375436,66474.0,0.026475056291353938,0.33688004483005785,False
SLC25A19,144,1042,-0.25235463284349163,-0.2016293889344201,-0.20987438079085952,-0.38432997036970584,-0.03541879121201319,65637.0,0.01483306211958693,0.2686582190568821,False
ATP5F1B,144,1042,-0.8964151667119175,-0.8299164988546159,-0.20965981643913478,-0.38411498819524503,-0.03520464468302453,66647.0,0.02968513563515105,0.35343715970512996,False
HOXA6,144,1042,-0.11640902701293909,-0.1009724862556621,-0.20959096067114044,-0.3840459984342779,-0.03513592290800302,68286.0,0.0803194753775166,0.480710451600217,False
GOT1L1,144,1042,0.1108678305009357,0.1339053991515704,-0.20951202808907293,-0.383966912303828,-0.03505714387431785,65722.0,0.01576260970122952,0.2762896290449991,False
URAD,144,1042,0.00716864451745685,0.0238818526074646,-0.2093024937442378,-0.3837569706295285,-0.03484801685894706,67712.0,0.05771886291773148,0.4346732175463432,False
CDC6,144,1042,-1.3508274057136929,-1.3276575280546665,-0.20927579187782666,-0.38373021688457554,-0.034821366871077813,69345.0,0.1404941065719835,0.5760804539085836,False
KCTD5,144,1042,-0.1482389679064429,-0.102104529913504,-0.20922120483527412,-0.38367552380645786,-0.03476688586409035,64850.0,0.00827327436833857,0.2256507131053248,False
