gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
CATSPER3,21,42,-0.1401498481382519,-0.1048301232830249,-0.219133456649666,-0.7443514326371385,0.30608451933780656,387.0,0.4353638933521433,0.9751541405629434,False
MARCHF9,18,32,-0.3955827709676901,-0.3274576375297896,-0.2190117446417858,-0.7980649086560736,0.36004141937250206,248.0,0.424669479813625,0.9751541405629434,False
MAP3K8,21,42,-0.0153638486061112,0.014522629014195002,-0.21894836869360904,-0.744163991309916,0.30626725392269794,325.0,0.09217699229803643,0.9142423474033659,False
IRAG1,21,42,0.0735174509635272,0.0814895028389037,-0.21894754035104114,-0.7441631524395177,0.3062680717374354,413.0,0.6884509416174658,0.9862278368732746,False
MAP3K21,21,42,0.008428032753685,0.04940075113465975,-0.21890263450680028,-0.7441176759231732,0.30631240690957273,381.0,0.38565298663545144,0.9694579704696874,False
RGL3,21,42,0.0950783985693383,0.11116171712836614,-0.21888500416467968,-0.7440998215631055,0.3063298132337461,385.0,0.41839641532637906,0.9726780919509015,False
TSPAN17,21,42,-0.0465012319796213,-0.0195459471614833,-0.21882765429433748,-0.7440417431072708,0.3063864345185958,371.0,0.3109022865443384,0.9623757803851758,False
LAMA4,21,42,0.0384516698452402,0.0688888074385539,-0.21880936526746453,-0.744023221772476,0.306404491237547,383.0,0.4018246031924323,0.9694721420672099,False
ADAM18,21,42,0.1000785201409285,0.16613164722398455,-0.21880162949202409,-0.7440153877427311,0.30641212875868296,382.0,0.39368851798913085,0.9694721420672099,False
YES1,21,42,0.0343871599634784,0.05903530211649985,-0.2187330243687933,-0.7439459113973431,0.3064798626597566,376.0,0.34699750259476436,0.9664001083832011,False
ZNF415,21,42,0.017440668312156,0.04605389144873635,-0.21848995555976747,-0.7436997580245293,0.3067198469049943,362.0,0.25239427046340657,0.959440674937321,False
TUBGCP5,21,42,-1.0982888867789256,-1.0355258687619775,-0.218462222161284,-0.743671672903698,0.30674722858113,373.0,0.3250319405505897,0.9623757803851758,False
ZNF208,21,42,-0.250643175042185,-0.17554867772922725,-0.21844216679342118,-0.7436513632159879,0.3067670296291455,396.0,0.5164526755511092,0.9777756229866897,False
HAVCR2,21,42,-0.0290288979212155,0.03273364002891905,-0.21841376795621664,-0.7436226042960752,0.30679506838364184,353.0,0.20203474645039632,0.9427173308273556,False
CACNG7,21,42,0.2657412608328292,0.29775405902695096,-0.2184087103473812,-0.7436174825642358,0.3068000618694734,395.0,0.5070721828349891,0.9769325572595026,False
SLC30A1,21,42,0.0937256761785453,0.11002421119386016,-0.21839970001022457,-0.7436083579929826,0.3068089579725335,400.0,0.5548541509583209,0.9779661060622651,False
FBXW8,21,42,-0.058460394927059,-0.04885682299619824,-0.21839453871899325,-0.743603131268416,0.3068140538304295,427.0,0.8439574456153761,0.9974295384477531,False
HTR1D,21,42,0.0480010224955804,0.08911239470961904,-0.21830623117008321,-0.7435137044206253,0.3069012420804589,375.0,0.33957294651850756,0.964804706706284,False
PNPLA6,21,42,-0.0487599183907025,-0.026497360296019352,-0.21817742762316053,-0.743383269095113,0.307028413848792,380.0,0.3777184532991602,0.9694579704696874,False
TIGD3,21,42,-0.1991255669162195,-0.15096780015400674,-0.21814133522371326,-0.7433467196222877,0.3070640491748612,399.0,0.5451243224781266,0.9779661060622651,False
P2RY12,21,42,-0.1350497668503446,-0.1067854942992595,-0.21806007594142887,-0.7432644315495034,0.3071442796666457,393.0,0.488583168747838,0.9751541405629434,False
ATG7,21,42,0.0390318894591511,0.0306006289529574,-0.21796783536341954,-0.7431710236133675,0.30723535288652837,408.0,0.6356000139206966,0.9781944768356374,False
ATP2B4,21,42,-0.1953856841943975,-0.19789311580359942,-0.21793674128143045,-0.743139536128423,0.307266053565562,405.0,0.6047370250975013,0.9781944768356374,False
ITGA5,21,42,-0.0939830967257106,-0.0657223529550171,-0.21793165444418722,-0.7431343849377257,0.3072710760493513,366.0,0.2773763371924123,0.9623757803851758,False
PDE6D,21,42,-0.0367318502921369,-0.06000305349575211,-0.2178857144919342,-0.7430878638679378,0.30731643488406946,406.0,0.6149500596033888,0.9781944768356374,False
GID4,21,42,-0.192466831592207,-0.19741194063689535,-0.21783095828937588,-0.7430324151858609,0.30737049860710913,410.0,0.656537269909282,0.9802139705864559,False
TBC1D22A,21,42,-0.0242693673729885,0.0127769238587856,-0.21778799960694895,-0.7429889133435733,0.3074129141296754,388.0,0.4439943760230095,0.9751541405629434,False
RAPGEF6,21,42,-0.0638568347031563,-0.06555374810778344,-0.21777313940288529,-0.7429738652752591,0.3074275864694886,401.0,0.5646681104441957,0.9779661060622651,False
SGO1,21,42,-0.8140892310435404,-0.7694039268109196,-0.21749557268337244,-0.74269279187187,0.30770164650512505,387.0,0.4353638933521433,0.9751541405629434,False
ANGPTL1,21,42,0.0190811923537837,0.05440319337520755,-0.2174734432786384,-0.7426703830832249,0.3077234965259481,382.0,0.39368851798913085,0.9694721420672099,False
MARS1,21,42,-1.9281158124980264,-1.86821218781638,-0.21746896728460935,-0.7426658505831738,0.30772791601395516,384.0,0.41006074950478144,0.9726780919509015,False
ADSS1,21,42,-0.0785309168556827,-0.1037836488333714,-0.2173876544809596,-0.7425835114686066,0.30780820250668744,421.0,0.7761683990501249,0.9936085930868701,False
TDO2,21,42,-0.0081287855826826,0.02920610607743055,-0.2173618372417441,-0.7425573684501808,0.3078336939666927,386.0,0.42683100995005774,0.9751541405629434,False
OR4S2,18,32,-0.0979644553774078,-0.06645223702549545,-0.21736052584702115,-0.7963897887288307,0.3616687370347884,249.0,0.4364893543148437,0.9751541405629434,False
RGS7,21,42,0.0342755251216978,0.0761388364301696,-0.21735964518284925,-0.7425551487321919,0.3078358583664934,404.0,0.5946007745407849,0.9779661060622651,False
ERICH5,21,42,-0.1087014717649147,-0.04108067353129745,-0.21734364411250787,-0.7425389457709772,0.30785165754596155,373.0,0.3250319405505897,0.9623757803851758,False
SETD4,21,42,0.0380970453128296,0.10543720000722731,-0.21727530423804642,-0.7424697437958141,0.30791913531972126,341.0,0.14685242288392844,0.9319827544838546,False
CCDC59,21,42,-0.731195160860194,-0.7021230919029098,-0.21725766860440318,-0.7424518857341902,0.30793654852538377,413.0,0.6884509416174658,0.9862278368732746,False
CLRN3,21,42,0.0978651255698618,0.1039538415562275,-0.21723413874232245,-0.7424280591316245,0.30795978164697957,377.0,0.3545245615383803,0.9664001083832011,False
RRP9,21,42,-0.7270552199662146,-0.7324568884391839,-0.21723244168663763,-0.7424263406752176,0.3079614573019423,420.0,0.7650193459530775,0.9917982714398549,False
