gene,n_kinase,n_helical,median_kinase,median_helical,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,pathway,fdr,significant
PROM2,38,46,0.05779132876222935,0.07251258401862835,-0.03829839005201778,-0.4679895987034054,0.3913928185993698,850.0,0.832737132310658,,0.9933109842800927,False
MOB4,38,46,-0.6527131278014595,-0.6804750041573691,-0.038219684313166476,-0.4679107327245491,0.39147136409821615,862.0,0.9176856082575561,,0.9965456408463602,False
IL33,38,46,0.1957526755682096,0.17700901023246554,-0.03821546262041026,-0.46790650244600146,0.39147557720518095,955.0,0.4694057073701665,,0.979964342630627,False
WDR55,38,46,-1.2494351095331182,-1.2962495329093882,-0.03817204815854561,-0.46786299974577605,0.3915189034286848,868.0,0.9605782058106451,,0.9972860754091064,False
KDM4B,38,46,-0.025710071551562498,-0.0372449217743602,-0.038093655409874694,-0.46778444792063334,0.39159713710088395,869.0,0.9677414639820949,,0.9977903622944595,False
NSMCE3,38,46,-0.943949611139627,-0.9298036794251446,-0.03808622519934667,-0.46777700264950545,0.3916045522508121,875.0,0.9964147532535934,,0.9997601108270485,False
GFRA3,38,46,-0.0243001602099592,-0.014743187654518451,-0.0380527086794401,-0.4677434182300926,0.39163800087121237,882.0,0.9462618097357209,,0.9965456408463602,False
ZNF174,38,46,-0.15381277036002305,-0.1442695988278,-0.03794899798054535,-0.46763949780728464,0.39174150184619394,843.0,0.7840071676575825,,0.9900429366628484,False
CLBA1,38,46,0.06413673515359644,0.060449132848097206,-0.03793317366661834,-0.46762364154372926,0.39175729421049255,873.0,0.9964147532535934,,0.9997601108270485,False
CFAP43,38,46,-0.0632695993201776,-0.0492206938462277,-0.037877565069266296,-0.4675679207771027,0.39181279063857005,838.0,0.7496997111908541,,0.9880851875628202,False
CD248,38,46,-0.06749518929146525,-0.0709703267536579,-0.03783051137808014,-0.4675207723014312,0.3918597495452709,861.0,0.91055669025796,,0.9965327156381519,False
ZC4H2,38,46,0.09341456545639665,0.07292659425338545,-0.03782716174426565,-0.4675174159246392,0.3918630924361079,925.0,0.6499447031021359,,0.9857463687062569,False
PTPN18,38,46,-0.0114044230480237,-0.0186974674485167,-0.03779630727398339,-0.46748649937086695,0.3918938848229001,876.0,0.9892445493139013,,0.9993883606821546,False
LDHA,38,46,-0.24676862134254252,-0.2563413526110254,-0.03770472047555042,-0.4673947285853661,0.3919852876342653,895.0,0.8538317095553742,,0.994222055690833,False
EFHC2,38,46,0.0129772292126227,0.0010718564516361,-0.03763333416083605,-0.46732319917346815,0.3920565308517961,888.0,0.9034349656283535,,0.9956052098016106,False
RNF169,38,46,-0.0916612195512973,-0.123399584439931,-0.03761182671369688,-0.467301648666802,0.39207799523940823,921.0,0.6760265450468208,,0.9857463687062569,False
CXCL14,38,46,-0.057430814377542654,-0.0542874746283484,-0.03761130886091235,-0.4673011297775406,0.3920785120557159,878.0,0.974907326027806,,0.9981194052189444,False
ZNF154,38,46,0.15639719219050457,0.15650537195335057,-0.03755659033587286,-0.46724630181436466,0.392133121142619,891.0,0.8821186156411883,,0.9946716700454123,False
LRRC39,38,46,-0.062803470054475,-0.06463213303912416,-0.03753543792453485,-0.4672251071404775,0.3921542312914078,829.0,0.6892172496996016,,0.9857463687062569,False
NMB,38,46,0.05328858740310585,0.058088099350542946,-0.037520233720608455,-0.46720987257323443,0.3921694051320175,876.0,0.9892445493139013,,0.9993883606821546,False
SERTAD4,38,46,0.0513806441017308,0.07683369189540104,-0.037396275069292266,-0.4670856668311493,0.3922931166925648,845.0,0.7978527999750329,,0.9900429366628484,False
ACTR1A,38,46,-0.8513881664754919,-0.7837348472758963,-0.037379676055395966,-0.4670690347919718,0.39230968268117994,803.0,0.526356762667504,,0.9857463687062569,False
FOXH1,38,46,0.026401441654666152,0.0076611583574120005,-0.03735306217191545,-0.467042367988291,0.3923362436444602,935.0,0.586642342395437,,0.9857463687062569,False
ARF3,38,46,-0.20667773093685526,-0.20977793756197105,-0.037352656153701584,-0.4670419611630248,0.39233664885562164,872.0,0.9892445493139013,,0.9993883606821546,False
TMEM218,38,46,0.0442126454463322,0.049501910535374796,-0.03734617877852305,-0.4670354709137946,0.39234311335674854,870.0,0.974907326027806,,0.9981194052189444,False
NOXRED1,38,46,0.0337581208905626,0.0407670551488151,-0.03724782201134254,-0.4669369189327677,0.3924412749100826,832.0,0.7091805883463913,,0.9857463687062569,False
TBXAS1,38,46,-0.02607398905452895,-0.0237905401210998,-0.037188719557069594,-0.4668776994223187,0.3925002603081795,882.0,0.9462618097357209,,0.9965456408463602,False
FRG2C,30,40,-0.19318136834047855,-0.2385691007948651,-0.03716981882084188,-0.5105861339803661,0.43624649633868234,603.0,0.9763306036207221,,0.9989556762864802,False
SIGLEC1,38,46,-0.0807658760036019,-0.08449604234551436,-0.03708730430038735,-0.4667760837393261,0.39260147513855137,854.0,0.8608873098827359,,0.9946243784476377,False
DEPDC7,38,46,0.09872020402236176,0.0851931479965568,-0.03708422484292629,-0.4667729982045138,0.3926045485186612,918.0,0.6958485101603995,,0.9857463687062569,False
NFE2,38,46,-0.10996699857282125,-0.15760134964375616,-0.03703942065361605,-0.4667281056505994,0.39264926434336733,859.0,0.8963210016859144,,0.9954742571217177,False
TRIM55,38,46,-0.007149304465834051,0.00844004400146,-0.03697909216839384,-0.466667658351868,0.39270947401508033,866.0,0.9462618097357209,,0.9965456408463602,False
NR1I3,38,46,-0.0302920797842505,-0.01171138437596125,-0.0369738624624535,-0.46666241835544103,0.39271469343053406,842.0,0.7771096101509991,,0.9888129732910563,False
SLC1A4,38,46,0.019277237976144,0.0195044074167875,-0.03696874016911609,-0.4666572859843834,0.39271980564615117,865.0,0.9391098240902357,,0.9965456408463602,False
C16orf92,38,46,-0.2244616201876546,-0.19248083053728982,-0.03692452192222501,-0.466612980799515,0.392763936955065,800.0,0.5089086626942756,,0.9853408088512099,False
STAG1,38,46,-0.12330512037106531,-0.0990960858820279,-0.036823252010777276,-0.4665115121721472,0.3928650081505926,899.0,0.825731500011341,,0.9915081716134303,False
NHS,38,46,-0.02888127317591445,-0.0006645175368905,-0.0368166959151945,-0.4665049432307344,0.3928715514003454,863.0,0.9248211505744677,,0.9965456408463602,False
CALML4,38,46,-0.051457293985008645,-0.0637791272046507,-0.0367858956860811,-0.4664740826831237,0.3929022913109615,857.0,0.8821186156411883,,0.9946716700454123,False
NFKBIE,38,46,-0.41645227201510354,-0.40329310386857153,-0.03672247206504384,-0.4664105350136295,0.3929655908835419,876.0,0.9892445493139013,,0.9993883606821546,False
PARP15,38,46,-0.0199137533105751,-0.02168297912717185,-0.03671578251837885,-0.46640383239554795,0.3929722673587902,882.0,0.9462618097357209,,0.9965456408463602,False
CEBPD,38,46,-0.1449729366676211,-0.12899990935681604,-0.03670107516340964,-0.46638909631068565,0.39298694598386635,846.0,0.8047998351903228,,0.9900429366628484,False
KCNJ14,38,46,-0.07082135478919305,-0.10469257188177644,-0.03662769408727481,-0.4663155720611955,0.39306018388664593,919.0,0.6892172496996016,,0.9857463687062569,False
ADIPOR1,38,46,0.05971285903112885,0.024987683047995847,-0.03653516389708893,-0.4662228617443437,0.3931525339501658,903.0,0.7978527999750329,,0.9900429366628484,False
OTUD3,38,46,-0.01691596517052655,-0.046920384086977254,-0.03651714666639935,-0.46620480949285925,0.3931705161600605,891.0,0.8821186156411883,,0.9946716700454123,False
HOXD10,38,46,-0.1641193101214973,-0.1478658144980797,-0.036384600116589866,-0.46607200583805586,0.3933028056048762,797.0,0.4917685198107986,,0.9826734242756632,False
PTMA,38,46,-0.5334609633984733,-0.5315741205622534,-0.03633505743232773,-0.4660223672941774,0.39335225242952193,857.0,0.8821186156411883,,0.9946716700454123,False
HDDC3,38,46,-0.057074615019142,-0.0352699521894862,-0.03632314823917771,-0.4660104350775246,0.3933641385991692,785.0,0.4264148018374003,,0.975661987766745,False
ZNF408,38,46,-0.0282614159852151,-0.009717055257276449,-0.03628891688509899,-0.4659761375875409,0.3933983038173429,827.0,0.6760265450468208,,0.9857463687062569,False
BCKDK,38,46,0.03011530679318255,0.04173105305711195,-0.03628658102520811,-0.4659737972169776,0.39340063516656143,831.0,0.7025031087711013,,0.9857463687062569,False
CEP78,38,46,-0.136288999599123,-0.12645757131055854,-0.036276812372153286,-0.46596400970326873,0.39341038495896213,847.0,0.8117623169927566,,0.9902078679925312,False
PRM1,38,46,0.0742524258221045,0.066824509002558,-0.03626413472470106,-0.46595130758624326,0.3934230381368411,804.0,0.5322399731411547,,0.9857463687062569,False
KRTAP24-1,38,46,0.02930692340567155,0.0471082994902707,-0.03624986309679095,-0.46593700842239405,0.39343728222881214,852.0,0.846787781256232,,0.9933109842800927,False
GABRQ,38,46,0.05418157016529055,0.0605253054431805,-0.03622505360375037,-0.4659121510872592,0.3934620438797584,840.0,0.763367581468281,,0.9880851875628202,False
MPC1,38,46,0.21826651705478045,0.2226636801612109,-0.03622490753138,-0.465912004733303,0.39346218967054297,862.0,0.9176856082575561,,0.9965456408463602,False
BTNL9,38,46,0.079283093493482,0.0690368905456803,-0.03620753439296472,-0.4658945981125312,0.3934795293266018,898.0,0.832737132310658,,0.9933109842800927,False
FBXO40,38,46,-0.00957920476780555,-0.0160101797959298,-0.03618325959415934,-0.46587027655704993,0.3935037573687312,860.0,0.9034349656283535,,0.9956052098016106,False
CNPPD1,38,46,0.08178424049937726,0.1028115928362224,-0.0361385762208311,-0.4658255071992335,0.3935483547575713,839.0,0.7565241254375392,,0.9880851875628202,False
GNG5,30,40,-0.22448419632078426,-0.23842862922624142,-0.03610033381283093,-0.5095143780736178,0.4373137104479559,616.0,0.8540517720041214,,0.994222055690833,False
GSPT2,38,46,-0.007649554137654249,-0.034253255618661896,-0.03609741778764687,-0.4657842696586172,0.3935894340833235,884.0,0.93196274655678,,0.9965456408463602,False
IL19,38,46,0.0774836523335497,0.0743250650439397,-0.0360836184448939,-0.4657704438133932,0.39360320692360545,807.0,0.550087116666858,,0.9857463687062569,False
ZNF630,38,46,0.13794509232281166,0.15693523412300708,-0.036064989848015754,-0.46575177945524066,0.39362179975920913,838.0,0.7496997111908541,,0.9880851875628202,False
NXT2,38,46,0.0229063669568123,0.021928451824091748,-0.03605423230474162,-0.4657410012691454,0.39363253665966214,856.0,0.8750313182795834,,0.9946716700454123,False
ADAM19,38,46,0.14924335746303008,0.13618037217103623,-0.03600088627831702,-0.4656875529671556,0.3936857804105215,913.0,0.7293456624631036,,0.9857463687062569,False
IDE,38,46,-0.1367902817324784,-0.14150918413131253,-0.035986406451264115,-0.4656730454053526,0.3937002325028244,881.0,0.9534181288672863,,0.9965456408463602,False
AMT,38,46,0.0874999131493058,0.09516465249563655,-0.03598559657857793,-0.46567223398176066,0.39370104082460483,877.0,0.9820752139634195,,0.9989556762864802,False
KRTAP23-1,38,46,-0.13428868225871565,-0.13204406736994218,-0.03592030364200581,-0.46560681612407434,0.3937662088400627,835.0,0.7293456624631036,,0.9857463687062569,False
HFE,38,46,0.0374515361932515,0.024547111105857847,-0.03587718273046867,-0.4655636128362152,0.39380924737527784,865.0,0.9391098240902357,,0.9965456408463602,False
STK35,38,46,-0.03631327484528555,-0.032212319027688154,-0.03586573447746264,-0.4655521427295821,0.3938206737746568,825.0,0.6629345433579346,,0.9857463687062569,False
DEFB118,38,46,-0.0471664263484538,-0.07891575829338751,-0.03585370154929349,-0.4655400868392132,0.3938326837406263,945.0,0.526356762667504,,0.9857463687062569,False
ALKBH2,38,46,0.0385867751258827,0.0352406979647547,-0.03582201823825478,-0.46550834310438405,0.3938643066278745,858.0,0.8892153638767697,,0.9952884325639424,False
BLOC1S2,38,46,-0.03502228185366995,-0.0300440067431235,-0.0358074014404276,-0.465493698448613,0.3938788955677578,831.0,0.7025031087711013,,0.9857463687062569,False
AHSA1,38,46,-0.10751299703919465,-0.0734031619895131,-0.03580654566942783,-0.46549284104696387,0.39387974970810824,856.0,0.8750313182795834,,0.9946716700454123,False
CLUL1,38,46,0.0675456734444721,0.0826395589241748,-0.03580401537237581,-0.4654903059287247,0.39388227518397306,854.0,0.8608873098827359,,0.9946243784476377,False
TRMT44,38,46,0.06347109143619335,0.07343737325729205,-0.03580399338437851,-0.46549028389883335,0.39388229713007633,859.0,0.8963210016859144,,0.9954742571217177,False
CHGB,38,46,-0.03856291276841955,-0.0098596239446814,-0.03578027615972343,-0.46546652150035006,0.39390596918090326,841.0,0.7702295781894377,,0.9888129732910563,False
TTC13,38,46,-0.043774276213134,-0.0472454874341433,-0.03577909864610103,-0.46546534174471577,0.39390714445251374,853.0,0.8538317095553742,,0.994222055690833,False
KCNT2,38,46,0.00094182075615005,0.0060748161236087,-0.03576120879953144,-0.46544741784455707,0.3939250002454942,851.0,0.8397560736083229,,0.9933109842800927,False
KCNK18,38,46,0.0044348683600137,-0.0051527645890455,-0.03573844315544982,-0.4654246088903561,0.3939477225794564,836.0,0.7361099899883563,,0.9872242505969496,False
GSDMC,38,46,-0.043211647211248996,-0.05515604639402735,-0.03570187911154915,-0.4653879753435123,0.393984217120414,882.0,0.9462618097357209,,0.9965456408463602,False
AOAH,38,46,0.10813928376103335,0.11687208200676566,-0.035671700752328825,-0.465357739673193,0.3940143381685353,881.0,0.9534181288672863,,0.9965456408463602,False
TMEM176A,38,46,0.0122005173558034,0.0045491559607830495,-0.035645115193556294,-0.4653311036664819,0.3940408732793693,886.0,0.9176856082575561,,0.9965456408463602,False
TAS1R2,38,46,-0.0603856474639479,-0.086266636817138,-0.03560049895333511,-0.46528640284836814,0.3940854049416979,916.0,0.7091805883463913,,0.9857463687062569,False
ZNF780A,38,46,0.11954573203567234,0.12856409071643998,-0.03551509050634208,-0.46520083279015134,0.39417065177746724,846.0,0.8047998351903228,,0.9900429366628484,False
PDCL3,38,46,-0.26420665515957903,-0.2751427789409787,-0.03550880474816043,-0.4651945351532913,0.39417692565697043,933.0,0.5990728286820437,,0.9857463687062569,False
FREM2,38,46,-0.01527827858206385,-0.00975614565633025,-0.035496418144853235,-0.4651821251482247,0.3941892888585183,848.0,0.8187397161818788,,0.9902078679925312,False
GJB4,38,46,-0.06019957868314835,-0.037023443407172354,-0.03546281834427513,-0.4651484619093281,0.3942228252207779,809.0,0.5621467782269598,,0.9857463687062569,False
SCAI,38,46,0.04166977371926015,0.04724433041435435,-0.035412504552692604,-0.4650980532347897,0.39427304412940445,881.0,0.9534181288672863,,0.9965456408463602,False
HCK,38,46,-0.059737563137933894,-0.0476777386669876,-0.035290674039257654,-0.4649759935283881,0.39439464544987274,850.0,0.832737132310658,,0.9933109842800927,False
GFOD1,38,46,0.09909714443038875,0.09465803342476685,-0.035266839924142465,-0.46495211466784003,0.3944184348195551,926.0,0.6434891489981304,,0.9857463687062569,False
CMYA5,38,46,0.0041840972194125,-0.0019534885283465997,-0.03525909916825819,-0.46494435938620154,0.39442616104968514,897.0,0.8397560736083229,,0.9933109842800927,False
PIAS1,38,46,-0.18225313092257905,-0.2111169579393996,-0.03515948751237985,-0.46484456109063216,0.39452558606587246,922.0,0.6694679880346807,,0.9857463687062569,False
HSP90AA1,38,46,-0.24428578189252803,-0.2112315612316772,-0.03514049870265531,-0.4648255367619969,0.3945445393566863,870.0,0.974907326027806,,0.9981194052189444,False
LRP1,38,46,-0.13953560296003786,-0.1317613940840174,-0.03500378508475415,-0.46468856798511216,0.39468099781560384,840.0,0.763367581468281,,0.9880851875628202,False
LGALS14,38,46,-0.07929598689567424,-0.1081747272452651,-0.03500158864315712,-0.4646863674522467,0.39468319016593245,904.0,0.7909217368810977,,0.9900429366628484,False
FAM43B,38,46,0.02215464274128605,0.03768737470739385,-0.034964727353288684,-0.4646494375398831,0.39471998283330567,867.0,0.9534181288672863,,0.9965456408463602,False
CACNG5,38,46,0.019855874855515147,0.0116012734161725,-0.034926629237277705,-0.4646112685748255,0.3947580101002701,859.0,0.8963210016859144,,0.9954742571217177,False
LCE4A,38,46,-0.11874422505315205,-0.11691431342771455,-0.03492056812367833,-0.46460519619681506,0.3947640599494584,798.0,0.4974472518069374,,0.9826734242756632,False
NAT14,38,46,0.0008568032224237502,0.0018495747454802,-0.03490285666046735,-0.46458745182854366,0.394781738507609,852.0,0.846787781256232,,0.9933109842800927,False
SUGP2,38,46,-0.30293930981932765,-0.2809573402056276,-0.03488222172701336,-0.46456677857974094,0.39480233512571417,862.0,0.9176856082575561,,0.9965456408463602,False
UBE2L3,38,46,-1.4398553800044667,-1.313251742657099,-0.03482357162154693,-0.46450801969531846,0.3948608764522246,802.0,0.5205069552075445,,0.9857463687062569,False
RAP1GDS1,38,46,0.0180568639358837,0.05081252762668935,-0.03478103129497626,-0.4644654005832853,0.3949033379933327,796.0,0.4861247654008122,,0.9826734242756632,False
OR4D1,30,40,-0.2222069609136057,-0.208109566774792,-0.03478091930385446,-0.5081922533049958,0.43863041469728686,590.0,0.9102333124853466,,0.9965327156381519,False
RASL12,38,46,-0.08514529898874676,-0.0794087409428178,-0.03477900247528624,-0.46446336800858967,0.39490536305801716,819.0,0.6242848746271641,,0.9857463687062569,False
SUMF1,38,46,0.10313216072806305,0.08784800851825925,-0.03476454430648998,-0.46444888308648513,0.3949197944735051,886.0,0.9176856082575561,,0.9965456408463602,False
