gene,n_kinase,n_helical,median_kinase,median_helical,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,pathway,fdr,significant
PCDH17,7,8,0.0461158953497602,0.08536910106496655,-0.4692040361608021,-1.497383203558886,0.5589751312372819,19.0,0.33566433566433573,,0.9600356228431484,False
APOA1,7,8,0.0130711420352193,0.00191977306919225,-0.46908454802645444,-1.4972567340840646,0.5590876380311556,24.0,0.6943278943278944,,0.9926685333392127,False
ERVFRD-1,7,8,-0.0178795552615593,0.0351144737043796,-0.46896935575751747,-1.4971348131079443,0.5591961015929094,22.0,0.5358197358197359,,0.9795093156244236,False
PSMB10,7,8,-0.0872335077584549,-0.0771852784075171,-0.4689448900595224,-1.497108918506228,0.5592191383871834,24.0,0.6943278943278944,,0.9926685333392127,False
SDAD1,7,8,-0.8609253507062584,-0.8221415467268067,-0.4689007875635295,-1.4970622404149556,0.5592606652878965,23.0,0.6125874125874127,,0.9874120804433447,False
BRAP,7,8,-0.3974077730154467,-0.22730895678178142,-0.468827117138646,-1.4969842681472627,0.5593300338699707,23.0,0.6125874125874127,,0.9874120804433447,False
GTF3A,7,8,-1.4448210469577067,-1.1869839966432636,-0.4688259318003158,-1.496983013598758,0.5593311499981264,19.0,0.33566433566433573,,0.9600356228431484,False
SNTG1,7,8,0.0099783694564089,0.06243765257428115,-0.4688140408114027,-1.496970428321788,0.5593423466989824,17.0,0.23185703185703188,,0.9495834735530798,False
SBK2,7,8,-0.0314842839461674,-0.011092011248282251,-0.46868579133588323,-1.4968346917376893,0.5594631090659228,20.0,0.39689199689199695,,0.9686495538855584,False
ESD,7,8,-0.0225778064432156,0.05507580239946095,-0.4685908225122591,-1.496734179990034,0.5595525349655159,19.0,0.33566433566433573,,0.9600356228431484,False
TDRD6,7,8,-0.0147693585967768,0.0399418230618368,-0.46830191620031114,-1.4964284181749434,0.559824585774321,20.0,0.39689199689199695,,0.9686495538855584,False
PM20D1,7,8,-0.112292927346008,-0.0976515053560809,-0.468279558521027,-1.496404756515635,0.5598456394735812,21.0,0.46340326340326343,,0.9723432636727435,False
CSN2,7,8,-0.0870161245417715,0.07373646649566329,-0.4682629672400686,-1.4963871976108527,0.5598612631307154,12.0,0.0721056721056721,,0.9436619400543729,False
UBQLNL,7,8,0.0517376946242344,0.11475548122683785,-0.46821765162277934,-1.4963392393013237,0.5599039360557649,20.0,0.39689199689199695,,0.9686495538855584,False
MYOD1,7,8,-0.0240977929618649,0.07594835569295835,-0.4679439446034065,-1.4960495756737986,0.5601616864669855,17.0,0.23185703185703188,,0.9495834735530798,False
SLC5A3,7,8,-0.1011064596400071,-0.1344964340814507,-0.46788740029828146,-1.4959897360732999,0.5602149354767368,32.0,0.6943278943278944,,0.9926685333392127,False
EIF3L,7,8,-0.4170901831081445,-0.36385912042508,-0.4677860621408543,-1.4958824930892733,0.5603103688075648,17.0,0.23185703185703188,,0.9495834735530798,False
CMPK1,7,8,-1.1998293155803952,-1.0772012020542674,-0.46775248757165666,-1.49584696245351,0.5603419873101966,19.0,0.33566433566433573,,0.9600356228431484,False
FAH,7,8,-0.065030266785929,-0.02649059209317715,-0.46761933968128877,-1.4957060586645965,0.5604673793020188,22.0,0.5358197358197359,,0.9795093156244236,False
SEC61G,7,8,-1.0490910348154838,-0.9054643072661016,-0.4675781233901598,-1.4956624419496967,0.5605061951693772,19.0,0.33566433566433573,,0.9600356228431484,False
TMEM200B,7,8,-0.0972131467434998,-0.05838583144382995,-0.46753385350452487,-1.4956155940293487,0.5605478870202991,17.0,0.23185703185703188,,0.9495834735530798,False
PSPH,7,8,-0.2137366802784779,-0.12836234096263344,-0.4674469707024904,-1.495523652341499,0.5606297109365181,20.0,0.39689199689199695,,0.9686495538855584,False
OR9K2,5,7,-0.0424181201383789,-0.0132184152350057,-0.4670940924715872,-1.6298464994649604,0.6956583145217861,10.0,0.26767676767676774,,0.9529934088286491,False
INHA,7,8,0.0677719350406819,0.09771045709832195,-0.46699661326971686,-1.4950470868182264,0.5610538602787928,22.0,0.5358197358197359,,0.9795093156244236,False
MX2,7,8,0.0407839415870784,0.0664807806978123,-0.4667694364496143,-1.4948066990076165,0.5612678261083881,19.0,0.33566433566433573,,0.9600356228431484,False
EYA2,7,8,-0.0025120782769324,0.0627139807628457,-0.4664679185838459,-1.4944876566698708,0.5615518195021791,16.0,0.1892773892773893,,0.9495834735530798,False
PLA2G6,7,8,-0.149773300899873,-0.04196163270642695,-0.4663684505362259,-1.4943824098741656,0.5616455088017139,11.0,0.054079254079254076,,0.9436619400543729,False
MOSPD3,7,8,0.0076855507198695,0.052512686832394746,-0.4663527765838734,-1.4943658254290573,0.5616602722613103,19.0,0.33566433566433573,,0.9600356228431484,False
XAGE3,7,8,-0.2863159638318294,-0.2165034666009114,-0.46634644978484735,-1.4943591311175966,0.561666231547902,18.0,0.280963480963481,,0.9529934088286491,False
SSUH2,7,8,0.028249599371789,0.10368986636353394,-0.4660921182658179,-1.4940900299557272,0.5619057934240912,20.0,0.39689199689199695,,0.9686495538855584,False
TCF20,7,8,-0.0266291474867246,-0.06289058587495885,-0.4658757531394268,-1.4938611061620317,0.562109599883178,23.0,0.6125874125874127,,0.9874120804433447,False
CACNA2D3,7,8,0.0603169755599129,0.07174998229878825,-0.4658124021079892,-1.4937940790667463,0.5621692748507678,21.0,0.46340326340326343,,0.9723432636727435,False
MYL11,7,8,-0.0855815382823258,0.0090925841777749,-0.4655559567576413,-1.4935227579616694,0.5624108444463869,20.0,0.39689199689199695,,0.9686495538855584,False
MTERF2,7,8,-0.0879975080211511,-0.04883413059807705,-0.46545584653179856,-1.4934168427562395,0.5625051496926423,20.0,0.39689199689199695,,0.9686495538855584,False
CCDC125,7,8,-0.1206718406477529,-0.09056664743680204,-0.46541399353443513,-1.493372563236317,0.5625445761674469,21.0,0.46340326340326343,,0.9723432636727435,False
DGLUCY,7,8,-0.0065748245347133,0.01556070679570515,-0.46536379219157464,-1.4933194516368813,0.5625918672537321,22.0,0.5358197358197359,,0.9795093156244236,False
SAPCD2,7,8,-0.105611514316609,-0.03250967458065045,-0.4649785172654045,-1.4929118518486821,0.5629548173178732,24.0,0.6943278943278944,,0.9926685333392127,False
CEP57,7,8,-0.2280265785190154,-0.13341357315294194,-0.4647980110408832,-1.492720892335315,0.5631248702535487,21.0,0.46340326340326343,,0.9723432636727435,False
LUC7L,7,8,-0.0423251816232617,0.00045097995022719967,-0.464715209562309,-1.49263329706598,0.5632028779413618,20.0,0.39689199689199695,,0.9686495538855584,False
DEFB121,7,8,-0.0255023994214156,0.0202964888959783,-0.4646889202854961,-1.4926054859457067,0.5632276453747147,23.0,0.6125874125874127,,0.9874120804433447,False
KLHL1,7,8,-0.0024154664587741,0.05696229448584865,-0.4646554112785779,-1.4925700372784398,0.563259214721284,17.0,0.23185703185703188,,0.9495834735530798,False
GNL1,7,8,-0.1787430434504781,-0.1685761008876118,-0.46456705656854275,-1.4924765688315702,0.5633424556944848,24.0,0.6943278943278944,,0.9926685333392127,False
CYP3A43,7,8,-0.1981372246214161,-0.1070271087265577,-0.4645255232785901,-1.492432632031913,0.5633815854747328,18.0,0.280963480963481,,0.9529934088286491,False
ADD2,7,8,-0.0478770956185898,0.0387124494532369,-0.4644295708085691,-1.4923311276429798,0.5634719860258417,19.0,0.33566433566433573,,0.9600356228431484,False
RCN1,7,8,-0.279149639744004,-0.013864177958868702,-0.46442366771553834,-1.4923248830267521,0.5634775475956756,16.0,0.1892773892773893,,0.9495834735530798,False
BLCAP,7,8,-0.0487633944056064,0.0116519981410415,-0.4642592956543184,-1.4921510029246488,0.5636324116160121,14.0,0.1205905205905206,,0.9436619400543729,False
SIT1,7,8,-0.0308574796732434,-0.0481080707067733,-0.4642399247262004,-1.492130511708286,0.5636506622558852,23.0,0.6125874125874127,,0.9874120804433447,False
BIK,7,8,0.130272885062082,0.16142882119548863,-0.46420523124389923,-1.4920938118948404,0.5636833494070418,21.0,0.46340326340326343,,0.9723432636727435,False
FCN2,7,8,-0.1290149521935344,-0.06801671408528351,-0.46414338642993314,-1.4920283909448593,0.563741618084993,20.0,0.39689199689199695,,0.9686495538855584,False
TMEM205,7,8,-0.1602737865850515,-0.10426930691503115,-0.4641280463915159,-1.4920121639505535,0.5637560711675218,19.0,0.33566433566433573,,0.9600356228431484,False
SMARCA2,7,8,0.0335374702768902,0.09427763955392085,-0.46402533592067013,-1.4919035155301734,0.5638528436888333,21.0,0.46340326340326343,,0.9723432636727435,False
PRAF2,7,8,-0.0654181468036336,-0.01777380706649115,-0.4640021825157059,-1.491879023745666,0.5638746587142542,24.0,0.6943278943278944,,0.9926685333392127,False
SYNCRIP,7,8,-0.4173701655488094,-0.2829656131822702,-0.46376051258152534,-1.4916233879950196,0.5641023628319688,21.0,0.46340326340326343,,0.9723432636727435,False
KCNMB3,7,8,0.0553635311895053,0.056041272513391846,-0.46375983118230435,-1.4916226672285704,0.5641030048639617,22.0,0.5358197358197359,,0.9795093156244236,False
EML3,7,8,-0.075130966633683,-0.0059325305521869,-0.4633195933915192,-1.4911570068707207,0.5645178200876823,16.0,0.1892773892773893,,0.9495834735530798,False
MCRIP2,7,8,-0.1952230208666119,-0.1283968962846975,-0.46312581942132885,-1.4909520504201488,0.5647004115774912,23.0,0.6125874125874127,,0.9874120804433447,False
KLRC2,7,8,0.0128772217842637,0.0456735727690124,-0.4629418459718131,-1.4907574642838024,0.5648737723401762,23.0,0.6125874125874127,,0.9874120804433447,False
CNDP1,7,8,0.0509656889951969,0.0339562523995377,-0.4629173752307591,-1.4907315822338014,0.5648968317722831,25.0,0.778865578865579,,0.9926685333392127,False
DMRTA1,7,8,0.036909711266059,0.1066504025486035,-0.46282431569307103,-1.49063315630697,0.5649845249208277,17.0,0.23185703185703188,,0.9495834735530798,False
NTS,7,8,-0.0172055049399933,-0.002177008075170749,-0.4627621316812595,-1.4905673869657416,0.5650431236032225,20.0,0.39689199689199695,,0.9686495538855584,False
CCDC30,7,8,-0.1429540686352881,-0.1218341855744433,-0.4621377384508262,-1.489907019248891,0.5656315423472388,21.0,0.46340326340326343,,0.9723432636727435,False
HAT1,7,8,-0.0844505430687761,0.005521974631255498,-0.4620832609714178,-1.4898494052874884,0.5656828833446528,23.0,0.6125874125874127,,0.9874120804433447,False
TRAF3IP1,7,8,0.0704701993680074,0.09229984750454655,-0.46201117025625554,-1.4897731645810095,0.5657508240684985,20.0,0.39689199689199695,,0.9686495538855584,False
FAM162A,7,8,-0.2401026562235331,-0.14755312217940636,-0.4615568580268007,-1.4892927138180299,0.5661789977644286,17.0,0.23185703185703188,,0.9495834735530798,False
ZNF106,7,8,-0.0775323135074192,0.01363916995692365,-0.46143843559574055,-1.4891674821520022,0.566290610960521,20.0,0.39689199689199695,,0.9686495538855584,False
MLKL,7,8,-0.0190252420673819,-0.0165856709626997,-0.4612778554514541,-1.4889976714427542,0.5664419605398461,22.0,0.5358197358197359,,0.9795093156244236,False
NUDT21,7,8,-1.9511159408311127,-1.4813912854216382,-0.4612775290608593,-1.488997326293565,0.5664422681718464,22.0,0.5358197358197359,,0.9795093156244236,False
SNX21,7,8,-0.1494450368232914,-0.04256018260351514,-0.4612582066613544,-1.48897689340394,0.5664604800812312,20.0,0.39689199689199695,,0.9686495538855584,False
POU6F1,7,8,-0.1781265842045478,-0.12953867688059661,-0.46114526279525503,-1.4888574593744972,0.5665669337839871,21.0,0.46340326340326343,,0.9723432636727435,False
TSPAN2,7,8,-0.0173597744528672,0.02330570676052815,-0.46107514739776584,-1.4887833156714811,0.5666330208759494,22.0,0.5358197358197359,,0.9795093156244236,False
PLPP5,7,8,0.0244946958761085,0.0525303255596587,-0.4610527624459164,-1.4887596447736475,0.5666541198818147,24.0,0.6943278943278944,,0.9926685333392127,False
LIPJ,7,8,-0.0348820360867587,-0.0024865110526575995,-0.46100298811216556,-1.4887070112769487,0.5667010350526176,20.0,0.39689199689199695,,0.9686495538855584,False
TFPI2,7,8,-0.0178258093325315,0.0531898270202118,-0.4609908881996336,-1.4886942163604406,0.5667124399611734,18.0,0.280963480963481,,0.9529934088286491,False
PCBP2,7,8,-1.7287002581282862,-1.549743405982675,-0.46085590920991415,-1.4885514855498037,0.5668396671299755,22.0,0.5358197358197359,,0.9795093156244236,False
YY2,7,8,0.1046055659252608,0.1271344329915297,-0.4607411898274572,-1.4884301795909158,0.5669477999360015,19.0,0.33566433566433573,,0.9600356228431484,False
RPS21,7,8,-1.469103306328128,-1.2051769749430954,-0.4606636281295875,-1.4883481656183148,0.5670209093591398,26.0,0.8665112665112666,,1.0,False
RBM26,7,8,0.0317355668101045,0.0358520164394538,-0.46063318888266525,-1.4883159792666083,0.5670496015012779,21.0,0.46340326340326343,,0.9723432636727435,False
RASSF1,7,8,0.0336246311912232,0.0227660126080993,-0.46054165286551463,-1.4882191900845072,0.567135884353478,23.0,0.6125874125874127,,0.9874120804433447,False
RNASE1,7,8,-0.1326633728710345,-0.0510308257699819,-0.4604971296761602,-1.4881721121193625,0.5671778527670421,18.0,0.280963480963481,,0.9529934088286491,False
CABP4,7,8,-0.1533000305844201,-0.09023251262328866,-0.4603727257493785,-1.4880405710725442,0.5672951195737871,18.0,0.280963480963481,,0.9529934088286491,False
SPMIP7,7,8,0.0301963169664673,0.11601562885089886,-0.4602463361355347,-1.48790693234277,0.5674142600717007,22.0,0.5358197358197359,,0.9795093156244236,False
GOLGA4,7,8,-0.0939780693142703,-0.0765850500894429,-0.4600690346149261,-1.4877194649062997,0.5675813956764475,22.0,0.5358197358197359,,0.9795093156244236,False
TAAR6,7,8,0.0701267240777215,0.03997326094607645,-0.4600061008949343,-1.487652923680962,0.5676407218910933,23.0,0.6125874125874127,,0.9874120804433447,False
DHFR2,7,8,-0.6766669465331543,-0.4916147745469988,-0.4599618430334017,-1.4876061291451568,0.5676824430783532,19.0,0.33566433566433573,,0.9600356228431484,False
WFS1,7,8,0.1156147626546726,0.1447427264504014,-0.4599284706018702,-1.4875708441036326,0.5677139028998921,19.0,0.33566433566433573,,0.9600356228431484,False
ICOSLG,7,8,0.038758875015787,0.10239398076237555,-0.45988565512647495,-1.487525575025249,0.5677542647722991,23.0,0.6125874125874127,,0.9874120804433447,False
ZNF879,7,8,-0.0005497986347493,0.10082940317389666,-0.45977445845924486,-1.4874080071111473,0.5678590901926575,20.0,0.39689199689199695,,0.9686495538855584,False
TMOD3,7,8,-0.1102087687793171,-0.023482526617339503,-0.4597617783535159,-1.4873946005674512,0.5678710438604193,18.0,0.280963480963481,,0.9529934088286491,False
