gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
GARNL3,17,32,0.0476865897597032,0.049301764181534646,-0.2083308260513623,-0.7980044980785079,0.3813428459757833,240.0,0.5082068764208796,0.9905062501198687,False
OTUD6A,17,32,0.0373943367518255,0.0721542290021557,-0.20820846269759197,-0.7978804406352803,0.38146351524009636,224.0,0.31842506670681625,0.9737779954381443,False
PGR,17,32,0.016791486857136,0.06096190995891005,-0.20816294466806923,-0.7978342926729836,0.38150840333684516,242.0,0.535505403493612,0.9920536790838592,False
OGFOD1,17,32,-0.1195917168399958,-0.1577131070692015,-0.2080922266482237,-0.7977625962447247,0.3815781429482773,270.0,0.9748657664594151,0.9993677267241452,False
DHCR24,17,32,-0.0353481583587017,0.0045641027088733,-0.20804324442055686,-0.7977129365248203,0.38162644768370657,205.0,0.16247992370342768,0.9693039211344543,False
EPHA6,17,32,0.0515959171387731,0.0636435123186909,-0.20803624224724096,-0.7977058375146885,0.3816333530202066,251.0,0.6667693310618621,0.9936702855111577,False
CFAP107,17,32,-0.0109839690784789,0.0050439759641540995,-0.20802837777179498,-0.7976978642810544,0.3816411087374645,209.0,0.18926296331502546,0.9693039211344543,False
PIGR,17,32,0.0060275818871967,0.05540400661346985,-0.20800701365445667,-0.7976762047390211,0.3816621774301077,240.0,0.5082068764208796,0.9905062501198687,False
ITPRIP,17,32,-0.0329338840782215,-0.04281585556278235,-0.20794650299585196,-0.797614857498136,0.3817218515064321,248.0,0.6215895981544342,0.9920536790838592,False
OR52M1,14,30,-0.06366759146312086,-0.03296896215132515,-0.20793631947135613,-0.8438026479780621,0.42793000903534983,174.0,0.3710459160548357,0.9785758530663999,False
UGT2B7,17,32,0.0391548128159676,0.059307201492630704,-0.20792663831104277,-0.7975947182295072,0.38174144160742174,242.0,0.535505403493612,0.9920536790838592,False
SLC5A7,17,32,-0.0473368261835587,-0.03285252150338215,-0.20791431063725124,-0.797582220166956,0.3817535988924536,238.0,0.48165653208910153,0.987941349449746,False
ALDH1B1,17,32,-0.1093968424319686,-0.04944832097401025,-0.20788094354535133,-0.7975483919373102,0.3817865048466075,233.0,0.41870973623358676,0.9788636610696798,False
CYP2C18,17,32,-0.1256783300499334,-0.09888844926235775,-0.207715293461543,-0.7973804536372493,0.38194986671416326,203.0,0.1502106578963734,0.9693039211344543,False
DDR2,17,32,-0.0491012062855924,-0.0448604654039958,-0.20748027557105264,-0.7971421924292229,0.3821816412871176,260.0,0.8091301752228867,0.9952994216220556,False
TNC,17,32,-0.0310485501696763,-0.0099486609451441,-0.20745056542849832,-0.7971120725379222,0.38221094168092545,236.0,0.4558793872641784,0.985933336513567,False
ELP2,17,32,-0.4406046795967215,-0.47049383315903337,-0.20744128685901253,-0.7971026660146004,0.3822200922965754,264.0,0.8748259769492439,0.9958737056127016,False
LRRC30,17,32,0.0416546045986298,0.075606606138087,-0.20733840067578652,-0.7969983613864233,0.38232156003485035,229.0,0.3720293385704435,0.9785758530663999,False
