gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
RASL11A,9,89,-0.089179520060878,-0.070246662799674,-0.09537857264833795,-0.7810676512949963,0.5903105059983205,388.0,0.8826445984114557,0.993827334010412,False
CEP57,9,89,-0.008019623542035,-0.0642101627084267,-0.09534508010000517,-0.7810340674540459,0.5903439072540355,426.0,0.7584349865387029,0.9876709353512038,False
THAP7,9,89,-0.1107082271674552,-0.1375260482772801,-0.09527962460946494,-0.7809684336401357,0.5904091844212058,359.0,0.6140084308995155,0.9738002100176201,False
SCML4,9,89,-0.0189985545084643,-0.0210828951991032,-0.09527558506054166,-0.7809643830900961,0.5904132129690127,369.0,0.7029470027687048,0.9830402984437409,False
MCMBP,9,89,-0.5503765195100985,-0.5705161636123415,-0.09526214840015751,-0.780950909840302,0.5904266130399869,396.0,0.9607552474264456,0.997989939844954,False
BZW1,9,89,-0.0156769110530993,0.0082566083690409,-0.09515296799801784,-0.7808414323199386,0.5905354963239029,345.0,0.49867217408896247,0.9646877498747638,False
OR2A14,7,82,-0.1163057699177713,-0.11856570630627275,-0.09515146332604478,-0.8670467168882046,0.6767437902361151,274.0,0.8521286008878669,0.9919619923002747,False
PNMA5,9,89,0.0712097501825271,0.0612779166974291,-0.09511479651035128,-0.7808031570346016,0.590573564013899,390.0,0.9020955122238913,0.9949051506736636,False
AKT3,9,89,0.1814041263352045,0.1890032352728,-0.09507729464489345,-0.7807655532328839,0.590610963943097,364.0,0.6578723028511468,0.9797957278781688,False
BAHD1,9,89,-0.1690105565795129,-0.1438961006884034,-0.09506022910052263,-0.7807484413148507,0.5906279831138055,368.0,0.6938418099939595,0.9828009712458874,False
AMPH,9,89,-0.0170460498759035,0.0196237968831535,-0.09502303075821887,-0.7807111419191488,0.5906650804027112,356.0,0.5883253712461218,0.9725511414966544,False
DAPK3,9,89,0.0039478418382362,0.0182269654076693,-0.09501023824952724,-0.7806983146673333,0.5906778381682788,370.0,0.7120950087684912,0.9840489123101998,False
AIG1,9,89,0.0008165304233066,-0.0110055980752157,-0.0949824850163507,-0.780670486075336,0.5907055160426347,386.0,0.8632641952164612,0.992446642586803,False
BORCS6,9,89,0.0168087722286079,0.0281351597747426,-0.09495522430306347,-0.780643151362001,0.5907327027558741,380.0,0.8056595809967255,0.9881853715611386,False
OTC,9,89,0.0186435536912035,0.0381608118200729,-0.09460418869250702,-0.7802911647516046,0.5910827873665907,391.0,0.9118438038130047,0.9949051506736636,False
NUP42,9,89,-0.0532378899523482,-0.0089666442322815,-0.0944840096712618,-0.7801706609592388,0.5912026416167152,345.0,0.49867217408896247,0.9646877498747638,False
ENO2,9,89,-0.0465981629712827,-0.0420221125795242,-0.09446959450066807,-0.7801562068608863,0.5912170178595502,398.0,0.9803716852617672,0.9994376036805778,False
ZDHHC2,9,89,-0.0266250026694113,0.0062710222609846,-0.09445193179516526,-0.7801384964658435,0.5912346328755129,369.0,0.7029470027687048,0.9830402984437409,False
PPP1R16B,9,89,-0.0800824376700608,-0.0649254878831268,-0.09435874168813264,-0.7800450548918654,0.5913275715156001,377.0,0.7772276983390652,0.9876709353512038,False
LGI4,9,89,0.0181444806684156,0.0137532497567031,-0.09432771137245745,-0.7800139408981356,0.5913585181532207,398.0,0.9803716852617672,0.9994376036805778,False
TMEM170A,9,89,0.0399225735500476,0.0244052275757799,-0.09428997429424836,-0.7799761020931217,0.591396153504625,373.0,0.739783922333016,0.9876709353512038,False
TTC28,9,89,-0.0335732385602381,-0.0594008422094371,-0.09427183045107135,-0.7799579093545702,0.5914142484524275,418.0,0.8343507585588422,0.990515323869081,False
HOOK1,9,89,-0.0747813938997429,-0.0417429629990681,-0.09426553508158049,-0.7799515970220487,0.5914205268588877,353.0,0.5631501845922312,0.9698276949599787,False
MIA3,9,89,0.015215991974748,0.0584353519153515,-0.09425776045616076,-0.779943801449269,0.5914282805369475,338.0,0.44564787150403107,0.9609081269767654,False
ASCC1,9,89,-0.1506203380464191,-0.1503244716267845,-0.09425404939265558,-0.7799400803875651,0.591431981602254,390.0,0.9020955122238913,0.9949051506736636,False
ANP32A,9,89,-0.1241412819861768,-0.1039322822691961,-0.09422602461127233,-0.7799119801156451,0.5914599308931003,342.0,0.47554577911794393,0.9646018993590793,False
