gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
DOP1B,6,65,0.0383085734599128,0.0717818233766545,0.531947332132975,-0.30888410264971766,1.3727787669156677,206.0,0.8323990171164373,0.9867401305273895,False
MED31,6,65,-1.006448559941822,-1.0549964601290427,0.5319678072695673,-0.3088639779441984,1.372799592483333,244.0,0.3246164567872731,0.9374295016103976,False
LACTB,6,65,-0.1326619959005778,-0.1830342902277728,0.5320630498153103,-0.30877036564586324,1.372896465276484,259.0,0.19444307106210124,0.9163657821702523,False
EZR,6,65,0.07536992623791011,0.0164749400449968,0.5321186470080541,-0.3087157202324783,1.3729530142485866,237.0,0.40036739818297434,0.9537817498101234,False
EAF1,6,65,-0.48564201132494256,-0.6637998443916278,0.5321801409719935,-0.3086552791104681,1.373015561054455,263.0,0.16698475877491648,0.89754938639186,False
TUBB4B,6,65,-0.19443164674880242,-0.2467022209301274,0.5324120511759529,-0.3084273405380664,1.3732514428899723,236.0,0.41195182491116283,0.9571489428961388,False
PDCD2L,6,65,0.00662293322946945,-0.0566707305192698,0.5329489724056403,-0.3078996210449585,1.3737975658562391,269.0,0.13114856360642488,0.891329137296092,False
MAP3K12,6,65,-0.038998910772669454,-0.100840072857459,0.5330625541109295,-0.30778798707446287,1.3739130952963219,274.0,0.10587977926029213,0.8763042130868105,False
USP48,6,65,0.09166154653265371,0.0472441314501616,0.5331089386403487,-0.3077423980796007,1.373960275360298,258.0,0.20177148424281338,0.9187679515470248,False
CCDC102B,6,65,0.0826439154248725,0.0653065157689667,0.5331901541860855,-0.30766257561518795,1.374042883987359,248.0,0.2856098302991212,0.9290234410860012,False
H2AC15,6,65,-1.0461041859750124,-1.1287307961298998,0.5334664153894914,-0.30739105466117433,1.3743238854401572,271.0,0.12055959139890371,0.8912189911142565,False
ERH,6,65,-1.8904903314075052,-2.140047988252899,0.533493888027663,-0.3073640535471751,1.374351829602501,262.0,0.17357507155876717,0.9050736507605491,False
SUPT20H,6,65,0.1082154937149821,0.0097248242291339,0.5336964647427754,-0.3071649544809216,1.3745578839664725,222.0,0.5925668423363301,0.9761409519120094,False
HLF,6,65,-0.02652866399976425,-0.0824237409908972,0.5336986673643079,-0.307162789679126,1.374560124407742,253.0,0.24126567174233643,0.9266143894643047,False
RNF135,6,65,-0.1509351013711788,-0.1345594843012734,0.5338570699310405,-0.307007107341398,1.374721247203479,210.0,0.7700301410429493,0.9851644431441445,False
CDKN2AIPNL,6,65,-0.06584917227081985,-0.1596788773798924,0.533887379915537,-0.30697731795777616,1.3747520777888502,230.0,0.48528990207507317,0.9619264681051212,False
SCIN,6,65,0.0223044378176349,-0.0017535268781684,0.5341120775315636,-0.3067564806343297,1.374980635697457,256.0,0.21699461815118543,0.9206742076424104,False
OARD1,6,65,-0.011046766101737649,-0.0715596922525966,0.5341890391552869,-0.30668084157641506,1.375058919886989,234.0,0.4356760795402571,0.9575104571241781,False
TYSND1,6,65,0.0070152058790783,-0.0237623400576752,0.5343312030360456,-0.3065411212412025,1.3752035273132939,229.0,0.4981296929746032,0.9653230245419799,False
DQX1,6,65,-0.006885338503114799,-0.104503021790906,0.5343552317561623,-0.30651750559580115,1.3752279691081257,260.0,0.18730246815926987,0.9124518484472128,False
PIGX,6,65,-0.13061027097175676,-0.1186141736840105,0.53451737297591,-0.30635815220569884,1.3753928981575188,230.0,0.48528990207507317,0.9619264681051212,False
ITGB3BP,6,65,0.1507937942295648,0.0535856104885636,0.5345226673457898,-0.3063529488804536,1.375398283572033,265.0,0.15434248356951583,0.89754938639186,False
APIP,6,65,-0.0917559423896003,-0.109204133106719,0.5348276079604156,-0.3060532536824161,1.3757084696032473,212.0,0.7393438212761145,0.984525293275033,False
CSH2,5,54,-0.4605433825754081,-0.5257042415035318,0.5350601927923092,-0.3862160776830422,1.4563364632676605,162.0,0.482255263577359,0.9619264681051212,False
ARFIP2,6,65,0.1450154775828764,0.0337115264669597,0.5351875126308456,-0.3056995436961889,1.3760745689578802,270.0,0.1257724472714685,0.891329137296092,False
WDR90,6,65,0.02160233537160695,-0.047447364457793,0.5351952305498768,-0.3056919586632275,1.376082419762981,258.0,0.20177148424281338,0.9187679515470248,False
SCGB1A1,6,65,-0.0270719476452034,-0.0491353700317592,0.5351969584290696,-0.30569026053468096,1.37608417739282,238.0,0.3889716196103284,0.9487450941290868,False
RDX,6,65,-0.0150796533991134,-0.0650162221450361,0.53520168389485,-0.30568561643251657,1.3760889842222166,238.0,0.3889716196103284,0.9487450941290868,False
CSMD1,6,65,0.08869709937445334,0.0009857902629613,0.5353009487705847,-0.3055880608751127,1.376189958416282,275.0,0.10129637898111549,0.8733191452050993,False
SPA17,6,65,0.08773582241247416,0.0859617124526349,0.535377652457613,-0.30551267822266936,1.3762679831378954,239.0,0.37776441937008653,0.9443314072967476,False
RHOD,6,65,-0.0476461567025792,-0.1369655798590132,0.5356343788905669,-0.305260374640396,1.3765291324215299,256.0,0.21699461815118543,0.9206742076424104,False
ANGEL2,6,65,-0.04451159012978365,-0.0724860461717508,0.5356851225746215,-0.30521050541036054,1.3765807505596035,256.0,0.21699461815118543,0.9206742076424104,False
FAM114A2,6,65,0.0752770133424282,-0.0011786349059652,0.5358932683740132,-0.3050059473960448,1.376792484144071,266.0,0.14828635968891252,0.89754938639186,False
LAMP1,6,65,0.2007139537239674,0.1535107447251873,0.5358986533414238,-0.3050006552669876,1.3767979619498352,255.0,0.2248920480166183,0.9218552583598923,False
SCNN1D,6,65,-0.05134033613558675,-0.1398039634148425,0.5360841942443805,-0.30481831370496515,1.376986702193726,256.0,0.21699461815118543,0.9206742076424104,False
CCDC198,6,65,0.01931877089342455,-0.0297756530185232,0.536182352844653,-0.30472184812774206,1.377086553817048,251.0,0.2584161616713995,0.9290234410860012,False
