gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
SMIM8,16,12,0.04711570481657615,0.03497731722713665,0.16062966643142862,-0.5890253804217829,0.9102847132846401,108.0,0.5934286442678816,0.9886030997089829,False
RAD9B,16,12,-0.0303932548428361,-0.015172087454377599,0.1606423124853521,-0.5890129202529315,0.9102975452236357,100.0,0.8709251829918023,0.9980765562705488,False
PEX16,16,12,0.015673627455197448,0.0060501338852941506,0.16079371430421927,-0.5888637450308686,0.9104511736393072,101.0,0.8345206400999458,0.9980765562705488,False
CLTC,16,12,-1.3740250409477062,-1.4127811429682462,0.16091458157695906,-0.5887446567983228,0.9105738199522408,102.0,0.7984673891935195,0.9980561807157505,False
CCDC14,16,12,0.14873630754745187,0.04636006164032695,0.16096459162944587,-0.5886953832313959,0.9106245664902877,108.0,0.5934286442678816,0.9886030997089829,False
SLC10A4,16,12,-0.02257428064347575,0.02039149692599495,0.16096958779319015,-0.5886904606574419,0.9106296362438222,97.0,0.9814812325608941,0.9991190226956232,False
NTM,16,12,0.13744922429800893,0.10350571098911925,0.16103253030935838,-0.5886284454329314,0.9106935060516481,104.0,0.7277059387577536,0.9972806481766054,False
POMC,16,12,-0.0015013358967187,-0.02667381067092975,0.16103504282670567,-0.5886259699383887,0.9106960555918,111.0,0.5008546654285486,0.9853668768916706,False
SRF,16,12,-0.6460061918838731,-0.6413730841815766,0.16108407193204352,-0.5885776634089801,0.9107458072730672,104.0,0.7277059387577536,0.9972806481766054,False
ZNF229,16,12,-0.0665232473938661,-0.054511541872706445,0.16108861108997038,-0.5885731911588614,0.9107504133388022,101.0,0.8345206400999458,0.9980765562705488,False
SMIM1,16,12,-0.06257629489334596,-0.0693050320224369,0.16108882115832812,-0.5885729841869854,0.9107506265036417,106.0,0.659193864409487,0.9929777495131729,False
INTS11,16,12,-2.4308502685170694,-2.4261970685903416,0.16115232553859943,-0.5885104160682466,0.9108150671454456,100.0,0.8709251829918023,0.9980765562705488,False
S1PR3,16,12,0.03939310585708505,0.0095078020950108,0.1611987220658502,-0.5884647038095708,0.9108621479412712,101.0,0.8345206400999458,0.9980765562705488,False
SPINDOC,16,12,-0.0642289156688774,-0.05942993904625865,0.16151200459051224,-0.5881560467996305,0.9111800559806549,97.0,0.9814812325608941,0.9991190226956232,False
CD14,16,12,-0.024724643638268352,0.01823240998166485,0.16160983319535016,-0.5880596644365866,0.911279330827287,95.0,0.9814812325608941,0.9991190226956232,False
MS4A7,16,12,-0.026937031155221648,0.00366714555256445,0.16161802613092915,-0.588051592660267,0.9112876449221252,103.0,0.7628388949505204,0.9980561807157505,False
H2BC14,16,12,-0.18521214553907406,-0.2905339723852752,0.1616441004852284,-0.5880259039410402,0.9113141049114969,107.0,0.6259392816271419,0.9913259729589504,False
CREB3L4,16,12,-0.01399042571804175,-0.0319883233665639,0.16177630545454005,-0.5878956552140757,0.9114482661231558,106.0,0.659193864409487,0.9929777495131729,False
PORCN,16,12,0.07090058905204145,0.0155074586438214,0.16187469617055186,-0.5877987214242401,0.9115481137653437,112.0,0.4717901363333026,0.9841364084625839,False
RAP1GAP2,16,12,0.21927977770690915,0.1614614441515192,0.16187592404828285,-0.5877975117339574,0.9115493598305232,111.0,0.5008546654285486,0.9853668768916706,False
C1S,16,12,-0.04624431282974055,-0.0572979607874634,0.16191502465391353,-0.5877589903623425,0.9115890396701695,107.0,0.6259392816271419,0.9913259729589504,False
CCND2,16,12,0.00027852544079119993,-0.03069763379566745,0.16192029620161763,-0.5877537969176958,0.9115943893209311,103.0,0.7628388949505204,0.9980561807157505,False
SMDT1,16,12,-0.0175966228682966,-0.06809904374255804,0.16199380702281496,-0.5876813754942455,0.9116689895398754,115.0,0.3904282775842992,0.9841364084625839,False
SLC13A4,16,12,0.0768964069299515,0.055277460826163693,0.16200739604158446,-0.5876679879126817,0.9116827799958506,96.0,1.0,1.0,False
TEX101,16,12,-0.11406660424198675,-0.13300847474454341,0.1620188134505864,-0.5876567397629869,0.9116943666641598,103.0,0.7628388949505204,0.9980561807157505,False
VPS37C,16,12,-0.34173476998635094,-0.39439189690491866,0.16205155599551302,-0.5876244826813855,0.9117275946724115,106.0,0.659193864409487,0.9929777495131729,False
SH3GL3,16,12,-0.060698983480946045,-0.10548081692748784,0.16207897968823137,-0.5875974656663051,0.9117554250427679,119.0,0.2962373441924677,0.9821846946056436,False
ARFGAP3,16,12,0.11677597047246835,0.0886558824815003,0.16215554301422452,-0.5875220380936199,0.911833124122069,105.0,0.6931361991189245,0.9959458416453923,False
MRPS21,16,12,-1.0862537178034297,-1.2003892744237934,0.162185595569647,-0.5874924314890004,0.9118636226282946,109.0,0.5617137219006605,0.9886030997089829,False
KCNIP4,16,12,0.0449580877992056,0.02823409501153355,0.16220073438727642,-0.587477517347956,0.9118789861225088,121.0,0.25537781540010174,0.9821846946056436,False
FCAMR,16,12,0.09074142377577621,0.0445971997388924,0.1622244432995961,-0.587454160343788,0.9119030469429801,116.0,0.36532513369196684,0.9841364084625839,False
NLRP10,16,12,0.10565928116584845,0.1338893415004253,0.16237651953881066,-0.5873043425705742,0.9120573816481954,101.0,0.8345206400999458,0.9980765562705488,False
PBK,16,12,0.035709993770166246,0.024617036277745048,0.16251221280721379,-0.5871706662473946,0.9121950918618222,104.0,0.7277059387577536,0.9972806481766054,False
BCKDHB,16,12,-0.0907045749278464,-0.1626175221025443,0.16251257396178848,-0.5871703104632637,0.9121954583868406,100.0,0.8709251829918023,0.9980765562705488,False
SCAF4,16,12,-0.1969867713774259,-0.2692982935970101,0.162529886713593,-0.5871532551696356,0.9122130285968216,106.0,0.659193864409487,0.9929777495131729,False
CA10,16,12,-0.0798908968020468,-0.0216311079286697,0.1625300599148585,-0.5871530845441868,0.9122132043739037,107.0,0.6259392816271419,0.9913259729589504,False
SMR3A,16,12,-0.06444073259067634,-0.06932393106305715,0.16254496530090923,-0.5871384008384778,0.9122283314402962,105.0,0.6931361991189245,0.9959458416453923,False
VCAM1,16,12,-0.00463854721649655,-0.061204277127034606,0.16272266106369596,-0.5869633494165224,0.9124086715439143,107.0,0.6259392816271419,0.9913259729589504,False
ETV6,16,12,0.0517035634134198,-0.0047909784406446,0.1627494102471099,-0.5869369985446526,0.9124358190388724,103.0,0.7628388949505204,0.9980561807157505,False
SLC46A3,16,12,-0.048950733436161104,-0.10019025076678631,0.16283332063417688,-0.5868543380575217,0.9125209793258755,106.0,0.659193864409487,0.9929777495131729,False
HPR,16,12,0.1502856860309337,0.06409177403702196,0.16286557606134056,-0.5868225632668528,0.9125537153895339,110.0,0.5308416334292907,0.988389001759321,False
DUSP4,16,12,0.047497979987398645,0.0580879626508747,0.16287055956496432,-0.5868176540306282,0.9125587731605569,94.0,0.9444835801635669,0.9991190226956232,False
SMPDL3A,16,12,0.058786424295089595,0.06572763234470305,0.16288557541296825,-0.5868028619722133,0.9125740127981498,98.0,0.9444835801635669,0.9991190226956232,False
HSPB6,16,12,0.020425049541986,0.020544319779666902,0.16296285970950194,-0.5867267298121144,0.9126524492311183,105.0,0.6931361991189245,0.9959458416453923,False
OR51F2,14,11,0.06449457255454555,0.0842403460549131,0.16311631414623887,-0.6278689155425198,0.9541015438349975,76.0,0.9781626756578238,0.9991190226956232,False
PCDH18,16,12,0.061829973620635595,0.0164415446207397,0.1631583709179724,-0.5865341356717368,0.9128508775076816,111.0,0.5008546654285486,0.9853668768916706,False
GPLD1,16,12,-0.0001738858230201,-0.00960275839810635,0.16327934738212396,-0.5864149659476976,0.9129736607119456,115.0,0.3904282775842992,0.9841364084625839,False
KCNK9,16,12,-0.00719345182476115,-0.050689233464179,0.16337640648866905,-0.586319357349139,0.913072170326477,107.0,0.6259392816271419,0.9913259729589504,False
ERF,16,12,0.0021217399477409995,-0.01619874317960525,0.1633865709073873,-0.5863093448831309,0.9130824866979055,105.0,0.6931361991189245,0.9959458416453923,False
SLC38A11,16,12,-0.0904546052974266,-0.1167065437692967,0.16340343278166775,-0.5862927351057774,0.9130996006691128,107.0,0.6259392816271419,0.9913259729589504,False
ROR2,16,12,-0.054034986395682,-0.06909228202176605,0.16343219490458316,-0.5862644030567487,0.913128792865915,107.0,0.6259392816271419,0.9913259729589504,False
PAX3,16,12,-0.0263015838938044,0.004167988950601,0.1635068230980301,-0.5861908911146037,0.9132045373106639,95.0,0.9814812325608941,0.9991190226956232,False
PPM1K,16,12,0.03955961125687675,0.0328697162137932,0.16351029756697186,-0.5861874686274101,0.9132080637613539,109.0,0.5617137219006605,0.9886030997089829,False
CLHC1,16,12,-0.1290447808204388,-0.09999230121452725,0.16367853351241896,-0.5860217509878252,0.9133788180126632,101.0,0.8345206400999458,0.9980765562705488,False
EVL,16,12,-0.0174342190813838,0.03527405538131085,0.16373684400122682,-0.5859643139448671,0.9134380019473207,99.0,0.9076053177180995,0.9991190226956232,False
GRIA3,16,12,0.14029882148289624,0.10664262995311721,0.16382994837889228,-0.5858726048413353,0.9135325015991199,118.0,0.31822483718735983,0.9821846946056436,False
GPR32,16,12,0.02132233403591375,-0.043807126976401656,0.16401015370129968,-0.5856951023448578,0.9137154097474571,112.0,0.4717901363333026,0.9841364084625839,False
YEATS2,16,12,-0.46192917580978166,-0.5543947129656623,0.16411582650554649,-0.5855910158613237,0.9138226688724166,106.0,0.659193864409487,0.9929777495131729,False
CBFA2T2,16,12,0.1022429407026218,0.09593102538881605,0.1642633084447333,-0.585445749568462,0.9139723664579287,96.0,1.0,1.0,False
CIAO1,16,12,-1.1759737275930036,-1.2199982578656094,0.1642655725186539,-0.5854435195235697,0.9139746645608775,103.0,0.7628388949505204,0.9980561807157505,False
KRT86,14,11,-0.17251792569958785,-0.1736402819456342,0.16433807092613903,-0.6266665881023727,0.9553427299546509,86.0,0.6416940328178631,0.9929777495131729,False
DDX42,16,12,-1.1606399930182127,-1.0840853625778535,0.16436128659077667,-0.585349244461455,0.9140718176430083,88.0,0.7277059387577536,0.9972806481766054,False
PPIL2,16,12,-1.1804970588356283,-1.2316364213727975,0.16442179279952934,-0.5852896483622796,0.9141332339613382,107.0,0.6259392816271419,0.9913259729589504,False
FAM184B,16,12,0.1755860500050384,0.18559337953875946,0.16453103343370182,-0.5851820517264648,0.9142441185938683,99.0,0.9076053177180995,0.9991190226956232,False
REPIN1,16,12,0.0427706430189263,0.01119231187641515,0.1645345277775326,-0.5851786099881301,0.9142476655431954,114.0,0.41655233481168497,0.9841364084625839,False
SLC35F2,16,12,-0.09905926813012675,-0.10811397850732754,0.1645478479218502,-0.5851654903817456,0.9142611862254459,102.0,0.7984673891935195,0.9980561807157505,False
FOLR1,16,12,0.02098190462489875,0.0402771512642213,0.16455552830020487,-0.5851579256406638,0.9142689822410734,91.0,0.8345206400999458,0.9980765562705488,False
BABAM2,16,12,0.0286539860293344,0.07631174439359395,0.16460348951915535,-0.5851106866568545,0.9143176656951653,94.0,0.9444835801635669,0.9991190226956232,False
MSMP,16,12,0.025362644266481098,0.06317566255998519,0.1646154912097656,-0.5850988657293013,0.9143298481488324,97.0,0.9814812325608941,0.9991190226956232,False
