gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
KNSTRN,9,63,-0.0514273174849703,-0.0244678819901196,-0.4030672995688795,-1.1045929896452569,0.29845839050749795,206.0,0.18983155668347074,0.8868863061207175,False
AGTRAP,9,63,0.054847737294024,0.0689867047607558,-0.4030042265041067,-1.1045289499111797,0.2985204969029661,243.0,0.49582134025972746,0.9438977016877771,False
DMWD,9,63,-0.107472746149126,-0.0104265652949704,-0.40298353140621457,-1.1045079376691105,0.29854087485668135,212.0,0.22669523967765692,0.8951491615635468,False
ERVW-1,5,50,-0.6899723034015921,-0.545798660348568,-0.4029288008194464,-1.325311932208671,0.5194543305697783,98.0,0.44937666025346384,0.9378778897975201,False
BRD9,9,63,0.0777443318193895,0.1164806644424486,-0.4028465307553077,-1.1043688379446606,0.29867577643404525,218.0,0.2684003896242323,0.9053186159019964,False
NTAN1,9,63,-0.2168309731009976,-0.151982952866707,-0.40277315046574413,-1.1042943336402562,0.29874803270876793,219.0,0.27583350066733925,0.9073510365925629,False
FANK1,9,63,0.0039346634640352,0.0506756080996131,-0.4026893812100055,-1.104209281483051,0.29883051906304003,204.0,0.1785827605725443,0.884576651885716,False
HOXD3,9,63,-0.0383142787597989,0.037774877317463,-0.40262777119031984,-1.1041467280928734,0.29889118571223366,205.0,0.18414356889738925,0.8866483173735463,False
TUBA3E,5,50,-0.1193111004425129,-0.020803393301837697,-0.40256572486442327,-1.324943319903693,0.5198118701748466,89.0,0.3086794407549124,0.9176449050486744,False
C4BPB,9,63,-0.0915610267989195,-0.0456521243212266,-0.4021484433796234,-1.1036600657179985,0.29936317895875164,178.0,0.07380294618781359,0.8515834157617024,False
NEUROG3,9,63,-0.2056945037816907,-0.1632952426254,-0.4021438448187061,-1.1036553968328984,0.2993677071954863,215.0,0.24693148331672388,0.8992137342307424,False
IFT140,9,63,-0.0756256930307961,-0.0572004354043033,-0.4021369771342449,-1.1036484241248266,0.29937446985633664,197.0,0.14310642394821577,0.8772790727574211,False
CAB39,9,63,-0.3625511037585922,-0.1534416342066784,-0.40196554255374983,-1.1034743684684414,0.2995432833609417,224.0,0.3150933958164457,0.9176449050486744,False
RAB40B,9,63,-0.0647968892992604,0.0049110128128094,-0.40191753665762164,-1.1034256288051876,0.2995905554899442,191.0,0.11723575013262136,0.8650840475835528,False
DNAAF2,9,63,-0.0639471908776121,-0.0422350044197733,-0.40190597399192907,-1.1034138894178533,0.2996019414339951,234.0,0.4040995058647614,0.9344735929405515,False
EREG,9,63,0.045170538833766,0.0448292860356919,-0.40168063616520777,-1.1031851085756355,0.2998238362452198,233.0,0.394575472135803,0.9344735929405515,False
NIP7,9,63,-2.463752645684386,-2.21928119844028,-0.40164068092445543,-1.1031445430445617,0.29986318119565086,227.0,0.340331244450099,0.9257402221229861,False
CPE,9,63,-0.1680709193896446,-0.1277787314671051,-0.40157625065416525,-1.1030791287705513,0.29992662746222065,228.0,0.3490240564349414,0.9277294067664796,False
SLITRK5,9,63,-0.0108077149992334,0.018749066174938,-0.40156433534184066,-1.1030670315001667,0.2999383608164854,206.0,0.18983155668347074,0.8868863061207175,False
VDR,9,63,-0.0991756641499857,-0.0573452790014232,-0.4014157071720997,-1.1029161340877975,0.3000847197435981,228.0,0.3490240564349414,0.9277294067664796,False
APTX,9,63,0.0473642817035544,0.0738454987788764,-0.4013799791054257,-1.1028798606520962,0.3001199024412448,200.0,0.15758532705142958,0.8816419654786845,False
ADAP1,9,63,-0.1575550419119619,-0.0498265554359623,-0.40137113643616446,-1.1028708830118448,0.3001286101395159,199.0,0.15264056182575256,0.8780872358349596,False
