gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
ZMIZ2,7,38,-0.0277772164896987,0.01416711804302655,-0.25978061646330525,-1.0677109032726357,0.5481496703460254,116.0,0.6127560345370897,1.0,False
CYB5RL,7,38,0.01549192500715,0.11085100739068529,-0.25976977175495575,-1.067699909732608,0.5481603662226967,83.0,0.12290649414869495,1.0,False
SDC1,7,38,-0.1933909857387457,-0.14979026440346355,-0.2597502082294761,-1.0676800777349325,0.5481796612759804,100.0,0.31612525622735493,1.0,False
SYNE1,7,38,-0.055303170450366,-0.01726111030419345,-0.25970652561638163,-1.0676357957336724,0.548222744500909,92.0,0.20965305571091167,1.0,False
HSPG2,7,38,-0.0472513837937417,-0.043760617579061994,-0.2596086229781058,-1.0675365500951814,0.5483193041389698,113.0,0.5494266809638336,1.0,False
H1-7,7,38,-0.1293780860115807,-0.0722784833039336,-0.25958162046617783,-1.0675091772592649,0.5483459363269092,105.0,0.3973144772917887,1.0,False
DPPA3,5,15,-0.2593302541581818,-0.1722929259002336,-0.2595404296051814,-1.2748522802562055,0.7557714210458427,27.0,0.3948658410732715,1.0,False
ADI1,7,38,-0.0148526360812149,0.0399336583427828,-0.2594292237334379,-1.0673546912116056,0.5484962437447298,102.0,0.3472591881553878,1.0,False
POM121C,7,38,-0.5281328155903767,-0.5112497815018346,-0.2593851963974017,-1.0673100605010195,0.5485396677062162,119.0,0.678977523390456,1.0,False
CAMK2G,7,38,-0.1067475783857582,-0.0478955512761152,-0.2592663509574838,-1.0671895868476395,0.5486568849326721,102.0,0.3472591881553878,1.0,False
SSX7,7,38,-0.1235632001411304,-0.05641594657883195,-0.25922893635947836,-1.0671516598136574,0.5486937870947006,117.0,0.6345283191000719,1.0,False
TTC38,7,38,-0.1007275805106575,-0.05437757687207515,-0.25920948633948265,-1.0671319434323419,0.5487129707533767,110.0,0.4893645649743211,1.0,False
TRANK1,7,38,-0.0877076196811479,-0.03628237070651545,-0.259003891290697,-1.0669235340470444,0.5489157514656504,110.0,0.4893645649743211,1.0,False
SYNPO2,7,38,0.0898004263650757,0.126786264617344,-0.25893125509909826,-1.0668499040892374,0.5489873938910408,107.0,0.4328728182386719,1.0,False
SCT,7,38,0.0062580760569914,0.06526775289847289,-0.2588332626395945,-1.0667505713935237,0.5490840461143347,102.0,0.3472591881553878,1.0,False
HP,5,15,0.3186787326408153,0.3824377547497977,-0.2587961446236956,-1.2740897495233803,0.7564974602759892,32.0,0.6724716202270382,1.0,False
SEC61A1,7,38,-1.7699511296611337,-1.764408104531505,-0.25878205898550055,-1.066698667631445,0.549134549660444,120.0,0.7016215208501086,1.0,False
IL9,7,38,0.0087377637215266,0.0443602319226164,-0.25877582156980794,-1.0666923449409391,0.5491407018013231,104.0,0.38018705313089884,1.0,False
ARL2,7,38,-1.5967239563970077,-1.5839112193064682,-0.2586153774482839,-1.0665297080113358,0.549298953114768,118.0,0.656608230743228,1.0,False
ITFG2,7,38,0.0053922860212953,0.0349524551828932,-0.25857952057860784,-1.0664933612668568,0.549334320109641,114.0,0.5701909800037992,1.0,False
ADARB1,7,38,0.0152322727412053,0.01155273467922555,-0.25843926744670026,-1.0663511926531186,0.5494726577597182,114.0,0.5701909800037992,1.0,False
