gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
MED9,-0.1429,0.12595366831409466,-0.8534,-0.81,300,886,0.400283574234091
CEP83,0.0924,0.12595366831409466,0.0899,0.0782,300,886,0.400283574234091
PTCHD4,-0.0662,0.12595366831409466,0.0308,0.0383,300,886,0.400283574234091
CCDC182,0.1036,0.12600193009386657,-0.0662,-0.0793,300,886,0.400283574234091
H3C6,-0.1026,0.12600193009386657,-0.1643,-0.1507,300,886,0.400283574234091
OLFML2B,-0.0598,0.12600193009386657,-0.1178,-0.1106,300,886,0.400283574234091
ADH6,-0.0838,0.12609849686600116,0.076,0.0868,300,886,0.4005213283467835
STX10,-0.0816,0.1261951212713342,-0.1746,-0.1629,300,886,0.4007591835722732
PEX10,0.0526,0.1262918033295536,-0.1285,-0.1377,300,886,0.40092808582406064
MBLAC2,0.0601,0.1262918033295536,0.0704,0.059,300,886,0.40092808582406064
APAF1,0.0907,0.12634016598464656,0.0299,0.0188,300,886,0.4010125619708952
ARK2N,0.1011,0.1264853404833737,0.0053,-0.0066,300,886,0.4014042437271465
PRDM12,-0.1,0.12653376083562884,-0.0593,-0.0464,300,886,0.401419700740805
CENPV,0.0838,0.12653376083562884,-0.0256,-0.0371,300,886,0.401419700740805
BPTF,-0.0805,0.1266791084848479,-0.5928,-0.5682,300,886,0.40159782565273766
ADAMTS17,-0.0677,0.1266791084848479,0.0101,0.0179,300,886,0.40159782565273766
ANAPC2,-0.1163,0.12672758657359715,-1.5405,-1.4941,300,886,0.40159782565273766
NET1,-0.0865,0.12672758657359715,-0.0119,-0.0013,300,886,0.40159782565273766
CASS4,0.1329,0.12672758657359715,-0.076,-0.0927,300,886,0.40159782565273766
MYOZ2,0.0989,0.12672758657359715,0.02,0.0101,300,886,0.40159782565273766
RASL11B,-0.0692,0.12677607910261293,-0.0086,0.0016,300,886,0.40159782565273766
TENT5A,-0.0904,0.12677607910261293,-0.051,-0.0393,300,886,0.40159782565273766
BIRC5,-0.0896,0.12682458607435151,-1.9295,-1.8935,300,886,0.40159782565273766
VIL1,0.0952,0.126873107491269,-0.0413,-0.053,300,886,0.40159782565273766
ZNF17,0.0915,0.126873107491269,0.0014,-0.0112,300,886,0.40159782565273766
ADAMTS15,0.1204,0.126873107491269,0.0148,-0.0014,300,886,0.40159782565273766
INS,0.1341,0.126873107491269,-0.3259,-0.3498,300,886,0.40159782565273766
RELL1,0.0883,0.12692164335582112,0.0586,0.0465,300,886,0.4016824884574356
BMAL2,-0.0992,0.12711593133947657,-0.0829,-0.0696,300,886,0.4022283203301151
NEK1,-0.0816,0.12716453947902406,-0.0973,-0.0819,300,886,0.40224404346187514
ZFP42,0.0894,0.12716453947902406,0.1386,0.1261,300,886,0.40224404346187514
NDNF,-0.0974,0.12726179914765526,0.0521,0.0627,300,886,0.40248263291937286
RNF112,-0.0766,0.12740779716123313,0.1737,0.1836,300,886,0.4028752556890794
OSGEP,-0.1213,0.1275539254464138,-1.6146,-1.554,300,886,0.40326815565162727
ZNF284,0.0833,0.12765141670899333,-0.1769,-0.1902,300,886,0.403438002233892
SLC7A9,-0.0841,0.12765141670899333,-0.0928,-0.0823,300,886,0.403438002233892
CACNB4,0.1117,0.127700184069371,0.1204,0.1079,300,886,0.40345379491325695
LAGE3,0.0901,0.127700184069371,-0.2627,-0.2829,300,886,0.40345379491325695
KRTAP5-1,0.1052,0.12774831811275067,-0.2568,-0.2791,299,866,0.4034696225318005
SEC23A,-0.1478,0.12774896591907348,-0.129,-0.1066,300,886,0.4034696225318005
GRK3,-0.0914,0.1277977622605495,-0.04,-0.0296,300,886,0.40348548506135123
HJURP,-0.1188,0.1277977622605495,-0.9165,-0.8753,300,886,0.40348548506135123
KLHL33,-0.0942,0.12799309259315772,-0.0057,0.0059,300,886,0.40350454024872634
MYO10,-0.1459,0.12799309259315772,-0.0802,-0.0587,300,886,0.40350454024872634
ZNF492,0.1172,0.12799788084418082,-0.9074,-0.9377,299,866,0.40350454024872634
FKBP1A,0.1106,0.1280353693124047,-0.3476,-0.3774,281,765,0.40350454024872634
NFKBIL1,-0.1004,0.12804196143022414,0.0632,0.0733,300,886,0.40350454024872634
TAAR9,-0.8599,0.1280445652538676,-0.0556,0.0554,4,41,0.40350454024872634
MAL2,-0.8234,0.1280445652538676,0.0332,0.131,4,41,0.40350454024872634
MAGEL2,-1.2102,0.1280445652538676,-0.1173,-0.0039,4,41,0.40350454024872634
SPATA1,-0.6584,0.1280445652538676,-0.0735,0.011,4,41,0.40350454024872634
PERCC1,-0.9354,0.1280445652538676,-0.1256,0.0352,4,41,0.40350454024872634
C2orf81,-0.9265,0.1280445652538676,-0.7846,-0.4555,4,41,0.40350454024872634
EPHA7,0.1051,0.12809084477375035,0.0625,0.0507,300,886,0.4035813917969727
KIF2C,-0.1018,0.12823758186754963,-0.3545,-0.328,300,886,0.40397467903764134
KATNBL1,-0.0921,0.128286523261375,0.0275,0.0376,300,886,0.40399078515945475
ELL2,-0.0511,0.128286523261375,-0.0669,-0.0596,300,886,0.40399078515945475
NOS3,-0.124,0.12833547917388827,-0.0236,-0.0086,300,886,0.4040759280223109
TCTN2,0.1052,0.12838444960753384,-0.0775,-0.0913,300,886,0.40409208272407143
NAP1L4,-0.0613,0.12838444960753384,-0.0931,-0.0854,300,886,0.40409208272407143
EYA4,-0.0857,0.1284334345647559,0.1167,0.1263,300,886,0.4041082720944317
DCTN3,-0.1207,0.1284334345647559,-0.7466,-0.7163,300,886,0.4041082720944317
OR7G2,-0.0971,0.1286413796584988,-0.3235,-0.306,282,785,0.40467239378057057
CADM4,0.1365,0.1286785772900301,-0.3098,-0.3317,300,886,0.40467239378057057
ZSCAN22,0.1426,0.1286785772900301,-0.0121,-0.0287,300,886,0.40467239378057057
ANKRD10,0.1126,0.12872764944001563,0.0162,-0.0019,300,886,0.4047576696958363
TNFAIP8L1,0.0434,0.12902238777951658,-0.0373,-0.0417,300,886,0.40544047554926915
XPO4,-0.0739,0.12902238777951658,-0.1061,-0.0927,300,886,0.40544047554926915
TMTC3,0.0703,0.1290715617654722,-0.0073,-0.0157,300,886,0.40544047554926915
PTGDS,0.0973,0.1290715617654722,0.0986,0.087,300,886,0.40544047554926915
RIBC1,-0.0954,0.1291207503091814,0.0176,0.0293,300,886,0.40544047554926915
PRELID1,0.1216,0.1291207503091814,-3.0323,-3.0824,300,886,0.40544047554926915
SLC35F2,0.118,0.1291207503091814,-0.0798,-0.0956,300,886,0.40544047554926915
OXLD1,0.1337,0.1291207503091814,-0.1002,-0.1222,300,886,0.40544047554926915
LRRC72,-0.1228,0.12916995341308285,0.1087,0.1252,300,886,0.4055259010848403
LMO1,0.1121,0.12921917107961428,0.0948,0.0815,300,886,0.4056113432407099
TVP23C,-0.4684,0.1292808156109347,0.2574,0.3774,4,40,0.4056756051011637
GRB10,0.0552,0.1293176501103175,0.068,0.0612,300,886,0.4056756051011637
ELP4,-0.0726,0.12936691147936316,-0.4829,-0.4657,300,886,0.4056756051011637
PODXL2,0.1404,0.12936691147936316,0.0468,0.0166,300,886,0.4056756051011637
CCDC38,-0.123,0.12936691147936316,-0.1543,-0.1373,300,886,0.4056756051011637
IFNL3,0.0337,0.1293716779164492,-0.0473,-0.055,281,765,0.4056756051011637
SLTM,-0.106,0.1294654779370248,-0.1061,-0.0875,300,886,0.40583167586618807
GRINA,0.0944,0.1294654779370248,-0.1083,-0.1195,300,886,0.40583167586618807
FAM131A,0.1037,0.1295147830305125,-0.0299,-0.0409,300,886,0.4059172093110333
LRIT3,-0.0888,0.1295641027036852,0.1323,0.1414,300,886,0.40598629974604833
PMAIP1,-0.1214,0.1295808726718605,0.1602,0.1771,300,885,0.40598629974604833
PAM,0.086,0.12966278579882476,0.0551,0.0464,300,886,0.40617390929504404
SOWAHA,-0.1025,0.1297121492256603,-0.0057,0.0073,300,886,0.4061904995710969
SMARCD2,-0.0687,0.1297121492256603,-0.162,-0.1503,300,886,0.4061904995710969
ATG4B,0.0922,0.12976152724191783,-0.0282,-0.0411,300,886,0.40627396643727676
PHTF2,-0.0781,0.12981091985003093,0.0262,0.0374,300,886,0.40627396643727676
ATP6V0E2,-0.072,0.12981091985003093,-0.0023,0.0084,300,886,0.40627396643727676
UCN,0.1105,0.1298603270524324,-0.2135,-0.2332,300,886,0.40627396643727676
OR2J2,0.1112,0.12989275707145842,-0.0317,-0.0445,282,785,0.40627396643727676
TNKS,0.0702,0.12990974885155482,-0.0152,-0.028,300,886,0.40627396643727676
SSTR4,-0.0987,0.12995918524983027,0.0454,0.0646,300,886,0.40627396643727676
DDA1,0.1068,0.12995918524983027,-0.3941,-0.4154,300,886,0.40627396643727676
SHC1,-0.0691,0.12995918524983027,-0.2326,-0.2154,300,886,0.40627396643727676
TAL2,0.0554,0.12995918524983027,0.036,0.0295,300,886,0.40627396643727676
SSUH2,0.0924,0.13005810185356687,0.1162,0.1038,300,886,0.406445347969233
DEFB124,-0.097,0.13005810185356687,0.0791,0.0884,300,886,0.406445347969233
TRADD,-0.0949,0.13010758206389034,-0.0148,-0.0035,300,886,0.4064621717247616
CLCNKA,0.0645,0.13010758206389034,0.0878,0.0798,300,886,0.4064621717247616
STAR,-0.0897,0.13020658631360044,-0.0062,0.0044,300,886,0.4067025446782826
SOX9,0.0639,0.13035520229727,-0.2915,-0.3105,300,886,0.4070288201812622
MGP,-0.057,0.13035520229727,0.0807,0.0876,300,886,0.4070288201812622
TNFAIP8L3,0.0707,0.13040477019730407,-0.0279,-0.036,300,886,0.4070626256614386
GDAP1,-0.0983,0.13045435272079084,-0.0719,-0.0597,300,886,0.4070626256614386
EDDM3B,-0.0656,0.13045435272079084,-0.0571,-0.0481,300,886,0.4070626256614386
SSX2IP,0.1173,0.13045435272079084,0.0177,0.0021,300,886,0.4070626256614386
SUSD2,-0.0784,0.1305039498701582,-0.0884,-0.081,300,886,0.407079579671128
PMEPA1,0.0912,0.1305039498701582,-0.0368,-0.0465,300,886,0.407079579671128
PTOV1,0.09,0.13055356164783344,-0.1948,-0.2082,300,886,0.4070965678243927
RAP1GAP,-0.114,0.13055356164783344,-0.0008,0.0169,300,886,0.4070965678243927
DCDC1,-0.0918,0.1306031880562437,0.176,0.1868,300,886,0.40718244069285525
ZNF189,-0.122,0.13065282909781553,0.1072,0.1214,300,886,0.4072683301349728
TDRP,-0.0842,0.13070248477497504,0.2457,0.2566,300,886,0.40728537978814483
SOCS4,-0.1108,0.13070248477497504,-0.0925,-0.0766,300,886,0.40728537978814483
TNFRSF12A,0.1151,0.13085153964423643,-0.1635,-0.1802,300,886,0.40761205362309877
CCS,-0.077,0.13085153964423643,-0.1995,-0.1841,300,886,0.40761205362309877
CHCHD6,0.0695,0.1309012538880012,0.0574,0.0494,300,886,0.4076291580110308
FCRL5,-0.0685,0.1309012538880012,0.0007,0.0078,300,886,0.4076291580110308
EPCAM,-0.076,0.13105048451526716,-0.1615,-0.1506,300,886,0.4079560422220449
ARHGEF1,-0.0319,0.13105048451526716,-0.0298,-0.0242,300,886,0.4079560422220449
CD52,0.086,0.13109604893425547,-0.0396,-0.0479,282,785,0.40799039439700535
ITPK1,0.1493,0.13115004487098744,-0.2177,-0.251,300,886,0.40799039439700535
ADRB3,-0.0741,0.13115004487098744,0.0278,0.0352,300,886,0.40799039439700535
TMEM14A,-0.0885,0.13115004487098744,0.1162,0.1258,300,886,0.40799039439700535
