gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
RAB26,-0.6279,0.0007135442893704656,-0.2489,-0.1549,34,1152,0.1229563679095017
CYP2A6,0.6085,0.0007148658545984806,0.1196,0.0406,34,1152,0.1229563679095017
TAS2R43,0.5357,0.0007201748900563671,0.096,0.0119,34,1152,0.1229563679095017
PDAP1,0.613,0.0007268626958009692,-0.8306,-1.046,34,1152,0.1229563679095017
PCDHGA2,0.62,0.0007528060410194445,0.0623,0.0059,34,1152,0.12535871629824383
EIF1AY,0.877,0.0007611270781425815,0.1019,-0.1628,15,340,0.12535871629824383
C5orf34,-0.5427,0.0007724695872102372,-0.1639,-0.0816,34,1152,0.12535871629824383
BCLAF3,0.515,0.0007781747060764278,0.1168,0.0587,34,1152,0.12535871629824383
CDC14B,0.5307,0.0007796070846423563,-0.0392,-0.1087,34,1152,0.12535871629824383
CASP7,-0.6082,0.0007868057608641066,-0.0852,-0.0192,34,1152,0.12535871629824383
RPL35A,-0.9812,0.000790002506368945,-2.1246,-1.781,15,340,0.12535871629824383
RPL22L1,-1.1335,0.0008252436886720335,-0.5228,-0.2521,34,1152,0.12826681416830413
SIGLEC8,-0.4541,0.0008267562916479306,-0.1711,-0.1084,34,1152,0.12826681416830413
GALNTL5,-0.5375,0.0008297892166372917,-0.0868,-0.0196,34,1152,0.12826681416830413
HAUS3,0.5979,0.0008528672749746124,-0.7903,-0.9732,34,1152,0.13070737698777585
INPP4A,-0.9448,0.000881346301553998,-0.251,-0.0969,34,1152,0.13156106461337208
TANGO2,0.5112,0.0008845644811963013,-0.0566,-0.1157,34,1152,0.13156106461337208
HSP90B1,0.5929,0.0008877935513845583,-0.4008,-0.5736,34,1152,0.13156106461337208
RREB1,-0.6204,0.0008926576497670576,-0.2335,-0.1003,34,1152,0.13156106461337208
TTC1,-0.6381,0.0008959140931220731,-1.1791,-1.0107,34,1152,0.13156106461337208
CYP17A1,-0.741,0.0009024600383383396,-0.1157,-0.0379,34,1152,0.13156106461337208
BLK,-0.5434,0.0009240417483136396,0.0094,0.0746,34,1152,0.13279290233691943
HOXB6,0.4992,0.0009257215321016635,-0.0541,-0.1169,34,1152,0.13279290233691943
MEIG1,0.6243,0.0009512602034748518,0.245,0.1653,34,1152,0.13318700569141118
FBXW7,-0.6683,0.0009564456163597309,-0.1838,-0.0034,34,1152,0.13318700569141118
BRAP,-0.4902,0.0009564456163597309,-0.3747,-0.2491,34,1152,0.13318700569141118
VRK1,0.5262,0.000958179897060512,-0.2443,-0.4123,34,1152,0.13318700569141118
FAM47C,0.5838,0.000966895073329298,0.0722,0.0074,34,1152,0.1333645812297511
GSTM2,0.5738,0.000984546076320638,-0.1169,-0.2054,34,1152,0.1341184428421173
FGF9,-0.454,0.000995279406254537,-0.0145,0.0291,34,1152,0.1341184428421173
ZFR,-0.7229,0.0009988811885642717,-0.4303,-0.2892,34,1152,0.1341184428421173
