gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
AGO1,-0.3713,0.0004250575912781849,-0.2198,-0.1704,107,1079,0.08953072177430771
TAF1C,-0.3663,0.0004279147090513104,-1.4761,-1.3342,107,1079,0.08953072177430771
KICS2,0.3544,0.0004322340242969019,0.0733,0.0246,107,1079,0.08953072177430771
TUBB4B,0.3088,0.000439523449698365,-0.3192,-0.4323,107,1079,0.09002905327988177
LIN52,0.2622,0.0004534383423103926,-0.4987,-0.5506,107,1079,0.090770733707506
FMR1,-0.2666,0.00046157319515987747,0.0759,0.1056,107,1079,0.090770733707506
PDE12,-0.2831,0.0004620861178937248,-0.418,-0.3444,107,1079,0.090770733707506
ZNF670,-0.3191,0.00046362807881459797,0.0975,0.1577,107,1079,0.090770733707506
TMEM30A,0.3551,0.00046776347720168545,-0.1175,-0.1912,107,1079,0.090770733707506
RCBTB2,0.2941,0.0004889616281376628,-0.0414,-0.0775,107,1079,0.09389591265331054
QTRT1,-0.3051,0.0004943993970948861,-0.195,-0.1561,107,1079,0.09396136995303325
TMEM275,1.6518,0.0005100842310144636,0.4259,0.1754,4,41,0.09494723140279192
CHSY3,-0.3187,0.0005121815563824212,-0.0038,0.0316,107,1079,0.09494723140279192
GUCA1C,-0.3605,0.0005334847408568945,-0.0509,-0.0095,107,1079,0.09494723140279192
ZNF124,0.3408,0.0005340718002297429,-0.0478,-0.0975,107,1079,0.09494723140279192
GORAB,-0.2279,0.0005364260624175052,0.0449,0.0758,107,1079,0.09494723140279192
IST1,0.3582,0.0005381981008532575,-0.1469,-0.2111,107,1079,0.09494723140279192
METTL13,-0.3493,0.0005405693036508948,-0.0825,-0.0437,107,1079,0.09494723140279192
ZNF14,-0.3165,0.0005429502368848217,0.0957,0.1385,107,1079,0.09494723140279192
KLF4,-0.2937,0.000545940142592674,-0.0961,-0.0557,107,1079,0.09494723140279192
TRIM50,0.3,0.0005556112318592183,-0.0655,-0.1064,107,1079,0.09525668574545182
NAV2,0.3854,0.0005580538139684728,0.01,-0.0403,107,1079,0.09525668574545182
SLC9A2,-0.3825,0.0005735479704039617,-0.049,-0.0082,107,1079,0.09700327371006454
HSPA9,-0.4174,0.0005887983841545812,-2.5022,-2.3497,107,1079,0.0986069545600972
SASS6,0.313,0.0005965643629551598,-0.778,-0.8762,107,1079,0.0986069545600972
COPS4,0.3318,0.0006037668292161679,-0.9497,-1.0477,107,1079,0.0986069545600972
SREK1,0.3412,0.0006044255961644146,-0.2342,-0.3079,107,1079,0.0986069545600972
CA14,-0.3541,0.0006285915556818081,-0.0365,0.002,107,1079,0.10164987130696608
GRPEL1,-0.3619,0.0006417052985384165,-1.273,-1.1726,107,1079,0.10286814937874529
CCT6A,-0.287,0.0006557838301734285,-1.4417,-1.3542,107,1079,0.10421874921764789
MED24,0.287,0.0006679758609899539,-0.3598,-0.4752,107,1079,0.10524901707136582
TMEM45A,-0.3252,0.0006892615889172231,0.0978,0.1357,107,1079,0.10662823028109471
PCDHB12,0.3802,0.0006944931314700797,0.1215,0.0812,107,1079,0.10662823028109471
FBN2,-0.3306,0.0006952435001236891,0.0401,0.0724,107,1079,0.10662823028109471
HUWE1,0.363,0.000704306889102631,-0.7513,-0.8674,107,1079,0.10662823028109471
PSG6,0.3285,0.0007073523354640966,-0.0592,-0.1075,107,1079,0.10662823028109471
DEXI,1.5295,0.0007114332695728044,0.316,-0.0103,4,41,0.10662823028109471
STIP1,-0.3403,0.0007251024249190045,-0.295,-0.2273,107,1079,0.10780050970469233
KRAS,0.2927,0.0007392814769171291,-0.5278,-0.7154,107,1079,0.10902923221573821
LMNA,-0.4506,0.0007643061770068935,-0.3446,-0.2362,107,1079,0.1118252728025562
USP32,0.3367,0.0007775277354484188,-0.1882,-0.2452,107,1079,0.11286396695268977
EIF1,0.3478,0.000819351177566968,-1.0789,-1.2179,107,1079,0.11638696967656058
USP48,0.3445,0.0008254935405123225,0.0695,0.0208,107,1079,0.11638696967656058
P2RX1,0.3222,0.0008281390360674006,0.0059,-0.0358,107,1079,0.11638696967656058
CENPF,0.3396,0.0008379066225019211,-0.2104,-0.2748,107,1079,0.11638696967656058
TADA2B,0.3396,0.0008459776515717931,-0.1131,-0.2459,107,1079,0.11638696967656058
HRH4,0.3211,0.0008477809782094747,0.0293,-0.0088,107,1079,0.11638696967656058
EVPLL,0.2764,0.0008495878694703882,0.059,0.0197,107,1079,0.11638696967656058
KCNMA1,-0.3316,0.0008523049040594346,-0.0102,0.0289,107,1079,0.11638696967656058
NDP,-0.3525,0.0008605044339105477,-0.0193,0.0205,107,1079,0.11655160079152667
CFAP90,0.2634,0.0008678542520501637,0.0407,0.0021,107,1079,0.11655160079152667
MED16,0.3435,0.0008724774021822989,-0.0916,-0.1875,107,1079,0.11655160079152667
SEMA7A,0.2681,0.000882728821939098,0.0345,0.0088,107,1079,0.1170727038305559
AHSA1,-0.2707,0.0008902544134765892,-0.1194,-0.0831,107,1079,0.117227429374578
AVIL,-0.3029,0.000901654375266426,-0.1965,-0.1475,107,1079,0.11788651353217422
SNX17,0.3333,0.0009170648432199124,-0.1673,-0.2171,107,1079,0.11808348202566901
RNMT,-0.323,0.0009180360550803322,-1.2654,-1.164,107,1079,0.11808348202566901
RTTN,0.315,0.0009268199505599021,-0.4056,-0.5055,107,1079,0.11808348202566901
CAVIN3,-0.3157,0.0009287824732151888,0.0006,0.0338,107,1079,0.11808348202566901
RSPRY1,-0.3099,0.000944621820987054,-0.0707,-0.0291,107,1079,0.11858847253012604
NPRL2,0.214,0.0009456200413305412,0.0693,0.0223,107,1079,0.11858847253012604
SARNP,0.3243,0.0009657907964324777,-0.4099,-0.488,107,1079,0.12029968467724815
SSBP4,0.2982,0.0009801466229263972,-0.1623,-0.206,107,1079,0.12126847646743714
DNTT,0.3252,0.0009936537135698407,0.0156,-0.0169,107,1079,0.12169482028600347
UNCX,0.3482,0.000996795110560701,0.101,0.0578,107,1079,0.12169482028600347
VCPIP1,0.3329,0.001006274553245141,-0.2131,-0.2886,107,1079,0.12204389071759325
ESRRA,0.2805,0.0010297989433792197,-0.228,-0.283,107,1079,0.12408067660912364
TRIP13,0.2415,0.0010527278562725768,-0.3065,-0.3651,107,1079,0.12601972747003215
CNEP1R1,-0.3706,0.0010931365305407146,-0.2075,-0.1278,107,1079,0.1280836569059737
PRKCQ,0.319,0.0010977138519248334,0.0722,0.0391,107,1079,0.1280836569059737
CD163,-0.2845,0.0010988609485146799,-0.0154,0.0157,107,1079,0.1280836569059737
TSFM,-0.2968,0.0011023088927815678,-0.4641,-0.409,107,1079,0.1280836569059737
TENT5B,-0.2975,0.0011069217152428852,-0.0984,-0.0562,107,1079,0.1280836569059737
OR5F1,0.2926,0.001113531362822127,-0.0746,-0.1099,94,973,0.1280836569059737
LIMD1,0.3484,0.0011232075254989985,-0.0419,-0.0876,107,1079,0.1280836569059737
TNFRSF12A,-0.3107,0.0011255520704511928,-0.2169,-0.1719,107,1079,0.1280836569059737
ELAC2,-0.3241,0.0011361586187385042,-1.037,-0.9387,107,1079,0.12849744868984248
NME7,-0.3166,0.0011770671381063844,0.067,0.1021,107,1079,0.13178403878339934
PTAFR,-0.3094,0.001179515400014152,-0.019,0.0154,107,1079,0.13178403878339934
YPEL5,0.2863,0.0012117739104254305,-0.7288,-0.8685,107,1079,0.13443496318968876
SELENOT,0.2818,0.001224396569933175,-0.0811,-0.1142,107,1079,0.13443496318968876
E4F1,-0.2994,0.0012397040272442142,-0.5329,-0.4591,107,1079,0.13443496318968876
OOEP,0.2855,0.0012397040272442142,-0.0911,-0.1268,107,1079,0.13443496318968876
MRPS30,-0.3401,0.0012397040272442142,-0.439,-0.3551,107,1079,0.13443496318968876
ZBTB2,0.3151,0.0012538909190539075,-0.0617,-0.1159,107,1079,0.1351782403085309
ZNF770,-0.3271,0.0012920143822042925,0.0095,0.0529,107,1079,0.13847840195311706
MED23,0.2561,0.0013040615813991222,-0.101,-0.2002,107,1079,0.1389617066652764
DRC12,0.3032,0.0013312052083578683,0.0274,-0.0124,107,1079,0.14066657393637305
SSX7,0.3718,0.001335321423317889,-0.0062,-0.0576,107,1079,0.14066657393637305
SEC61G,0.3286,0.0013757212903478969,-0.8899,-0.9677,107,1079,0.14409898856570158
MRPL19,-0.3011,0.0014100049654660759,-0.4968,-0.4326,107,1079,0.1467934533924047
SLFN11,-0.2611,0.001420151750744873,0.0183,0.0529,107,1079,0.1467934533924047
PMAIP1,-0.2132,0.001426710384164463,0.1459,0.1755,106,1079,0.1467934533924047
RPS27A,0.3549,0.0014332965343440654,-1.7537,-1.8756,107,1079,0.1467934533924047
PROKR1,0.3471,0.001456942313734543,-0.0244,-0.0587,107,1079,0.14737016275027634
HSD17B12,-0.3808,0.001456942313734543,-0.6218,-0.4907,107,1079,0.14737016275027634
PRPF19,-0.3412,0.0014629096709140531,-2.8162,-2.6748,107,1079,0.14737016275027634
DAZAP2,0.2347,0.0014809471522480321,-0.0917,-0.12,107,1079,0.14837641712876343
ITCH,-0.2666,0.0015145491033264217,-0.0103,0.0246,107,1079,0.1501964189687073
KRTAP5-1,0.3137,0.001515407319130977,-0.2129,-0.2793,104,1061,0.1501964189687073
ASPDH,-0.2495,0.0015378606817843727,0.0374,0.0638,107,1079,0.15160674689141665
OR1Q1,0.3435,0.001570611385576683,-0.0711,-0.1087,94,973,0.15331607435328418
EIF3E,-0.2983,0.0015758474733570753,-1.5838,-1.4766,107,1079,0.15331607435328418
CCDC102A,-0.3059,0.0015822619622379715,-0.0648,-0.0252,107,1079,0.15331607435328418
IARS2,-0.2965,0.0015903138761258204,-0.9052,-0.8214,107,1079,0.15331607435328418
CCNL2,-0.3003,0.0015967825481871744,-0.2532,-0.1979,107,1079,0.15331607435328418
XIRP2,-0.3246,0.0016097926137546533,0.0452,0.0789,107,1079,0.15376438774387063
MEF2C,0.2687,0.001619614115698155,0.0333,-0.0336,107,1079,0.15390508362317262
ZSCAN29,-0.3381,0.0016311422249875114,-0.0104,0.0269,107,1079,0.1542056765007424
XPO1,0.3201,0.0016746252057094398,-1.9954,-2.1234,107,1079,0.15703212301538536
SPATA31F1,0.3123,0.0016916315162033306,-0.0356,-0.0763,107,1079,0.15703212301538536
COMMD3,0.3396,0.0016916315162033306,-0.1442,-0.2127,107,1079,0.15703212301538536
CXCR5,0.2954,0.0016984784116090845,0.1148,0.0814,107,1079,0.15703212301538536
HAVCR1,0.3057,0.0017036303012246852,0.0535,0.0161,107,1079,0.15703212301538536
MAP3K7,-0.362,0.0017330968292753714,-0.1935,-0.1025,107,1079,0.1589534330730919
TBKBP1,-0.2969,0.0017648069455274166,-0.2877,-0.2539,107,1079,0.1598513548649191
NFKBID,-0.3311,0.0017648069455274166,-0.0763,-0.0371,107,1079,0.1598513548649191
UBE2D1,-0.2976,0.001780861233873121,0.0066,0.0443,107,1079,0.1598513548649191
CDK5RAP3,-0.3387,0.0017844470360722983,-0.3064,-0.2399,107,1079,0.1598513548649191
FBXO11,0.29,0.0017862424248534492,-0.1233,-0.2113,107,1079,0.1598513548649191
PPP2R2A,0.2815,0.0018225006997914504,-0.1819,-0.2784,107,1079,0.16025907325140037
TRAF3,0.3486,0.0018243312453200679,0.0408,-0.0334,107,1079,0.16025907325140037
KRT79,0.2855,0.0018298330240931564,-0.1276,-0.1671,107,1079,0.16025907325140037
MED12,0.4146,0.0018335093424297836,-0.4235,-0.6189,107,1079,0.16025907325140037
DAXX,0.3072,0.00184088234755836,-0.2632,-0.345,107,1079,0.16025907325140037
OR10G2,0.3601,0.0018429576094004276,-0.0182,-0.0687,91,955,0.16025907325140037
GPATCH3,-0.2618,0.0018631651213544891,-0.1698,-0.1366,107,1079,0.16125562916511743
ARHGAP12,-0.2668,0.001885695434654951,0.0195,0.0522,107,1079,0.16244296886852347
HMGB1,0.2993,0.0018970541873870666,-0.6447,-0.7407,107,1079,0.16255757380214922
PSG8,0.356,0.0019046615644840916,-0.0638,-0.1224,107,1079,0.16255757380214922
EIF3G,-0.2894,0.0019508972301273103,-1.5775,-1.4735,107,1079,0.16543306178169667
BARHL1,0.2982,0.001958702609875832,-0.0644,-0.0976,107,1079,0.16543306178169667
PPIL1,0.2931,0.001970464446051458,-0.6436,-0.7716,107,1079,0.16543306178169667
COMTD1,-0.3562,0.0019862477538533595,-0.2279,-0.1815,107,1079,0.16543306178169667
DIPK1C,-0.3021,0.0019882288053959013,0.1633,0.1907,107,1079,0.16543306178169667
GRK2,0.2482,0.001992196350178284,-0.1127,-0.1687,107,1079,0.16543306178169667
PAQR8,-0.3156,0.0020041426252385194,-0.1333,-0.091,107,1079,0.16567878608193767
IL18R1,-0.3215,0.0020201732660524705,-0.0088,0.0373,107,1079,0.16625845606998793
RPL18,0.3043,0.002050548260388644,-1.9719,-2.0945,107,1079,0.16800825413450954
ESCO1,-0.3408,0.0020730889435682746,0.0004,0.0519,107,1079,0.16878949519839392
PRR13,0.2916,0.0020834096556255986,-0.3494,-0.4015,107,1079,0.16878949519839392
SINHCAF,0.2746,0.0020875511204357915,-0.5351,-0.6121,107,1079,0.16878949519839392
RIPOR1,-0.2966,0.002100020863196112,0.0705,0.1058,107,1079,0.16905626468567828
H2AC1,0.2826,0.002131494682961373,-0.0382,-0.0713,107,1079,0.17038110727368388
MARCHF2,0.2919,0.00213678213034169,0.0183,-0.0126,94,973,0.17038110727368388
SMU1,-0.295,0.002144204875915089,-3.1902,-3.0663,107,1079,0.17038110727368388
NADK2,-0.3467,0.0021827535552620962,0.0547,0.0996,107,1079,0.1723023121523356
