gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
FBLIM1,-0.2003,0.11471008005321993,-0.5311,-0.4887,80,1106,0.6192328918831945
ASPSCR1,0.1347,0.11471008005321993,-0.1642,-0.1823,80,1106,0.6192328918831945
SLC9A4,-0.2302,0.11471008005321993,-0.0047,0.0276,80,1106,0.6192328918831945
SPHK1,0.2452,0.11486562650458787,-0.0637,-0.0953,80,1106,0.6197096355317756
CDC42EP3,0.1907,0.11486562650458787,0.0895,0.0656,80,1106,0.6197096355317756
UNCX,0.2123,0.11494346193125174,0.0863,0.0599,80,1106,0.6198816264830631
UBAP1,-0.175,0.11502133884285033,-0.7652,-0.7227,80,1106,0.6198816264830631
DHRS11,0.1489,0.11502133884285033,0.0012,-0.0166,80,1106,0.6198816264830631
KRT33A,0.1878,0.11507392978695616,-0.264,-0.3061,73,994,0.6198816264830631
LINGO4,0.1844,0.11509925725259156,0.0331,0.011,80,1106,0.6198816264830631
ZNF736,0.1483,0.11509925725259156,-0.1072,-0.1258,80,1106,0.6198816264830631
ZDHHC23,0.1349,0.1152552186193215,0.0763,0.0601,80,1106,0.6199970689370271
SMARCA5,0.1731,0.1152552186193215,-0.4157,-0.4629,80,1106,0.6199970689370271
AHNAK2,-0.1701,0.1152552186193215,0.0922,0.1181,80,1106,0.6199970689370271
RBM41,0.198,0.1152552186193215,0.1618,0.142,80,1106,0.6199970689370271
ZNF681,-0.2245,0.115333261602714,-0.0861,-0.0561,80,1106,0.62005502410208
ABCE1,-0.15,0.115333261602714,-1.9432,-1.9019,80,1106,0.62005502410208
PTPRG,-0.1599,0.11541134613705653,-0.1587,-0.1368,80,1106,0.6202939259582032
ZNF347,-0.1691,0.11556763991137183,0.1141,0.1324,80,1106,0.6208231065268568
MOSPD1,0.1983,0.11564584917772856,0.0441,0.025,80,1106,0.6208231065268568
OR8J1,0.1765,0.11571032749132233,-0.0508,-0.0722,73,994,0.6208231065268568
OR52N1,0.2339,0.11580146687314792,0.0963,0.0733,73,994,0.6208231065268568
GZMK,0.1081,0.11580239253478125,-0.0438,-0.0562,80,1106,0.6208231065268568
NUMA1,-0.1602,0.11580239253478125,-0.6413,-0.6048,80,1106,0.6208231065268568
PPP1R3G,0.1955,0.11580239253478125,0.0618,0.0295,80,1106,0.6208231065268568
SLC35E4,0.1029,0.11580239253478125,0.0568,0.0461,80,1106,0.6208231065268568
CTIF,-0.13,0.11588072665184614,0.038,0.0535,80,1106,0.6208231065268568
ALKBH4,0.1362,0.11588072665184614,-0.1096,-0.1286,80,1106,0.6208231065268568
RTN2,-0.1918,0.11595910241217863,-0.1521,-0.1282,80,1106,0.6208231065268568
MGAT4D,-0.1827,0.11595910241217863,0.088,0.1108,80,1106,0.6208231065268568
MMS19,0.2808,0.11595910241217863,-0.7959,-0.8929,80,1106,0.6208231065268568
DIPK1A,-0.2069,0.11603751982895696,-0.3138,-0.2826,80,1106,0.6208231065268568
LAMTOR4,0.1345,0.11603751982895696,-0.4746,-0.51,80,1106,0.6208231065268568
KIAA1191,0.2375,0.1161159789153568,0.006,-0.0275,80,1106,0.6208231065268568
RAB11FIP4,-0.1312,0.1161159789153568,-0.1829,-0.1661,80,1106,0.6208231065268568
SLFN13,0.1585,0.1161159789153568,0.0781,0.0466,80,1106,0.6208231065268568
MFF,0.1653,0.11619447968455121,-0.0603,-0.0841,80,1106,0.6210626943997395
DHX35,-0.1345,0.11627302214971094,-0.2681,-0.2355,80,1106,0.6211223307244048
EPHA3,0.1254,0.11627302214971094,-0.0631,-0.0779,80,1106,0.6211223307244048
EYA3,0.1879,0.11635160632400401,-0.0719,-0.0964,80,1106,0.6211821206437921
TSGA10,-0.2049,0.11635160632400401,-0.1986,-0.1713,80,1106,0.6211821206437921
KLHL9,-0.1913,0.11643023222059619,0.0482,0.0748,80,1106,0.6214219255896615
XKR6,0.1704,0.11650889985265035,0.0829,0.0618,80,1106,0.6214256941051484
KIF18B,0.2274,0.11650889985265035,-0.4107,-0.4949,80,1106,0.6214256941051484
AADAC,-0.1671,0.11658760923332705,0.1042,0.1236,80,1106,0.6214256941051484
KPNA3,0.1262,0.11658760923332705,0.0714,0.0572,80,1106,0.6214256941051484
TDP2,0.1913,0.11666636037578414,-0.1505,-0.2037,80,1106,0.6214256941051484
PSAPL1,-0.1985,0.11674515329317699,0.099,0.1165,80,1106,0.6214256941051484
AATK,0.1809,0.11674515329317699,-0.1002,-0.1258,80,1106,0.6214256941051484
HOMEZ,-0.2286,0.1168239879986584,-0.1069,-0.08,80,1106,0.6214256941051484
CDYL2,0.2433,0.1168239879986584,0.0803,0.05,80,1106,0.6214256941051484
MEF2A,0.236,0.1168239879986584,0.017,-0.0103,80,1106,0.6214256941051484
TCHH,0.168,0.1168239879986584,-0.0708,-0.0932,80,1106,0.6214256941051484
RIPPLY2,-0.1941,0.1169028645053786,-0.0058,0.0167,80,1106,0.6214256941051484
ZNF383,0.1101,0.1169028645053786,0.0856,0.0709,80,1106,0.6214256941051484
CD160,-0.1894,0.1169028645053786,-0.0702,-0.0462,80,1106,0.6214256941051484
COX7A2,-0.2674,0.11697666458567067,-0.0626,-0.0133,27,328,0.6214867914715428
KIF2C,0.2313,0.11698178282648515,-0.2785,-0.3388,80,1106,0.6214867914715428
FIBP,0.1789,0.11713974496443488,-0.0623,-0.0958,80,1106,0.6214921977760643
FANCC,0.1965,0.11713974496443488,-0.1645,-0.2012,80,1106,0.6214921977760643
ALPP,0.1379,0.11713974496443488,0.1773,0.1606,80,1106,0.6214921977760643
SFMBT2,0.1521,0.11713974496443488,-0.0401,-0.0575,80,1106,0.6214921977760643
UQCR10,0.1446,0.11717533944928028,-0.1962,-0.2517,73,994,0.6214921977760643
ADAMTS18,-0.1607,0.1172187888075604,0.0618,0.0794,80,1106,0.6214921977760643
SLC49A3,0.1849,0.1172187888075604,0.1043,0.0847,80,1106,0.6214921977760643
CZIB,-0.1903,0.11737700210779892,-0.2221,-0.2008,80,1106,0.6221521086421141
P2RY11,0.1647,0.11745617159117852,-0.0247,-0.0438,80,1106,0.6223927919756758
SYN1,-0.1761,0.11761463629010539,0.0672,0.0872,80,1106,0.6226955255623472
A3GALT2,-0.1437,0.11761463629010539,-0.098,-0.0797,80,1106,0.6226955255623472
PCBP3,-0.1599,0.11761463629010539,0.0095,0.0248,80,1106,0.6226955255623472
PAGE5,0.1655,0.11769393153190345,0.1104,0.0942,80,1106,0.6229364420874649
MKKS,-0.1484,0.11777326871942087,0.0252,0.0435,80,1106,0.6231774422624924
OR1A1,0.1605,0.1178208439235465,0.0248,0.0097,73,994,0.6232396911662619
PRDM4,0.1834,0.11785264786577646,0.0462,0.0266,80,1106,0.6232396911662619
LDLRAD3,-0.1496,0.11793206898408641,0.0158,0.0317,80,1106,0.6234808407575662
SLC25A52,0.1878,0.11801153208746414,-0.0794,-0.1045,80,1106,0.6235433058275727
ZNF878,0.1495,0.11801153208746414,0.0258,0.0066,80,1106,0.6235433058275727
ZNF570,-0.1445,0.11809103718902064,0.0699,0.0898,80,1106,0.6237846047506004
CIAO3,-0.2001,0.11817058430186402,-2.1043,-2.0184,80,1106,0.6240259872829742
POU2F3,-0.3642,0.1182501734390998,0.0102,0.0744,80,1106,0.6242674534220517
RFFL,0.1818,0.11840947783915716,-0.1484,-0.179,80,1106,0.6247506365096915
BIN2,-0.1727,0.11840947783915716,-0.1236,-0.1034,80,1106,0.6247506365096915
C5orf22,-0.1418,0.11856895049398317,0.0587,0.0749,80,1106,0.6250668493148593
PEX39,-0.1048,0.1186487499496696,-0.068,-0.0522,80,1106,0.6250668493148593
SUSD5,-0.187,0.1186487499496696,-0.0134,0.0061,80,1106,0.6250668493148593
TRAPPC9,0.1758,0.1186487499496696,-0.1096,-0.1322,80,1106,0.6250668493148593
KCNT1,-0.2189,0.11872859150832497,-0.0699,-0.0333,80,1106,0.6250668493148593
BCL2L13,-0.2001,0.11872859150832497,-0.1495,-0.1246,80,1106,0.6250668493148593
PEX5,0.1639,0.11872859150832497,-0.0893,-0.1178,80,1106,0.6250668493148593
GOT1,0.1807,0.11880847518303592,-0.0065,-0.0311,80,1106,0.6250668493148593
PRSS58,-0.1461,0.11880847518303592,0.0558,0.0713,80,1106,0.6250668493148593
C9orf40,0.1455,0.11880847518303592,0.0484,0.0322,80,1106,0.6250668493148593
TMEM67,-0.2347,0.11888840098688626,-0.0071,0.0181,80,1106,0.6251305397014398
CLCA2,-0.2525,0.11888840098688626,0.0113,0.039,80,1106,0.6251305397014398
SLC22A4,0.2083,0.11896836893295723,-0.0039,-0.0232,80,1106,0.625372649352457
FBXO39,0.1341,0.11904837903432723,0.0517,0.0383,80,1106,0.6256148425022299
ATCAY,-0.1545,0.11920852575526428,-0.0758,-0.0563,80,1106,0.6260994792872641
TBCK,0.1923,0.11920852575526428,0.1125,0.0849,80,1106,0.6260994792872641
FIBIN,-0.1514,0.11928866240097445,-0.1411,-0.1204,80,1106,0.6263419229171073
ZNF318,-0.2071,0.1194490623282152,-0.125,-0.0964,80,1106,0.6268270606378159
GBP2,0.1887,0.1194490623282152,-0.004,-0.0258,80,1106,0.6268270606378159
APOBEC3D,-0.1831,0.11952932563587224,-0.0866,-0.0601,80,1106,0.6270697547231943
ZNF821,-0.2083,0.11968997900455551,0.0122,0.0348,80,1106,0.6273769584728407
HOXC10,-0.1799,0.11968997900455551,-0.3805,-0.3545,80,1106,0.6273769584728407
LILRA4,-0.1701,0.11968997900455551,-0.0589,-0.0342,80,1106,0.6273769584728407
CACNA1D,-0.2446,0.1197703690916915,-0.025,0.0026,80,1106,0.6276198846518855
CDC25B,-0.2214,0.11993127613680594,-0.3262,-0.2708,80,1106,0.6282844772895758
RILP,-0.1237,0.12009235243001602,-0.2168,-0.1968,80,1106,0.6287709505956676
ISY1,-0.1718,0.12009235243001602,-1.1742,-1.1313,80,1106,0.6287709505956676
CAT,-0.1621,0.12017295407726085,0.0034,0.0204,80,1106,0.628835767361426
LOXL2,0.1774,0.12017295407726085,0.0174,-0.0021,80,1106,0.628835767361426
PAWR,-0.2,0.12025359807564874,0.1284,0.162,80,1106,0.6289007320637119
USP6,-0.1605,0.12025359807564874,-0.1979,-0.1774,80,1106,0.6289007320637119
BZW1,0.1897,0.12033428443821363,-0.0025,-0.0274,80,1106,0.6291442239417097
STK36,0.1989,0.12041501317798652,-0.0093,-0.0334,80,1106,0.6292094013424551
CIMAP1D,0.202,0.12041501317798652,0.0946,0.0655,80,1106,0.6292094013424551
MYRIP,-0.2345,0.1204957843079955,-0.021,0.0091,80,1106,0.6294530415749212
MCTP1,-0.2005,0.12057659784126591,-0.1938,-0.1643,80,1106,0.6295184313802711
AKNAD1,-0.0839,0.12057659784126591,-0.0539,-0.0438,80,1106,0.6295184313802711
RPL7,0.1982,0.12071791102233945,-1.7407,-1.8192,75,1090,0.6298278218019289
DCUN1D2,-0.1675,0.12073835216967814,0.0147,0.0325,80,1106,0.6298278218019289
DNAJC19,-0.1594,0.12073835216967814,-0.3594,-0.3107,80,1106,0.6298278218019289
AR,0.1444,0.12081929299085631,0.1336,0.1136,80,1106,0.6298935707823632
HDAC3,0.1693,0.12081929299085631,-1.1077,-1.1837,80,1106,0.6298935707823632
PARD6A,-0.1912,0.12090027626736848,0.0128,0.0332,80,1106,0.630046837111969
CITED2,-0.1143,0.12098130201222589,-0.2146,-0.1899,80,1106,0.630046837111969
NPLOC4,-0.2029,0.12098130201222589,-1.388,-1.3257,80,1106,0.630046837111969
AIDA,0.1545,0.12106237023843652,0.1122,0.0903,80,1106,0.630046837111969
