gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
LAIR2,0.6584,8.22530179630606e-05,-0.0162,-0.099,37,1149,0.012412723780274719
TMSB10,-0.7412,8.237767719885625e-05,-0.61,-0.4377,33,1034,0.012412723780274719
ZNF143,0.6472,8.360022494879299e-05,-0.2011,-0.3373,37,1149,0.012464383862983203
CHMP4B,0.649,8.411078285767484e-05,-0.8168,-1.254,37,1149,0.012464383862983203
RTN3,-0.7323,8.635744322545249e-05,-0.3752,-0.248,37,1149,0.012691686252579326
UGT1A4,0.5702,8.741337940030479e-05,-0.04,-0.1297,37,1149,0.012691686252579326
CYTH2,-0.7266,8.77680606391075e-05,-0.1372,-0.0547,37,1149,0.012691686252579326
ELOVL1,0.6539,8.920042770410376e-05,-0.0703,-0.2008,37,1149,0.012771317248715776
ZNF585A,0.6098,8.97432364808537e-05,0.1315,0.0361,37,1149,0.012771317248715776
GALP,-0.6647,9.083822842963466e-05,-0.4034,-0.2862,37,1149,0.012825356487966766
ANHX,-0.8381,9.382023111043876e-05,-0.1824,-0.0459,37,1149,0.013067340369031432
PLLP,-0.7299,9.400964294267217e-05,-0.0533,0.0469,37,1149,0.013067340369031432
DEFB128,0.4383,9.767781194675359e-05,0.074,0.0172,37,1149,0.013472775738594142
OR8B8,0.6245,0.00010058631879271956,0.1242,0.0594,33,1034,0.013702434747356145
PKDCC,0.5791,0.00010087119439244946,0.0073,-0.0723,37,1149,0.013702434747356145
ERGIC3,0.6056,0.00010271052133510303,0.1007,0.0339,37,1149,0.013733424871480007
RSPH6A,-0.7013,0.00010333063274884868,-0.2014,-0.1168,37,1149,0.013733424871480007
OR9A2,-0.701,0.00010347857592600175,-0.2801,-0.1683,33,1034,0.013733424871480007
IFNA14,-0.649,0.00010416294587704429,-0.0952,-0.008,37,1149,0.013733424871480007
CEND1,-0.6662,0.00010500158318288792,-0.3408,-0.2144,37,1149,0.013742944438338418
DMBT1,0.6319,0.0001086373934998494,-0.0711,-0.1643,37,1149,0.014115776107578257
ARHGAP11A,0.5579,0.00011016874620489786,-0.1891,-0.2947,37,1149,0.014211768260431823
VPS51,0.6138,0.00011127501295596057,-0.5847,-0.7349,37,1149,0.014251944695095208
